model,dataset,res,acc,model_name
mc3_18,autsl,96,59.144409234947936,MC3-18
mc3_18,autsl,112,63.73924852874604,MC3-18
mc3_18,autsl,160,52.738795835219555,MC3-18
mc3_18,autsl,224,12.24535989135355,MC3-18
mc3_18,autsl,336,1.24490719782707,MC3-18
mc3_18,diving48,96,30.82099596231494,MC3-18
mc3_18,diving48,112,31.62853297442799,MC3-18
mc3_18,diving48,160,27.321668909825032,MC3-18
mc3_18,diving48,224,13.72812920592193,MC3-18
mc3_18,diving48,336,7.26783310901749,MC3-18
mc3_18,driveact,96,65.17857142857143,MC3-18
mc3_18,driveact,112,68.97321428571429,MC3-18
mc3_18,driveact,160,38.39285714285714,MC3-18
mc3_18,driveact,224,6.25,MC3-18
mc3_18,driveact,336,4.46428571428571,MC3-18
mc3_18,epic_kitchens,96,36.07843137254902,MC3-18
mc3_18,epic_kitchens,112,36.17647058823529,MC3-18
mc3_18,epic_kitchens,160,27.15686274509803,MC3-18
mc3_18,epic_kitchens,224,9.41176470588235,MC3-18
mc3_18,epic_kitchens,336,2.54901960784313,MC3-18
mc3_18,hmdb51,96,76.7231638418079,MC3-18
mc3_18,hmdb51,112,78.64406779661017,MC3-18
mc3_18,hmdb51,160,74.23728813559322,MC3-18
mc3_18,hmdb51,224,50.960451977401135,MC3-18
mc3_18,hmdb51,336,14.46327683615819,MC3-18
mc3_18,ssv2,96,32.396946564885496,MC3-18
mc3_18,ssv2,112,33.58778625954198,MC3-18
mc3_18,ssv2,160,27.84732824427481,MC3-18
mc3_18,ssv2,224,14.83969465648855,MC3-18
mc3_18,ssv2,336,4.427480916030531,MC3-18
mc3_18,ucf101,96,82.87128712871286,MC3-18
mc3_18,ucf101,112,85.39603960396039,MC3-18
mc3_18,ucf101,160,80.990099009901,MC3-18
mc3_18,ucf101,224,63.910891089108915,MC3-18
mc3_18,ucf101,336,24.900990099009903,MC3-18
r2plus1d_18,autsl,96,73.65323675871434,R(2+1)D-18
r2plus1d_18,autsl,112,75.93933906745134,R(2+1)D-18
r2plus1d_18,autsl,160,68.87732005432322,R(2+1)D-18
r2plus1d_18,autsl,224,38.36577636939792,R(2+1)D-18
r2plus1d_18,autsl,336,7.26573110004527,R(2+1)D-18
r2plus1d_18,diving48,96,33.78196500672947,R(2+1)D-18
r2plus1d_18,diving48,112,35.26244952893674,R(2+1)D-18
r2plus1d_18,diving48,160,30.14804845222072,R(2+1)D-18
r2plus1d_18,diving48,224,18.707940780619108,R(2+1)D-18
r2plus1d_18,diving48,336,7.80619111709286,R(2+1)D-18
r2plus1d_18,driveact,96,67.41071428571429,R(2+1)D-18
r2plus1d_18,driveact,112,62.5,R(2+1)D-18
r2plus1d_18,driveact,160,39.95535714285714,R(2+1)D-18
r2plus1d_18,driveact,224,12.94642857142857,R(2+1)D-18
r2plus1d_18,driveact,336,4.46428571428571,R(2+1)D-18
r2plus1d_18,epic_kitchens,96,32.84313725490196,R(2+1)D-18
r2plus1d_18,epic_kitchens,112,35.49019607843137,R(2+1)D-18
r2plus1d_18,epic_kitchens,160,27.64705882352941,R(2+1)D-18
r2plus1d_18,epic_kitchens,224,11.76470588235294,R(2+1)D-18
r2plus1d_18,epic_kitchens,336,4.6078431372549,R(2+1)D-18
r2plus1d_18,hmdb51,96,74.35028248587571,R(2+1)D-18
r2plus1d_18,hmdb51,112,73.10734463276836,R(2+1)D-18
r2plus1d_18,hmdb51,160,68.36158192090396,R(2+1)D-18
r2plus1d_18,hmdb51,224,50.50847457627119,R(2+1)D-18
r2plus1d_18,hmdb51,336,16.158192090395477,R(2+1)D-18
r2plus1d_18,ssv2,96,40.09160305343511,R(2+1)D-18
r2plus1d_18,ssv2,112,42.56488549618321,R(2+1)D-18
r2plus1d_18,ssv2,160,36.18320610687023,R(2+1)D-18
r2plus1d_18,ssv2,224,20.82442748091603,R(2+1)D-18
r2plus1d_18,ssv2,336,5.9236641221374,R(2+1)D-18
r2plus1d_18,ucf101,96,88.01980198019803,R(2+1)D-18
r2plus1d_18,ucf101,112,88.56435643564356,R(2+1)D-18
r2plus1d_18,ucf101,160,85.0990099009901,R(2+1)D-18
r2plus1d_18,ucf101,224,64.85148514851485,R(2+1)D-18
r2plus1d_18,ucf101,336,24.95049504950495,R(2+1)D-18
r3d_18,autsl,96,72.20461747397012,R3D-18
r3d_18,autsl,112,74.98868266183794,R3D-18
r3d_18,autsl,160,63.014938886373926,R3D-18
r3d_18,autsl,224,27.863286555002258,R3D-18
r3d_18,autsl,336,1.99185151652331,R3D-18
r3d_18,diving48,96,26.51413189771198,R3D-18
r3d_18,diving48,112,28.802153432032302,R3D-18
r3d_18,diving48,160,22.07267833109017,R3D-18
r3d_18,diving48,224,12.78600269179004,R3D-18
r3d_18,diving48,336,7.26783310901749,R3D-18
r3d_18,driveact,96,64.95535714285714,R3D-18
r3d_18,driveact,112,68.30357142857143,R3D-18
r3d_18,driveact,160,52.67857142857143,R3D-18
r3d_18,driveact,224,18.973214285714278,R3D-18
r3d_18,driveact,336,4.91071428571428,R3D-18
r3d_18,epic_kitchens,96,33.33333333333333,R3D-18
r3d_18,epic_kitchens,112,37.15686274509804,R3D-18
r3d_18,epic_kitchens,160,26.66666666666666,R3D-18
r3d_18,epic_kitchens,224,8.62745098039215,R3D-18
r3d_18,epic_kitchens,336,3.0392156862745,R3D-18
r3d_18,hmdb51,96,78.75706214689265,R3D-18
r3d_18,hmdb51,112,80.33898305084746,R3D-18
r3d_18,hmdb51,160,75.9322033898305,R3D-18
r3d_18,hmdb51,224,59.774011299435024,R3D-18
r3d_18,hmdb51,336,24.7457627118644,R3D-18
r3d_18,ssv2,96,35.93893129770992,R3D-18
r3d_18,ssv2,112,37.12977099236641,R3D-18
r3d_18,ssv2,160,30.25954198473282,R3D-18
r3d_18,ssv2,224,17.19083969465648,R3D-18
r3d_18,ssv2,336,5.7709923664122105,R3D-18
r3d_18,ucf101,96,79.85148514851485,R3D-18
r3d_18,ucf101,112,81.23762376237624,R3D-18
r3d_18,ucf101,160,75.29702970297029,R3D-18
r3d_18,ucf101,224,55.099009900990104,R3D-18
r3d_18,ucf101,336,20.742574257425737,R3D-18
slowfast_r50,autsl,96,22.49886826618379,SlowFast-R50
slowfast_r50,autsl,112,32.571299230421005,SlowFast-R50
slowfast_r50,autsl,160,70.03168854685377,SlowFast-R50
slowfast_r50,autsl,224,79.2440018107741,SlowFast-R50
slowfast_r50,autsl,336,69.03576278859212,SlowFast-R50
slowfast_r50,diving48,96,18.43876177658142,SlowFast-R50
slowfast_r50,diving48,112,25.033647375504707,SlowFast-R50
slowfast_r50,diving48,160,43.33781965006729,SlowFast-R50
slowfast_r50,diving48,224,50.47106325706595,SlowFast-R50
slowfast_r50,diving48,336,41.58815612382234,SlowFast-R50
slowfast_r50,driveact,96,31.69642857142857,SlowFast-R50
slowfast_r50,driveact,112,40.17857142857143,SlowFast-R50
slowfast_r50,driveact,160,65.84821428571429,SlowFast-R50
slowfast_r50,driveact,224,70.08928571428571,SlowFast-R50
slowfast_r50,driveact,336,58.70535714285714,SlowFast-R50
slowfast_r50,epic_kitchens,96,11.27450980392156,SlowFast-R50
slowfast_r50,epic_kitchens,112,17.74509803921568,SlowFast-R50
slowfast_r50,epic_kitchens,160,31.274509803921568,SlowFast-R50
slowfast_r50,epic_kitchens,224,37.45098039215686,SlowFast-R50
slowfast_r50,epic_kitchens,336,28.72549019607843,SlowFast-R50
slowfast_r50,hmdb51,96,59.548022598870055,SlowFast-R50
slowfast_r50,hmdb51,112,67.2316384180791,SlowFast-R50
slowfast_r50,hmdb51,160,80.45197740112995,SlowFast-R50
slowfast_r50,hmdb51,224,81.58192090395481,SlowFast-R50
slowfast_r50,hmdb51,336,78.98305084745762,SlowFast-R50
slowfast_r50,ssv2,96,27.69465648854962,SlowFast-R50
slowfast_r50,ssv2,112,32.42748091603053,SlowFast-R50
slowfast_r50,ssv2,160,45.70992366412214,SlowFast-R50
slowfast_r50,ssv2,224,49.49618320610687,SlowFast-R50
slowfast_r50,ssv2,336,35.96946564885496,SlowFast-R50
slowfast_r50,ucf101,96,69.7029702970297,SlowFast-R50
slowfast_r50,ucf101,112,75.84158415841584,SlowFast-R50
slowfast_r50,ucf101,160,87.47524752475248,SlowFast-R50
slowfast_r50,ucf101,224,91.43564356435644,SlowFast-R50
slowfast_r50,ucf101,336,89.20792079207921,SlowFast-R50
timesformer,autsl,96,65.0520597555455,TimeSformer
timesformer,autsl,112,65.98008148483476,TimeSformer
timesformer,autsl,160,68.31145314622002,TimeSformer
timesformer,autsl,224,68.5377999094613,TimeSformer
timesformer,autsl,336,68.58306926210955,TimeSformer
timesformer,diving48,96,37.415881561238216,TimeSformer
timesformer,diving48,112,39.30013458950201,TimeSformer
timesformer,diving48,160,38.6271870794078,TimeSformer
timesformer,diving48,224,38.088829071332434,TimeSformer
timesformer,diving48,336,38.6271870794078,TimeSformer
timesformer,driveact,96,68.30357142857143,TimeSformer
timesformer,driveact,112,69.19642857142857,TimeSformer
timesformer,driveact,160,69.64285714285714,TimeSformer
timesformer,driveact,224,70.3125,TimeSformer
timesformer,driveact,336,69.86607142857143,TimeSformer
timesformer,epic_kitchens,96,20.49019607843137,TimeSformer
timesformer,epic_kitchens,112,19.2156862745098,TimeSformer
timesformer,epic_kitchens,160,25.588235294117638,TimeSformer
timesformer,epic_kitchens,224,31.66666666666666,TimeSformer
timesformer,epic_kitchens,336,23.52941176470588,TimeSformer
timesformer,hmdb51,96,75.9322033898305,TimeSformer
timesformer,hmdb51,112,77.17514124293785,TimeSformer
timesformer,hmdb51,160,77.51412429378531,TimeSformer
timesformer,hmdb51,224,78.87005649717514,TimeSformer
timesformer,hmdb51,336,77.96610169491525,TimeSformer
timesformer,ssv2,96,39.26717557251908,TimeSformer
timesformer,ssv2,112,39.419847328244266,TimeSformer
timesformer,ssv2,160,41.40458015267175,TimeSformer
timesformer,ssv2,224,42.290076335877856,TimeSformer
