model,dataset,train_res,acc
slowfast,r50_autsl,96,82.8
slowfast,r50_autsl,112,82.4
slowfast,r50_autsl,160,84.0
slowfast,r50_autsl,224,65.5
slowfast,r50_diving48,96,59.0
slowfast,r50_diving48,112,56.5
slowfast,r50_diving48,160,58.2
slowfast,r50_diving48,224,48.0
slowfast,r50_driveact,96,76.1
slowfast,r50_driveact,112,76.7
slowfast,r50_driveact,160,74.7
slowfast,r50_driveact,224,78.5
slowfast,r50_epic_kitchens,96,63.8
slowfast,r50_epic_kitchens,112,57.8
slowfast,r50_epic_kitchens,160,57.6
slowfast,r50_epic_kitchens,224,54.8
slowfast,r50_hmdb51,96,85.8
slowfast,r50_hmdb51,112,71.0
slowfast,r50_hmdb51,160,72.0
slowfast,r50_hmdb51,224,80.1
slowfast,r50_ssv2,96,58.4
slowfast,r50_ssv2,112,52.0
slowfast,r50_ssv2,160,58.3
slowfast,r50_ssv2,224,45.1
slowfast,r50_ucf101,96,93.5
slowfast,r50_ucf101,112,93.8
slowfast,r50_ucf101,160,91.7
slowfast,r50_ucf101,224,90.0
timesformer,autsl,48,10.1177
timesformer,autsl,96,15.4142
timesformer,autsl,112,23.11
timesformer,autsl,160,36.5324
timesformer,autsl,224,68.1756
timesformer,autsl,336,70.1901
timesformer,diving48,48,14.5685
timesformer,diving48,96,19.7462
timesformer,diving48,112,27.4112
timesformer,diving48,160,32.7919
timesformer,diving48,224,52.6904
timesformer,driveact,48,37.223
timesformer,driveact,96,50.8124
timesformer,driveact,112,55.5391
timesformer,driveact,160,62.1861
timesformer,driveact,224,77.6219
timesformer,driveact,336,70.5318
timesformer,epic_kitchens,48,33.4897
timesformer,epic_kitchens,96,39.1607
timesformer,epic_kitchens,112,41.3192
timesformer,epic_kitchens,160,42.9682
timesformer,epic_kitchens,224,49.7185
timesformer,epic_kitchens,336,46.5013
timesformer,hmdb51,48,49.5968
timesformer,hmdb51,96,62.0968
timesformer,hmdb51,112,65.625
timesformer,hmdb51,160,69.4556
timesformer,hmdb51,224,78.8306
timesformer,hmdb51,336,72.8831
timesformer,ssv2,48,34.5643
timesformer,ssv2,96,34.5441
timesformer,ssv2,112,37.2765
timesformer,ssv2,160,41.6919
timesformer,ssv2,224,54.8672
timesformer,ssv2,336,48.5753
timesformer,ucf101,48,51.7843
timesformer,ucf101,96,63.3624
timesformer,ucf101,112,69.5215
timesformer,ucf101,160,76.553
timesformer,ucf101,224,92.5476
timesformer,ucf101,336,81.7653
videomae,autsl,48,38.0263
videomae,autsl,96,40.4255
videomae,autsl,112,47.4876
videomae,autsl,160,55.5455
videomae,autsl,224,80.5115
videomae,autsl,336,77.4559
videomae,diving48,48,23.6548
videomae,diving48,96,27.1574
videomae,diving48,112,39.9492
videomae,diving48,160,43.2995
videomae,diving48,224,62.6396
videomae,driveact,48,54.8744
videomae,driveact,96,63.5155
videomae,driveact,112,71.418
videomae,driveact,160,76.2186
videomae,driveact,224,84.4165
videomae,driveact,336,74.8154
videomae,epic_kitchens,48,45.9043
videomae,epic_kitchens,96,50.6166
videomae,epic_kitchens,112,52.9964
videomae,epic_kitchens,160,55.3753
videomae,epic_kitchens,224,65.0804
videomae,epic_kitchens,336,58.0697
videomae,hmdb51,48,57.2581
videomae,hmdb51,96,68.246
videomae,hmdb51,112,71.4718
videomae,hmdb51,160,76.5121
videomae,hmdb51,224,86.5927
videomae,hmdb51,336,78.2258
videomae,ssv2,48,47.1889
videomae,ssv2,96,45.0297
videomae,ssv2,112,52.0018
videomae,ssv2,160,51.4913
videomae,ssv2,224,61.9945
videomae,ssv2,336,55.6502
videomae,ucf101,48,73.6981
videomae,ucf101,96,73.4672
videomae,ucf101,112,83.6152
videomae,ucf101,160,89.4528
videomae,ucf101,224,96.3795
videomae,ucf101,336,92.0983
videomamba,autsl,48,3.6668
videomamba,autsl,96,4.278
videomamba,autsl,112,16.5686
videomamba,autsl,160,22.0009
videomamba,autsl,224,20.1675
videomamba,autsl,336,0.5659
videomamba,diving48,48,12.7411
videomamba,diving48,96,20.1015
videomamba,diving48,112,24.3655
videomamba,diving48,160,32.4365
videomamba,driveact,48,38.774
videomamba,driveact,96,44.6824
videomamba,driveact,112,50.3693
videomamba,driveact,160,60.4874
videomamba,driveact,224,65.5835
videomamba,driveact,336,69.5716
videomamba,epic_kitchens,48,36.4124
videomamba,epic_kitchens,96,41.4265
videomamba,epic_kitchens,112,25.0938
videomamba,epic_kitchens,160,45.4082
videomamba,epic_kitchens,224,49.9732
videomamba,epic_kitchens,336,50.9115
videomamba,hmdb51,48,47.379
videomamba,hmdb51,96,49.2944
videomamba,hmdb51,112,48.1855
videomamba,hmdb51,160,63.3065
videomamba,hmdb51,224,60.5847
videomamba,hmdb51,336,47.5806
videomamba,ssv2,48,31.9893
videomamba,ssv2,96,41.0784
videomamba,ssv2,112,44.5171
videomamba,ssv2,160,49.1
videomamba,ssv2,224,51.3439
videomamba,ssv2,336,47.5946
videomamba,ucf101,48,51.89
videomamba,ucf101,96,67.0896
videomamba,ucf101,112,75.4493
videomamba,ucf101,160,41.2371
videomamba,ucf101,224,85.4387
videomamba,ucf101,336,83.8795
vivit,autsl,48,13.0149
vivit,autsl,96,16.5686
vivit,autsl,112,21.1182
vivit,autsl,160,40.4934
vivit,autsl,224,73.9022
vivit,diving48,48,18.9848
vivit,diving48,96,29.1878
