resolution,coverage,stride,top1,n
48,10,1,0.0375,1600
48,10,2,0.031875,1600
48,10,4,0.024375,1600
48,10,8,0.023125,1600
48,10,16,0.023125,1600
48,25,1,0.085,1600
48,25,2,0.066875,1600
48,25,4,0.03375,1600
48,25,8,0.02375,1600
48,25,16,0.02375,1600
48,50,1,0.229375,1600
48,50,2,0.151875,1600
48,50,4,0.08,1600
48,50,8,0.0475,1600
48,50,16,0.029375,1600
48,75,1,0.32125,1600
48,75,2,0.214375,1600
48,75,4,0.10125,1600
48,75,8,0.056875,1600
48,75,16,0.03875,1600
48,100,1,0.361875,1600
48,100,2,0.240625,1600
48,100,4,0.116875,1600
48,100,8,0.063125,1600
48,100,16,0.04375,1600
