resolution,coverage,stride,top1,n,model,dataset
48,10,1,0.0725,1600,timesformer,finegym
48,10,2,0.073125,1600,timesformer,finegym
48,10,4,0.065,1600,timesformer,finegym
48,10,8,0.058125,1600,timesformer,finegym
48,10,16,0.058125,1600,timesformer,finegym
48,25,1,0.11875,1600,timesformer,finegym
48,25,2,0.113125,1600,timesformer,finegym
48,25,4,0.095625,1600,timesformer,finegym
48,25,8,0.06625,1600,timesformer,finegym
48,25,16,0.06375,1600,timesformer,finegym
48,50,1,0.19875,1600,timesformer,finegym
48,50,2,0.19125,1600,timesformer,finegym
48,50,4,0.176875,1600,timesformer,finegym
48,50,8,0.1325,1600,timesformer,finegym
48,50,16,0.090625,1600,timesformer,finegym
48,75,1,0.241875,1600,timesformer,finegym
48,75,2,0.239375,1600,timesformer,finegym
48,75,4,0.224375,1600,timesformer,finegym
48,75,8,0.17875,1600,timesformer,finegym
48,75,16,0.12125,1600,timesformer,finegym
48,100,1,0.241875,1600,timesformer,finegym
48,100,2,0.246875,1600,timesformer,finegym
48,100,4,0.24625,1600,timesformer,finegym
48,100,8,0.195,1600,timesformer,finegym
48,100,16,0.141875,1600,timesformer,finegym
96,10,1,0.088125,1600,timesformer,finegym
96,10,2,0.0825,1600,timesformer,finegym
96,10,4,0.06875,1600,timesformer,finegym
96,10,8,0.065625,1600,timesformer,finegym
96,10,16,0.065,1600,timesformer,finegym
96,25,1,0.195,1600,timesformer,finegym
96,25,2,0.166875,1600,timesformer,finegym
96,25,4,0.136875,1600,timesformer,finegym
96,25,8,0.09125,1600,timesformer,finegym
96,25,16,0.075,1600,timesformer,finegym
96,50,1,0.40375,1600,timesformer,finegym
96,50,2,0.369375,1600,timesformer,finegym
96,50,4,0.304375,1600,timesformer,finegym
96,50,8,0.21125,1600,timesformer,finegym
96,50,16,0.12375,1600,timesformer,finegym
96,75,1,0.475,1600,timesformer,finegym
96,75,2,0.466875,1600,timesformer,finegym
96,75,4,0.418125,1600,timesformer,finegym
96,75,8,0.314375,1600,timesformer,finegym
96,75,16,0.170625,1600,timesformer,finegym
96,100,1,0.488125,1600,timesformer,finegym
96,100,2,0.4775,1600,timesformer,finegym
96,100,4,0.459375,1600,timesformer,finegym
96,100,8,0.383125,1600,timesformer,finegym
96,100,16,0.215625,1600,timesformer,finegym
112,10,1,0.086875,1600,timesformer,finegym
112,10,2,0.0775,1600,timesformer,finegym
112,10,4,0.07375,1600,timesformer,finegym
112,10,8,0.07125,1600,timesformer,finegym
112,10,16,0.07125,1600,timesformer,finegym
112,25,1,0.22,1600,timesformer,finegym
112,25,2,0.184375,1600,timesformer,finegym
112,25,4,0.143125,1600,timesformer,finegym
112,25,8,0.108125,1600,timesformer,finegym
112,25,16,0.085,1600,timesformer,finegym
112,50,1,0.43125,1600,timesformer,finegym
112,50,2,0.39,1600,timesformer,finegym
112,50,4,0.33375,1600,timesformer,finegym
112,50,8,0.226875,1600,timesformer,finegym
112,50,16,0.124375,1600,timesformer,finegym
112,75,1,0.484375,1600,timesformer,finegym
112,75,2,0.49,1600,timesformer,finegym
112,75,4,0.445625,1600,timesformer,finegym
112,75,8,0.3525,1600,timesformer,finegym
112,75,16,0.19375,1600,timesformer,finegym
112,100,1,0.508125,1600,timesformer,finegym
112,100,2,0.505,1600,timesformer,finegym
112,100,4,0.491875,1600,timesformer,finegym
112,100,8,0.41375,1600,timesformer,finegym
112,100,16,0.243125,1600,timesformer,finegym
160,10,1,0.09875,1600,timesformer,finegym
