dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
diving48,val,Le6xdQ2OO8w_00124,data/Diving48_data/videos/Le6xdQ2OO8w_00124.mp4,0,16,50,1,0,True,True,0.8096383810043335,0.0363866770057939,0.0012857119054388022,1.2610482490272261,106,16,16,16,False,
diving48,val,bl0C6d9QgIg_00021,data/Diving48_data/videos/bl0C6d9QgIg_00021.mp4,0,16,50,1,19,False,True,0.46748974919319153,0.027962079038843513,0.0012857119054388022,1.2196117330458947,51,16,16,16,False,
diving48,val,mGRum47TLX0_00045,data/Diving48_data/videos/mGRum47TLX0_00045.mp4,0,16,50,1,15,False,True,0.16959956288337708,0.03770450601587072,0.0012857119054388022,1.1877112169750035,211,16,16,16,False,
diving48,val,L_SB1PRgDTE_00029,data/Diving48_data/videos/L_SB1PRgDTE_00029.mp4,0,16,50,1,0,True,True,0.19796913862228394,0.03732399403816089,0.0012857119054388022,1.147180128027685,87,16,16,16,False,
diving48,val,Le6xdQ2OO8w_00154,data/Diving48_data/videos/Le6xdQ2OO8w_00154.mp4,0,16,50,1,0,True,True,0.5738512873649597,0.03474200196797028,0.0012857119054388022,1.1050450949696824,113,16,16,16,False,
diving48,val,Le6xdQ2OO8w_00127,data/Diving48_data/videos/Le6xdQ2OO8w_00127.mp4,0,16,50,1,32,False,True,0.12966269254684448,0.033650900004431605,0.0012857119054388022,1.0663936940254644,161,16,16,16,False,
diving48,val,Le6xdQ2OO8w_00121,data/Diving48_data/videos/Le6xdQ2OO8w_00121.mp4,0,16,50,1,34,False,False,0.2839852273464203,0.03427365096285939,0.0012857119054388022,1.029552741034422,110,16,16,16,False,
diving48,val,Le6xdQ2OO8w_00119,data/Diving48_data/videos/Le6xdQ2OO8w_00119.mp4,0,16,50,1,8,False,False,0.21906045079231262,0.03450432699173689,0.0012857119054388022,0.992852444993332,130,16,16,16,False,
diving48,val,bSsVWVfYU4w_00118,data/Diving48_data/videos/bSsVWVfYU4w_00118.mp4,0,16,50,1,34,False,True,0.21411871910095215,0.03294837998691946,0.0012857119054388022,0.9552959479624406,151,16,16,16,False,
diving48,val,bl0C6d9QgIg_00022,data/Diving48_data/videos/bl0C6d9QgIg_00022.mp4,0,16,50,1,19,False,True,0.3335460424423218,0.032611125032417476,0.0012857119054388022,0.9195454280124977,96,16,16,16,False,
diving48,val,bl0C6d9QgIg_00017,data/Diving48_data/videos/bl0C6d9QgIg_00017.mp4,0,16,50,1,8,False,False,0.2375834882259369,0.036323973967228085,0.0012857119054388022,0.8842696400242858,250,16,16,16,False,
diving48,val,bl0C6d9QgIg_00023,data/Diving48_data/videos/bl0C6d9QgIg_00023.mp4,0,16,50,1,0,True,True,0.8002589344978333,0.03386339795542881,0.0012857119054388022,0.8455358149949461,90,16,16,16,False,
diving48,val,bSsVWVfYU4w_00086,data/Diving48_data/videos/bSsVWVfYU4w_00086.mp4,0,16,50,1,36,False,True,0.7040517926216125,0.027295270992908627,0.0012857119054388022,0.8081913540372625,53,16,16,16,False,
diving48,val,bSsVWVfYU4w_00169,data/Diving48_data/videos/bSsVWVfYU4w_00169.mp4,0,16,50,1,0,True,True,0.9369819164276123,0.03345679701305926,0.0012857119054388022,0.7781960479915142,141,16,16,16,False,
diving48,val,MbzIpx8kAD0_00025,data/Diving48_data/videos/MbzIpx8kAD0_00025.mp4,0,16,50,1,8,False,False,0.5373473763465881,0.03254824801115319,0.0012857119054388022,0.7424342330195941,96,16,16,16,False,
diving48,val,ovWCmIMMkRI_00055,data/Diving48_data/videos/ovWCmIMMkRI_00055.mp4,0,16,50,1,20,False,False,0.6104705929756165,0.03254132199799642,0.0012857119054388022,0.7066973290056922,88,16,16,16,False,
diving48,val,Le6xdQ2OO8w_00139,data/Diving48_data/videos/Le6xdQ2OO8w_00139.mp4,0,16,50,1,8,False,False,0.17548631131649017,0.03700151696102694,0.0012857119054388022,0.6714041819795966,150,16,16,16,False,
diving48,val,Le6xdQ2OO8w_00160,data/Diving48_data/videos/Le6xdQ2OO8w_00160.mp4,0,16,50,1,1,False,True,0.4389031231403351,0.032695183996111155,0.0012857119054388022,0.6314503900357522,105,16,16,16,False,
diving48,val,Le6xdQ2OO8w_00120,data/Diving48_data/videos/Le6xdQ2OO8w_00120.mp4,0,16,50,1,0,True,True,0.9654022455215454,0.03156850696541369,0.0012857119054388022,0.5962722320109606,96,16,16,16,False,
diving48,val,zmacW6f2Tdk_00048,data/Diving48_data/videos/zmacW6f2Tdk_00048.mp4,0,16,50,1,0,True,True,0.6580554246902466,0.030517408973537385,0.0012857119054388022,0.5619545860099606,93,16,16,16,False,
diving48,val,cs8g1es4vfM_00034,data/Diving48_data/videos/cs8g1es4vfM_00034.mp4,1,16,50,1,0,False,True,0.3179014325141907,0.03408454597229138,0.0012857119054388022,0.528520806983579,64,16,16,16,False,
diving48,val,cs8g1es4vfM_00043,data/Diving48_data/videos/cs8g1es4vfM_00043.mp4,1,16,50,1,36,False,False,0.12233687192201614,0.030842598993331194,0.0012857119054388022,0.4915730129578151,93,16,16,16,False,
diving48,val,CVAfPfVFulQ_00076,data/Diving48_data/videos/CVAfPfVFulQ_00076.mp4,1,16,50,1,0,False,True,0.8313621878623962,0.03347036096965894,0.0012857119054388022,0.4583853119984269,92,16,16,16,False,
diving48,val,yHo2oERGo7A_00056,data/Diving48_data/videos/yHo2oERGo7A_00056.mp4,1,16,50,1,15,False,True,0.7563864588737488,0.04007915098918602,0.0012857119054388022,0.42169713199837133,122,16,16,16,False,
