dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
diving48,val,Le6xdQ2OO8w_00124,data/Diving48_data/videos/Le6xdQ2OO8w_00124.mp4,0,16,50,8,7,False,True,0.3707498610019684,0.022792957024648786,0.0023120388796087354,0.8137049388606101,106,7,16,16,False,
diving48,val,bl0C6d9QgIg_00021,data/Diving48_data/videos/bl0C6d9QgIg_00021.mp4,0,16,50,8,19,False,True,0.2655448317527771,0.015575459925457835,0.0023120388796087354,0.785331865074113,51,4,16,16,False,
diving48,val,mGRum47TLX0_00045,data/Diving48_data/videos/mGRum47TLX0_00045.mp4,0,16,50,8,4,False,True,0.4157262444496155,0.027781091863289475,0.0023120388796087354,0.7681650030426681,211,14,16,16,False,
diving48,val,L_SB1PRgDTE_00029,data/Diving48_data/videos/L_SB1PRgDTE_00029.mp4,0,16,50,8,34,False,True,0.22704337537288666,0.019983374048024416,0.0023120388796087354,0.7385487400460988,87,6,16,16,False,
diving48,val,Le6xdQ2OO8w_00154,data/Diving48_data/videos/Le6xdQ2OO8w_00154.mp4,0,16,50,8,8,False,False,0.19417035579681396,0.018589321989566088,0.0023120388796087354,0.7152760210447013,113,7,16,16,False,
diving48,val,Le6xdQ2OO8w_00127,data/Diving48_data/videos/Le6xdQ2OO8w_00127.mp4,0,16,50,8,34,False,True,0.21631039679050446,0.02069406700320542,0.0023120388796087354,0.6951080239377916,161,10,16,16,False,
diving48,val,Le6xdQ2OO8w_00121,data/Diving48_data/videos/Le6xdQ2OO8w_00121.mp4,0,16,50,8,34,False,False,0.4254719018936157,0.01944900583475828,0.0023120388796087354,0.6723155390936881,110,7,16,16,False,
diving48,val,Le6xdQ2OO8w_00119,data/Diving48_data/videos/Le6xdQ2OO8w_00119.mp4,0,16,50,8,34,False,True,0.12990686297416687,0.020705261966213584,0.0023120388796087354,0.651082499884069,130,9,16,16,False,
diving48,val,bSsVWVfYU4w_00118,data/Diving48_data/videos/bSsVWVfYU4w_00118.mp4,0,16,50,8,4,False,True,0.5498383641242981,0.018309348030015826,0.0023120388796087354,0.6280440790578723,151,10,16,16,False,
diving48,val,bl0C6d9QgIg_00022,data/Diving48_data/videos/bl0C6d9QgIg_00022.mp4,0,16,50,8,35,False,False,0.8355445861816406,0.015119386836886406,0.0023120388796087354,0.6082083450164646,96,6,16,16,False,
diving48,val,bl0C6d9QgIg_00017,data/Diving48_data/videos/bl0C6d9QgIg_00017.mp4,0,16,50,8,46,False,False,0.16490387916564941,0.0266586160287261,0.0023120388796087354,0.591057637007907,250,16,16,16,False,
diving48,val,bl0C6d9QgIg_00023,data/Diving48_data/videos/bl0C6d9QgIg_00023.mp4,0,16,50,8,0,True,True,0.20173116028308868,0.02228282089345157,0.0023120388796087354,0.5626026459503919,90,6,16,16,False,
diving48,val,bSsVWVfYU4w_00086,data/Diving48_data/videos/bSsVWVfYU4w_00086.mp4,0,16,50,8,35,False,True,0.34990859031677246,0.01354428706690669,0.0023120388796087354,0.5385004989802837,53,4,16,16,False,
diving48,val,bSsVWVfYU4w_00169,data/Diving48_data/videos/bSsVWVfYU4w_00169.mp4,0,16,50,8,0,True,True,0.5118921995162964,0.01877310103736818,0.0023120388796087354,0.5239558501634747,141,9,16,16,False,
diving48,val,MbzIpx8kAD0_00025,data/Diving48_data/videos/MbzIpx8kAD0_00025.mp4,0,16,50,8,31,False,False,0.24185976386070251,0.014685452217236161,0.0023120388796087354,0.503738951869309,96,6,16,16,False,
diving48,val,ovWCmIMMkRI_00055,data/Diving48_data/videos/ovWCmIMMkRI_00055.mp4,0,16,50,8,35,False,False,0.6505070924758911,0.015281943837180734,0.0023120388796087354,0.4871194460429251,88,6,16,16,False,
diving48,val,Le6xdQ2OO8w_00139,data/Diving48_data/videos/Le6xdQ2OO8w_00139.mp4,0,16,50,8,34,False,False,0.5544010996818542,0.021241605980321765,0.0023120388796087354,0.47027561883442104,150,10,16,16,False,
diving48,val,Le6xdQ2OO8w_00160,data/Diving48_data/videos/Le6xdQ2OO8w_00160.mp4,0,16,50,8,7,False,False,0.6173415780067444,0.018602022901177406,0.0023120388796087354,0.4472089170012623,105,7,16,16,False,
diving48,val,Le6xdQ2OO8w_00120,data/Diving48_data/videos/Le6xdQ2OO8w_00120.mp4,0,16,50,8,0,True,True,0.5926268100738525,0.016786818858236074,0.0023120388796087354,0.42717852909117937,96,6,16,16,False,
diving48,val,zmacW6f2Tdk_00048,data/Diving48_data/videos/zmacW6f2Tdk_00048.mp4,0,16,50,8,7,False,True,0.5874958634376526,0.014408913906663656,0.0023120388796087354,0.4079352938570082,93,6,16,16,False,
diving48,val,cs8g1es4vfM_00034,data/Diving48_data/videos/cs8g1es4vfM_00034.mp4,1,16,50,8,21,False,True,0.18806762993335724,0.01602905197069049,0.0023120388796087354,0.3917241308372468,64,4,16,16,False,
diving48,val,cs8g1es4vfM_00043,data/Diving48_data/videos/cs8g1es4vfM_00043.mp4,1,16,50,8,46,False,False,0.24726790189743042,0.014050745172426105,0.0023120388796087354,0.37263325694948435,93,6,16,16,False,
diving48,val,CVAfPfVFulQ_00076,data/Diving48_data/videos/CVAfPfVFulQ_00076.mp4,1,16,50,8,5,False,False,0.17215758562088013,0.01617976208217442,0.0023120388796087354,0.35685148113407195,92,6,16,16,False,
diving48,val,yHo2oERGo7A_00056,data/Diving48_data/videos/yHo2oERGo7A_00056.mp4,1,16,50,8,7,False,False,0.34630724787712097,0.023834175895899534,0.0023120388796087354,0.3374051279388368,122,8,16,16,False,
diving48,val,ovWCmIMMkRI_00058,data/Diving48_data/videos/ovWCmIMMkRI_00058.mp4,1,16,50,8,0,False,True,0.15036450326442719,0.01819707080721855,0.0023120388796087354,0.3115779119543731,105,7,16,16,False,
diving48,val,yHo2oERGo7A_00058,data/Diving48_data/videos/yHo2oERGo7A_00058.mp4,1,16,50,8,33,False,False,0.3799508810043335,0.015449294820427895,0.0023120388796087354,0.29210692388005555,94,6,16,16,False,
diving48,val,cs8g1es4vfM_00056,data/Diving48_data/videos/cs8g1es4vfM_00056.mp4,1,16,50,8,7,False,False,0.35903269052505493,0.016035237116739154,0.0023120388796087354,0.27428233390673995,102,7,16,16,False,
diving48,val,SbzcCzXjYSU_00049,data/Diving48_data/videos/SbzcCzXjYSU_00049.mp4,1,16,50,8,7,False,False,0.2667727470397949,0.017381238052621484,0.0023120388796087354,0.25658999290317297,87,6,16,16,False,
diving48,val,cs8g1es4vfM_00010,data/Diving48_data/videos/cs8g1es4vfM_00010.mp4,1,16,50,8,8,False,False,0.1793748438358307,0.0186246270313859,0.0023120388796087354,0.23707932489924133,77,5,16,16,False,
diving48,val,ovWCmIMMkRI_00034,data/Diving48_data/videos/ovWCmIMMkRI_00034.mp4,1,16,50,8,4,False,False,0.2626776695251465,0.01657677604816854,0.0023120388796087354,0.21540088905021548,92,6,16,16,False,
diving48,val,yHo2oERGo7A_00057,data/Diving48_data/videos/yHo2oERGo7A_00057.mp4,1,16,50,8,33,False,False,0.41052529215812683,0.015840729931369424,0.0023120388796087354,0.19704147498123348,102,7,16,16,False,
diving48,val,SbzcCzXjYSU_00056,data/Diving48_data/videos/SbzcCzXjYSU_00056.mp4,1,16,50,8,7,False,False,0.20123499631881714,0.02454285300336778,0.0023120388796087354,0.1793091690633446,109,7,16,16,False,
diving48,val,jMEYIEYkpY0_00103,data/Diving48_data/videos/jMEYIEYkpY0_00103.mp4,1,16,50,8,33,False,False,0.09546549618244171,0.02435448602773249,0.0021174206558498554,0.8038896778598428,140,9,16,16,False,
diving48,val,ovWCmIMMkRI_00033,data/Diving48_data/videos/ovWCmIMMkRI_00033.mp4,1,16,50,8,5,False,True,0.14764197170734406,0.016970408847555518,0.0021174206558498554,0.7774675500113517,72,5,16,16,False,
diving48,val,ovWCmIMMkRI_00057,data/Diving48_data/videos/ovWCmIMMkRI_00057.mp4,1,16,50,8,5,False,False,0.16902533173561096,0.017112849978730083,0.0021174206558498554,0.7581527319271117,102,7,16,16,False,
diving48,val,MbzIpx8kAD0_00065,data/Diving48_data/videos/MbzIpx8kAD0_00065.mp4,1,16,50,8,31,False,False,0.11393682658672333,0.02098304103128612,0.0021174206558498554,0.7396004260517657,164,11,16,16,False,
diving48,val,cs8g1es4vfM_00033,data/Diving48_data/videos/cs8g1es4vfM_00033.mp4,1,16,50,8,5,False,False,0.1471993625164032,0.015417586080729961,0.0021174206558498554,0.7169929021038115,99,7,16,16,False,
diving48,val,cs8g1es4vfM_00032,data/Diving48_data/videos/cs8g1es4vfM_00032.mp4,1,16,50,8,35,False,False,0.337195485830307,0.02292443998157978,0.0021174206558498554,0.6995534549932927,155,10,16,16,False,
diving48,val,ovWCmIMMkRI_00056,data/Diving48_data/videos/ovWCmIMMkRI_00056.mp4,1,16,50,8,0,False,True,0.12768779695034027,0.02196268690750003,0.0021174206558498554,0.6747991009615362,90,6,16,16,False,
diving48,val,yHo2oERGo7A_00088,data/Diving48_data/videos/yHo2oERGo7A_00088.mp4,1,16,50,8,35,False,False,0.18058504164218903,0.017661088844761252,0.0021174206558498554,0.6509680831804872,114,8,16,16,False,
diving48,val,zmacW6f2Tdk_00058,data/Diving48_data/videos/zmacW6f2Tdk_00058.mp4,2,16,50,8,5,False,True,0.4068717360496521,0.017176381079480052,0.0021174206558498554,0.6311822538264096,126,8,16,16,False,
diving48,val,rRw7peH60Yw_00032,data/Diving48_data/videos/rRw7peH60Yw_00032.mp4,2,16,50,8,21,False,False,0.2805667221546173,0.022522621089592576,0.0021174206558498554,0.6119738898705691,128,8,16,16,False,
diving48,val,zmacW6f2Tdk_00057,data/Diving48_data/videos/zmacW6f2Tdk_00057.mp4,2,16,50,8,33,False,False,0.40885215997695923,0.022332099033519626,0.0021174206558498554,0.5861325240693986,127,8,16,16,False,
diving48,val,Le6xdQ2OO8w_00215,data/Diving48_data/videos/Le6xdQ2OO8w_00215.mp4,3,16,50,8,7,False,False,0.8415317535400391,0.014478110941126943,0.0021174206558498554,0.5625386270694435,70,5,16,16,False,
diving48,val,Le6xdQ2OO8w_00201,data/Diving48_data/videos/Le6xdQ2OO8w_00201.mp4,3,16,50,8,34,False,False,0.3450995981693268,0.0208551581017673,0.0021174206558498554,0.5453384290449321,133,9,16,16,False,
diving48,val,zmacW6f2Tdk_00039,data/Diving48_data/videos/zmacW6f2Tdk_00039.mp4,3,16,50,8,33,False,False,0.5039377808570862,0.020521736005321145,0.0021174206558498554,0.5218665290158242,96,6,16,16,False,
diving48,val,Jud-06v5Ghw_00001,data/Diving48_data/videos/Jud-06v5Ghw_00001.mp4,3,16,50,8,3,True,True,0.23262615501880646,0.0180675839073956,0.0021174206558498554,0.49911895487457514,115,8,16,16,False,
diving48,val,Le6xdQ2OO8w_00249,data/Diving48_data/videos/Le6xdQ2OO8w_00249.mp4,3,16,50,8,7,False,True,0.9767531156539917,0.018378294073045254,0.0021174206558498554,0.47879885183647275,86,6,16,16,False,
diving48,val,Le6xdQ2OO8w_00256,data/Diving48_data/videos/Le6xdQ2OO8w_00256.mp4,3,16,50,8,33,False,False,0.31829553842544556,0.01490240590646863,0.0021174206558498554,0.4568295478820801,60,4,16,16,False,
diving48,val,jMEYIEYkpY0_00031,data/Diving48_data/videos/jMEYIEYkpY0_00031.mp4,3,16,50,8,7,False,False,0.5044952630996704,0.018607746111229062,0.0021174206558498554,0.43715155497193336,117,8,16,16,False,
diving48,val,Le6xdQ2OO8w_00202,data/Diving48_data/videos/Le6xdQ2OO8w_00202.mp4,3,16,50,8,33,False,False,0.38681158423423767,0.01780292415060103,0.0021174206558498554,0.4172589990776032,105,7,16,16,False,
diving48,val,CVAfPfVFulQ_00079,data/Diving48_data/videos/CVAfPfVFulQ_00079.mp4,3,16,50,8,12,False,False,0.30903851985931396,0.011898993980139494,0.0021174206558498554,0.3975915249902755,41,3,16,16,False,
diving48,val,CVAfPfVFulQ_00084,data/Diving48_data/videos/CVAfPfVFulQ_00084.mp4,3,16,50,8,44,False,False,0.222470223903656,0.015220800880342722,0.0021174206558498554,0.38355326489545405,71,5,16,16,False,
diving48,val,yHo2oERGo7A_00006,data/Diving48_data/videos/yHo2oERGo7A_00006.mp4,3,16,50,8,7,False,True,0.8973479866981506,0.013408003840595484,0.0021174206558498554,0.3660856229253113,61,4,16,16,False,
diving48,val,SbzcCzXjYSU_00020,data/Diving48_data/videos/SbzcCzXjYSU_00020.mp4,3,16,50,8,33,False,False,0.5987492799758911,0.013733287109062076,0.0021174206558498554,0.35023692809045315,62,4,16,16,False,
diving48,val,jMEYIEYkpY0_00030,data/Diving48_data/videos/jMEYIEYkpY0_00030.mp4,3,16,50,8,4,False,False,0.3058007061481476,0.016559259966015816,0.0021174206558498554,0.33436973206698895,113,7,16,16,False,
diving48,val,Le6xdQ2OO8w_00172,data/Diving48_data/videos/Le6xdQ2OO8w_00172.mp4,3,16,50,8,33,False,False,0.6338013410568237,0.018376667983829975,0.0021174206558498554,0.3159370918292552,105,7,16,16,False,
diving48,val,Le6xdQ2OO8w_00228,data/Diving48_data/videos/Le6xdQ2OO8w_00228.mp4,3,16,50,8,33,False,False,0.8469052910804749,0.018183816922828555,0.0021174206558498554,0.29559634486213326,76,5,16,16,False,
diving48,val,roFeEJPgJD8_00038,data/Diving48_data/videos/roFeEJPgJD8_00038.mp4,3,16,50,8,33,False,False,0.2578675448894501,0.01777453999966383,0.0021174206558498554,0.2762288188096136,79,5,16,16,False,
diving48,val,jMEYIEYkpY0_00029,data/Diving48_data/videos/jMEYIEYkpY0_00029.mp4,3,16,50,8,7,False,True,0.3678792119026184,0.02592069492675364,0.0021174206558498554,0.2559589820448309,189,12,16,16,False,
diving48,val,Le6xdQ2OO8w_00226,data/Diving48_data/videos/Le6xdQ2OO8w_00226.mp4,3,16,50,8,7,False,False,0.9768545031547546,0.0215248370077461,0.0021174206558498554,0.22820269782096148,98,7,16,16,False,
diving48,val,zmacW6f2Tdk_00040,data/Diving48_data/videos/zmacW6f2Tdk_00040.mp4,3,16,50,8,7,False,False,0.3457481563091278,0.017120091943070292,0.0021174206558498554,0.20381119893863797,131,9,16,16,False,
diving48,val,Le6xdQ2OO8w_00229,data/Diving48_data/videos/Le6xdQ2OO8w_00229.mp4,3,16,50,8,33,False,False,0.5176927447319031,0.02036537998355925,0.0021174206558498554,0.18458896200172603,109,7,16,16,False,
diving48,val,CVAfPfVFulQ_00080,data/Diving48_data/videos/CVAfPfVFulQ_00080.mp4,4,16,50,8,8,False,True,0.508425235748291,0.013972650980576873,0.0021174206558498554,0.16167305316776037,65,4,16,16,False,
diving48,val,Le6xdQ2OO8w_00234,data/Diving48_data/videos/Le6xdQ2OO8w_00234.mp4,4,16,50,8,33,False,False,0.4552442729473114,0.030815358040854335,0.0021480715950019658,0.8266324959695339,203,13,16,16,False,
