coverage,stride,top1,n
10,1,0.4620535714285714,448
10,2,0.4419642857142857,448
10,4,0.4196428571428571,448
10,8,0.40625,448
10,16,0.40625,448
25,1,0.5267857142857143,448
25,2,0.4910714285714285,448
25,4,0.4598214285714285,448
25,8,0.4352678571428571,448
25,16,0.40625,448
50,1,0.6160714285714286,448
50,2,0.5803571428571429,448
50,4,0.5267857142857143,448
50,8,0.4575892857142857,448
50,16,0.4419642857142857,448
75,1,0.6495535714285714,448
75,2,0.65625,448
75,4,0.59375,448
75,8,0.5133928571428571,448
75,16,0.4821428571428571,448
100,1,0.6852678571428571,448
100,2,0.6852678571428571,448
100,4,0.640625,448
100,8,0.5535714285714286,448
100,16,0.4910714285714285,448
