dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
epic_kitchens,val,P26_107_7,data/EPIC_data/clips/P26/P26_107_7.mp4,0,16,50,8,1,False,True,0.696386992931366,0.042170653119683266,0.0127517297223676,1.9282414950430393,154,10,16,16,False,
epic_kitchens,val,P03_101_188,data/EPIC_data/clips/P03/P03_101_188.mp4,0,16,50,8,0,True,True,0.42162930965423584,0.15207346715033054,0.0127517297223676,1.8824738110415637,942,16,16,16,False,
epic_kitchens,val,P04_113_291,data/EPIC_data/clips/P04/P04_113_291.mp4,0,16,50,8,1,False,True,0.5310968160629272,0.024705913849174976,0.0127517297223676,1.7247389000840485,27,2,16,16,False,
epic_kitchens,val,P01_105_229,data/EPIC_data/clips/P01/P01_105_229.mp4,0,16,50,8,1,False,True,0.874746561050415,0.024097020039334893,0.0127517297223676,1.6978071490302682,31,2,16,16,False,
epic_kitchens,val,P22_103_180,data/EPIC_data/clips/P22/P22_103_180.mp4,0,16,50,8,1,False,True,0.7455788850784302,0.03133359597995877,0.0127517297223676,1.6707550389692187,64,4,16,16,False,
epic_kitchens,val,P26_108_5,data/EPIC_data/clips/P26/P26_108_5.mp4,0,16,50,8,1,False,True,0.6710754036903381,0.04811960202641785,0.0127517297223676,1.63657691096887,231,15,16,16,False,
epic_kitchens,val,P35_108_238,data/EPIC_data/clips/P35/P35_108_238.mp4,0,16,50,8,1,False,True,0.46229928731918335,0.03244450897909701,0.0127517297223676,1.584063959075138,51,4,16,16,False,
epic_kitchens,val,P03_101_33,data/EPIC_data/clips/P03/P03_101_33.mp4,0,16,50,8,1,False,True,0.5328283309936523,0.027700013015419245,0.0127517297223676,1.5481237501371652,55,4,16,16,False,
epic_kitchens,val,P35_104_290,data/EPIC_data/clips/P35/P35_104_290.mp4,0,16,50,8,0,True,True,0.36887863278388977,0.02783673699013889,0.0127517297223676,1.5176568010356277,51,4,16,16,False,
epic_kitchens,val,P30_111_263,data/EPIC_data/clips/P30/P30_111_263.mp4,0,16,50,8,0,True,True,0.3182348310947418,0.023369680857285857,0.0127517297223676,1.4873252781108022,30,2,16,16,False,
epic_kitchens,val,P12_105_39,data/EPIC_data/clips/P12/P12_105_39.mp4,0,16,50,8,1,False,True,0.5387507677078247,0.038306331960484385,0.0127517297223676,1.4612027320545167,133,9,16,16,False,
epic_kitchens,val,P30_107_239,data/EPIC_data/clips/P30/P30_107_239.mp4,0,16,50,8,1,False,True,0.9194642305374146,0.0259336328599602,0.0127517297223676,1.419273667037487,39,3,16,16,False,
epic_kitchens,val,P35_107_238,data/EPIC_data/clips/P35/P35_107_238.mp4,0,16,50,8,1,False,True,0.27389636635780334,0.032458381028845906,0.0127517297223676,1.3906105991918594,63,4,16,16,False,
epic_kitchens,val,P27_101_37,data/EPIC_data/clips/P27/P27_101_37.mp4,0,16,50,8,1,False,True,0.7245333790779114,0.031161789083853364,0.0127517297223676,1.3538841060362756,58,4,16,16,False,
epic_kitchens,val,P22_109_45,data/EPIC_data/clips/P22/P22_109_45.mp4,0,16,50,8,4,False,True,0.9402307271957397,0.02632333990186453,0.0127517297223676,1.3186882650479674,45,3,16,16,False,
epic_kitchens,val,P30_113_111,data/EPIC_data/clips/P30/P30_113_111.mp4,0,16,50,8,1,False,True,0.7230843305587769,0.025922445114701986,0.0127517297223676,1.2856480891350657,56,4,16,16,False,
epic_kitchens,val,P35_104_576,data/EPIC_data/clips/P35/P35_104_576.mp4,0,16,50,8,1,False,True,0.5062651634216309,0.025946837849915028,0.0127517297223676,1.2552882609888911,62,4,16,16,False,
epic_kitchens,val,P37_101_328,data/EPIC_data/clips/P37/P37_101_328.mp4,0,16,50,8,1,False,True,0.9228383302688599,0.028496921062469482,0.0127517297223676,1.226283140014857,55,4,16,16,False,
epic_kitchens,val,P12_104_0,data/EPIC_data/clips/P12/P12_104_0.mp4,0,16,50,8,1,False,True,0.45259326696395874,0.031950895907357335,0.0127517297223676,1.1939285029657185,87,6,16,16,False,
epic_kitchens,val,P01_109_124,data/EPIC_data/clips/P01/P01_109_124.mp4,0,16,50,8,0,True,True,0.6544510126113892,0.024824221152812243,0.0127517297223676,1.1591964629478753,33,2,16,16,False,
epic_kitchens,val,P03_107_18,data/EPIC_data/clips/P03/P03_107_18.mp4,1,16,50,8,1,True,True,0.7613136172294617,0.03202210599556565,0.0127517297223676,1.1317686471156776,110,7,16,16,False,
epic_kitchens,val,P02_121_55,data/EPIC_data/clips/P02/P02_121_55.mp4,1,16,50,8,0,False,True,0.30141550302505493,0.03521414310671389,0.0127517297223676,1.0968483199831098,71,5,16,16,False,
