dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
epic_kitchens,val,P26_107_7,data/EPIC_data/clips/P26/P26_107_7.mp4,0,16,25,16,4,False,True,0.6300749182701111,0.024654631968587637,0.0012301790920901112,0.7912734698038548,154,3,16,16,False,
epic_kitchens,val,P03_101_188,data/EPIC_data/clips/P03/P03_101_188.mp4,0,16,25,16,1,False,False,0.9162334203720093,0.0702073781285435,0.0012301790920901112,0.7641606549732387,942,15,16,16,False,
epic_kitchens,val,P04_113_291,data/EPIC_data/clips/P04/P04_113_291.mp4,0,16,25,16,1,False,True,0.625217854976654,0.01726632588542998,0.0012301790920901112,0.6906833609100431,27,1,16,16,False,
epic_kitchens,val,P01_105_229,data/EPIC_data/clips/P01/P01_105_229.mp4,0,16,25,16,1,False,True,0.7975573539733887,0.016332858940586448,0.0012301790920901112,0.6704110738355666,31,1,16,16,False,
epic_kitchens,val,P22_103_180,data/EPIC_data/clips/P22/P22_103_180.mp4,0,16,25,16,1,False,True,0.808934211730957,0.01604144903831184,0.0012301790920901112,0.650634648045525,64,1,16,16,False,
epic_kitchens,val,P26_108_5,data/EPIC_data/clips/P26/P26_108_5.mp4,0,16,25,16,1,False,True,0.9830431342124939,0.02621247502975166,0.0012301790920901112,0.6319758370518684,231,4,16,16,False,
epic_kitchens,val,P35_108_238,data/EPIC_data/clips/P35/P35_108_238.mp4,0,16,25,16,0,True,True,0.8510568737983704,0.017350303940474987,0.0012301790920901112,0.6029943809844553,51,1,16,16,False,
epic_kitchens,val,P03_101_33,data/EPIC_data/clips/P03/P03_101_33.mp4,0,16,25,16,1,False,True,0.9460082650184631,0.017650471068918705,0.0012301790920901112,0.581848526140675,55,1,16,16,False,
epic_kitchens,val,P35_104_290,data/EPIC_data/clips/P35/P35_104_290.mp4,0,16,25,16,1,False,True,0.9822514653205872,0.016931694000959396,0.0012301790920901112,0.5607601939700544,51,1,16,16,False,
epic_kitchens,val,P30_111_263,data/EPIC_data/clips/P30/P30_111_263.mp4,0,16,25,16,0,True,True,0.19148536026477814,0.015786026837304235,0.0012301790920901112,0.5408038499299437,30,1,16,16,False,
epic_kitchens,val,P12_105_39,data/EPIC_data/clips/P12/P12_105_39.mp4,0,16,25,16,1,False,True,0.7197837233543396,0.022925619035959244,0.0012301790920901112,0.5216631430666894,133,3,16,16,False,
epic_kitchens,val,P30_107_239,data/EPIC_data/clips/P30/P30_107_239.mp4,0,16,25,16,0,True,True,0.409376323223114,0.015679993899539113,0.0012301790920901112,0.4956834379117936,39,1,16,16,False,
epic_kitchens,val,P35_107_238,data/EPIC_data/clips/P35/P35_107_238.mp4,0,16,25,16,0,True,True,0.8930097222328186,0.016687739873304963,0.0012301790920901112,0.4766347829718143,63,1,16,16,False,
epic_kitchens,val,P27_101_37,data/EPIC_data/clips/P27/P27_101_37.mp4,0,16,25,16,1,False,True,0.9450063705444336,0.0167806688696146,0.0012301790920901112,0.4568560200277716,58,1,16,16,False,
epic_kitchens,val,P22_109_45,data/EPIC_data/clips/P22/P22_109_45.mp4,0,16,25,16,1,False,True,0.9543712139129639,0.01669340906664729,0.0012301790920901112,0.43720993399620056,45,1,16,16,False,
epic_kitchens,val,P30_113_111,data/EPIC_data/clips/P30/P30_113_111.mp4,0,16,25,16,1,False,True,0.7444254159927368,0.01464050100184977,0.0012301790920901112,0.41744982497766614,56,1,16,16,False,
epic_kitchens,val,P35_104_576,data/EPIC_data/clips/P35/P35_104_576.mp4,0,16,25,16,1,False,True,0.9549001455307007,0.014760744059458375,0.0012301790920901112,0.399993889965117,62,1,16,16,False,
epic_kitchens,val,P37_101_328,data/EPIC_data/clips/P37/P37_101_328.mp4,0,16,25,16,0,True,True,0.786582350730896,0.01532969600521028,0.0012301790920901112,0.3818813811521977,55,1,16,16,False,
epic_kitchens,val,P12_104_0,data/EPIC_data/clips/P12/P12_104_0.mp4,0,16,25,16,1,False,True,0.4819645285606384,0.020289825042709708,0.0012301790920901112,0.36383444792591035,87,2,16,16,False,
epic_kitchens,val,P01_109_124,data/EPIC_data/clips/P01/P01_109_124.mp4,0,16,25,16,1,False,True,0.8113867044448853,0.014867417048662901,0.0012301790920901112,0.3406513319350779,33,1,16,16,False,
epic_kitchens,val,P03_107_18,data/EPIC_data/clips/P03/P03_107_18.mp4,1,16,25,16,0,False,True,0.5037126541137695,0.01766055915504694,0.0012301790920901112,0.3222549061756581,110,2,16,16,False,
epic_kitchens,val,P02_121_55,data/EPIC_data/clips/P02/P02_121_55.mp4,1,16,25,16,0,False,True,0.8608007431030273,0.02172882203012705,0.0012301790920901112,0.30158537090756,71,2,16,16,False,
epic_kitchens,val,P04_107_120,data/EPIC_data/clips/P04/P04_107_120.mp4,1,16,25,16,0,False,True,0.7812416553497314,0.019820667104795575,0.0012301790920901112,0.27662079595029354,76,2,16,16,False,
epic_kitchens,val,P04_121_105,data/EPIC_data/clips/P04/P04_121_105.mp4,1,16,25,16,1,True,True,0.9730324149131775,0.02149120904505253,0.0012301790920901112,0.2534241781104356,104,2,16,16,False,
epic_kitchens,val,P22_109_693,data/EPIC_data/clips/P22/P22_109_693.mp4,1,16,25,16,1,True,True,0.9891104102134705,0.017837471095845103,0.0012301790920901112,0.22854112810455263,109,2,16,16,False,
epic_kitchens,val,P28_104_96,data/EPIC_data/clips/P28/P28_104_96.mp4,1,16,25,16,1,True,True,0.938588559627533,0.02173604187555611,0.0012301790920901112,0.20722298207692802,71,2,16,16,False,
epic_kitchens,val,P26_117_49,data/EPIC_data/clips/P26/P26_117_49.mp4,1,16,25,16,1,True,True,0.881353497505188,0.014082793146371841,0.0012301790920901112,0.1813985239714384,56,1,16,16,False,
epic_kitchens,val,P25_107_493,data/EPIC_data/clips/P25/P25_107_493.mp4,1,16,25,16,1,True,True,0.816775918006897,0.016613462939858437,0.0012301790920901112,0.16455276892520487,54,1,16,16,False,
epic_kitchens,val,P01_105_699,data/EPIC_data/clips/P01/P01_105_699.mp4,1,16,25,16,1,True,True,0.9581724405288696,0.01823264011181891,0.0012301790920901112,0.14494324708357453,30,1,16,16,False,
epic_kitchens,val,P04_119_175,data/EPIC_data/clips/P04/P04_119_175.mp4,1,16,25,16,0,False,True,0.7803548574447632,0.017329647904261947,0.0012301790920901112,0.1235441118478775,47,1,16,16,False,
epic_kitchens,val,P09_104_41,data/EPIC_data/clips/P09/P09_104_41.mp4,1,16,25,16,0,False,True,0.43683430552482605,0.021329671144485474,0.0012301790920901112,0.10294958483427763,153,3,16,16,False,
epic_kitchens,val,P03_101_15,data/EPIC_data/clips/P03/P03_101_15.mp4,1,16,25,16,8,False,True,0.3313066363334656,0.02440597186796367,0.0012301790920901112,0.07940543303266168,252,4,16,16,False,
epic_kitchens,val,P35_109_281,data/EPIC_data/clips/P35/P35_109_281.mp4,1,16,25,16,0,False,True,0.6321015357971191,0.02854288904927671,0.0012521738754003309,0.8879131691064686,150,3,16,16,False,
epic_kitchens,val,P22_106_17,data/EPIC_data/clips/P22/P22_106_17.mp4,1,16,25,16,1,True,True,0.8636042475700378,0.020398912951350212,0.0012521738754003309,0.856907790992409,70,2,16,16,False,
epic_kitchens,val,P25_107_191,data/EPIC_data/clips/P25/P25_107_191.mp4,1,16,25,16,1,True,True,0.4455946385860443,0.01966428500600159,0.0012521738754003309,0.8328117788769305,93,2,16,16,False,
epic_kitchens,val,P25_106_83,data/EPIC_data/clips/P25/P25_106_83.mp4,1,16,25,16,1,True,True,0.8410712480545044,0.016659578075632453,0.0012521738754003309,0.8103802760597318,43,1,16,16,False,
epic_kitchens,val,P04_109_336,data/EPIC_data/clips/P04/P04_109_336.mp4,1,16,25,16,1,True,True,0.6075595617294312,0.022849451983347535,0.0012521738754003309,0.7904492148663849,77,2,16,16,False,
epic_kitchens,val,P22_117_314,data/EPIC_data/clips/P22/P22_117_314.mp4,1,16,25,16,1,True,True,0.9598407745361328,0.015816099010407925,0.0012521738754003309,0.7632268990855664,29,1,16,16,False,
epic_kitchens,val,P11_103_19,data/EPIC_data/clips/P11/P11_103_19.mp4,1,16,25,16,1,True,True,0.9022828936576843,0.015656332951039076,0.0012521738754003309,0.7448814800009131,37,1,16,16,False,
epic_kitchens,val,P03_120_171,data/EPIC_data/clips/P03/P03_120_171.mp4,1,16,25,16,1,True,True,0.5528944134712219,0.016454323893412948,0.0012521738754003309,0.7256119081284851,54,1,16,16,False,
epic_kitchens,val,P12_101_476,data/EPIC_data/clips/P12/P12_101_476.mp4,2,16,25,16,6,False,True,0.8182352781295776,0.016031573992222548,0.0012521738754003309,0.7048578481189907,63,1,16,16,False,
epic_kitchens,val,P01_102_66,data/EPIC_data/clips/P01/P01_102_66.mp4,2,16,25,16,1,False,True,0.6062712669372559,0.030213125981390476,0.0012521738754003309,0.6850693251471967,287,5,16,16,False,
epic_kitchens,val,P03_109_221,data/EPIC_data/clips/P03/P03_109_221.mp4,2,16,25,16,1,False,False,0.6876416802406311,0.01747976685874164,0.0012521738754003309,0.6524628880433738,29,1,16,16,False,
epic_kitchens,val,P03_121_13,data/EPIC_data/clips/P03/P03_121_13.mp4,2,16,25,16,8,False,False,0.3699062764644623,0.02272662497125566,0.0012521738754003309,0.632718960987404,163,3,16,16,False,
epic_kitchens,val,P22_116_128,data/EPIC_data/clips/P22/P22_116_128.mp4,2,16,25,16,2,True,True,0.7171145677566528,0.03504211991094053,0.0012521738754003309,0.6077471489552408,364,6,16,16,False,
epic_kitchens,val,P25_107_183,data/EPIC_data/clips/P25/P25_107_183.mp4,2,16,25,16,1,False,True,0.9329255223274231,0.027138530043885112,0.0012521738754003309,0.5696378650609404,201,4,16,16,False,
epic_kitchens,val,P22_116_184,data/EPIC_data/clips/P22/P22_116_184.mp4,2,16,25,16,1,False,True,0.3677314221858978,0.018310730112716556,0.0012521738754003309,0.5401880948338658,112,2,16,16,False,
epic_kitchens,val,P25_106_32,data/EPIC_data/clips/P25/P25_106_32.mp4,2,16,25,16,2,True,True,0.1693820208311081,0.019411138026043773,0.0012521738754003309,0.5200606728903949,70,2,16,16,False,
epic_kitchens,val,P07_107_12,data/EPIC_data/clips/P07/P07_107_12.mp4,2,16,25,16,6,False,False,0.6498189568519592,0.024586980929598212,0.0012521738754003309,0.4975162569899112,136,3,16,16,False,
epic_kitchens,val,P25_104_41,data/EPIC_data/clips/P25/P25_104_41.mp4,2,16,25,16,1,False,True,0.9048903584480286,0.025885903974995017,0.0012521738754003309,0.4697529198601842,240,4,16,16,False,
epic_kitchens,val,P01_105_682,data/EPIC_data/clips/P01/P01_105_682.mp4,2,16,25,16,6,False,False,0.9566531181335449,0.018378284061327577,0.0012521738754003309,0.44049752689898014,55,1,16,16,False,
