coverage,stride,top1,n,model,dataset
10,1,0.5491525423728814,885,mc3_18,hmdb51
10,2,0.5141242937853108,885,mc3_18,hmdb51
10,4,0.47796610169491527,885,mc3_18,hmdb51
10,8,0.45310734463276836,885,mc3_18,hmdb51
10,16,0.43954802259887005,885,mc3_18,hmdb51
25,1,0.6463276836158192,885,mc3_18,hmdb51
25,2,0.6225988700564972,885,mc3_18,hmdb51
25,4,0.576271186440678,885,mc3_18,hmdb51
25,8,0.5288135593220339,885,mc3_18,hmdb51
25,16,0.4903954802259887,885,mc3_18,hmdb51
50,1,0.7129943502824859,885,mc3_18,hmdb51
50,2,0.7062146892655368,885,mc3_18,hmdb51
50,4,0.6937853107344633,885,mc3_18,hmdb51
50,8,0.6225988700564972,885,mc3_18,hmdb51
50,16,0.56045197740113,885,mc3_18,hmdb51
75,1,0.7423728813559322,885,mc3_18,hmdb51
75,2,0.7435028248587571,885,mc3_18,hmdb51
75,4,0.7322033898305085,885,mc3_18,hmdb51
75,8,0.6745762711864407,885,mc3_18,hmdb51
75,16,0.5932203389830508,885,mc3_18,hmdb51
100,1,0.7468926553672316,885,mc3_18,hmdb51
100,2,0.7502824858757062,885,mc3_18,hmdb51
100,4,0.7435028248587571,885,mc3_18,hmdb51
100,8,0.6949152542372882,885,mc3_18,hmdb51
100,16,0.6259887005649718,885,mc3_18,hmdb51
