dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
somethingv2,validation,169724,data/Something_data/videos_full/169724.webm,0,16,50,4,127,False,False,0.3952111601829529,0.23816809593699872,0.0014583090633095708,6.33324512001127,46,6,16,16,False,
somethingv2,validation,108286,data/Something_data/videos_full/108286.webm,0,16,50,4,127,False,False,0.30143308639526367,0.290100950980559,0.0014583090633095708,6.094276612973772,54,7,16,16,False,
somethingv2,validation,147281,data/Something_data/videos_full/147281.webm,0,16,50,4,128,False,True,0.5621312260627747,0.24106963397935033,0.0014583090633095708,5.803009513998404,62,8,16,16,False,
somethingv2,validation,6216,data/Something_data/videos_full/6216.webm,0,16,50,4,127,False,False,0.9628052115440369,0.12848596996627748,0.0014583090633095708,5.5608222970040515,41,5,16,16,False,
somethingv2,validation,174027,data/Something_data/videos_full/174027.webm,0,16,50,4,55,False,False,0.3272124230861664,0.32081124500837177,0.0014583090633095708,5.43136818590574,46,6,16,16,False,
somethingv2,validation,144827,data/Something_data/videos_full/144827.webm,0,16,50,4,128,False,True,0.49800947308540344,0.18749121599830687,0.0014583090633095708,5.1093233179999515,42,6,16,16,False,
somethingv2,validation,53775,data/Something_data/videos_full/53775.webm,0,16,50,4,8,False,False,0.4332946538925171,0.26320041297003627,0.0014583090633095708,4.920724735013209,42,6,16,16,False,
somethingv2,validation,51951,data/Something_data/videos_full/51951.webm,0,16,50,4,127,False,False,0.8830820918083191,0.32873476098757237,0.0014583090633095708,4.6562115320703015,33,4,16,16,False,
somethingv2,validation,10430,data/Something_data/videos_full/10430.webm,0,16,50,4,127,False,False,0.9312494993209839,0.15183601004537195,0.0014583090633095708,4.325993673061021,52,7,16,16,False,
somethingv2,validation,148979,data/Something_data/videos_full/148979.webm,0,16,50,4,6,False,True,0.3290616571903229,0.19852283701766282,0.0014583090633095708,4.173125540022738,63,8,16,16,False,
somethingv2,validation,99688,data/Something_data/videos_full/99688.webm,0,16,50,4,124,False,False,0.7785558700561523,0.30882645805832,0.0014583090633095708,3.973643449950032,48,6,16,16,False,
somethingv2,validation,112846,data/Something_data/videos_full/112846.webm,0,16,50,4,128,False,False,0.6360225081443787,0.1671706329798326,0.0014583090633095708,3.663762509939261,42,6,16,16,False,
somethingv2,validation,198092,data/Something_data/videos_full/198092.webm,0,16,50,4,128,False,False,0.8244298100471497,0.18145482300315052,0.0014583090633095708,3.495588161982596,57,7,16,16,False,
somethingv2,validation,88925,data/Something_data/videos_full/88925.webm,0,16,50,4,126,False,False,0.5437998175621033,0.18452538002748042,0.0014583090633095708,3.3129116999916732,44,6,16,16,False,
somethingv2,validation,173157,data/Something_data/videos_full/173157.webm,0,16,50,4,126,False,False,0.7873696684837341,0.16153652605134994,0.0014583090633095708,3.1273582100402564,65,8,16,16,False,
somethingv2,validation,108136,data/Something_data/videos_full/108136.webm,0,16,50,4,128,False,True,0.9669704437255859,0.11562142905313522,0.0014583090633095708,2.964868735987693,54,7,16,16,False,
somethingv2,validation,81300,data/Something_data/videos_full/81300.webm,0,16,50,4,125,False,False,0.6772298812866211,0.2899530060822144,0.0014583090633095708,2.848248822032474,44,6,16,16,False,
somethingv2,validation,121078,data/Something_data/videos_full/121078.webm,0,16,50,4,126,False,False,0.36361128091812134,0.2100310039240867,0.0014583090633095708,2.5571588210295886,41,5,16,16,False,
somethingv2,validation,24255,data/Something_data/videos_full/24255.webm,0,16,50,4,124,False,False,0.7989140748977661,0.2030461139511317,0.0014583090633095708,2.3461442249827087,32,4,16,16,False,
somethingv2,validation,210300,data/Something_data/videos_full/210300.webm,0,16,50,4,125,False,False,0.5595519542694092,0.016754133044742048,0.0014583090633095708,2.1422967149410397,52,7,16,16,False,
somethingv2,validation,52371,data/Something_data/videos_full/52371.webm,1,16,50,4,90,False,False,0.39880216121673584,0.20718673698138446,0.0014583090633095708,2.1194533510133624,68,9,16,16,False,
somethingv2,validation,18320,data/Something_data/videos_full/18320.webm,1,16,50,4,20,False,False,0.4658465087413788,0.08185752108693123,0.0014583090633095708,1.911340972990729,33,4,16,16,False,
somethingv2,validation,182144,data/Something_data/videos_full/182144.webm,1,16,50,4,16,False,False,0.9153212308883667,0.23971187497954816,0.0014583090633095708,1.8288678269600496,43,6,16,16,False,
somethingv2,validation,47739,data/Something_data/videos_full/47739.webm,1,16,50,4,49,False,True,0.15768493711948395,0.1393975280225277,0.0014583090633095708,1.5882549230009317,44,6,16,16,False,
somethingv2,validation,48198,data/Something_data/videos_full/48198.webm,1,16,50,4,23,False,False,0.26009222865104675,0.09379112091846764,0.0014583090633095708,1.4479735500644892,35,5,16,16,False,
somethingv2,validation,113630,data/Something_data/videos_full/113630.webm,1,16,50,4,16,False,False,0.37330716848373413,0.20424346101935953,0.0014583090633095708,1.3535780099919066,42,6,16,16,False,
somethingv2,validation,126896,data/Something_data/videos_full/126896.webm,1,16,50,4,16,False,False,0.31185027956962585,0.24209925392642617,0.0014583090633095708,1.1485735430615023,68,9,16,16,False,
somethingv2,validation,17233,data/Something_data/videos_full/17233.webm,1,16,50,4,16,False,False,0.639641284942627,0.20405036106240004,0.0014583090633095708,0.9055470350431278,50,7,16,16,False,
somethingv2,validation,211670,data/Something_data/videos_full/211670.webm,1,16,50,4,98,False,False,0.5610188841819763,0.1823033809196204,0.0014583090633095708,0.7004607629496604,58,8,16,16,False,
somethingv2,validation,214846,data/Something_data/videos_full/214846.webm,1,16,50,4,80,False,False,0.14542049169540405,0.10931339592207223,0.0014583090633095708,0.5172611060552299,66,9,16,16,False,
somethingv2,validation,149011,data/Something_data/videos_full/149011.webm,1,16,50,4,2,False,False,0.31617429852485657,0.19523973704781383,0.0014583090633095708,0.4071348550496623,64,8,16,16,False,
somethingv2,validation,211312,data/Something_data/videos_full/211312.webm,1,16,50,4,16,False,False,0.9977467656135559,0.12181238096673042,0.0014583090633095708,0.21100280608516186,38,5,16,16,False,
somethingv2,validation,72089,data/Something_data/videos_full/72089.webm,1,16,50,4,16,False,False,0.5702309608459473,0.11461211903952062,0.0014405462497961707,5.373225423041731,42,6,16,16,False,
somethingv2,validation,48640,data/Something_data/videos_full/48640.webm,1,16,50,4,83,False,False,0.23855790495872498,0.07738160190638155,0.0014405462497961707,5.257743041031063,51,7,16,16,False,
somethingv2,validation,130457,data/Something_data/videos_full/130457.webm,1,16,50,4,83,False,True,0.15446273982524872,0.14030232396908104,0.0014405462497961707,5.179625830031,57,7,16,16,False,
somethingv2,validation,21847,data/Something_data/videos_full/21847.webm,1,16,50,4,161,False,True,0.4417835772037506,0.11620548996143043,0.0014405462497961707,5.038422952988185,52,7,16,16,False,
somethingv2,validation,213934,data/Something_data/videos_full/213934.webm,1,16,50,4,16,False,False,0.9510864019393921,0.1480670990422368,0.0014405462497961707,4.921460855053738,69,9,16,16,False,
somethingv2,validation,148261,data/Something_data/videos_full/148261.webm,1,16,50,4,16,False,False,0.9208075404167175,0.2782725889701396,0.0014405462497961707,4.772616463014856,70,9,16,16,False,
somethingv2,validation,149753,data/Something_data/videos_full/149753.webm,1,16,50,4,160,False,False,0.44302552938461304,0.11868253396824002,0.0014405462497961707,4.493164571002126,57,7,16,16,False,
somethingv2,validation,129999,data/Something_data/videos_full/129999.webm,1,16,50,4,67,False,True,0.5538750290870667,0.13599298591725528,0.0014405462497961707,4.37367478501983,42,6,16,16,False,
somethingv2,validation,35716,data/Something_data/videos_full/35716.webm,2,16,50,4,124,False,False,0.1758640706539154,0.18110645504202694,0.0014405462497961707,4.236888688057661,67,9,16,16,False,
somethingv2,validation,174755,data/Something_data/videos_full/174755.webm,2,16,50,4,2,True,True,0.32531997561454773,0.11894012696575373,0.0014405462497961707,4.055009174044244,60,8,16,16,False,
