coverage,stride,top1,n,model,dataset
10,1,0.03608545034642032,3464,mc3_18,ssv2
10,2,0.03348729792147806,3464,mc3_18,ssv2
10,4,0.03233256351039261,3464,mc3_18,ssv2
10,8,0.03117782909930716,3464,mc3_18,ssv2
10,16,0.03117782909930716,3464,mc3_18,ssv2
25,1,0.08054272517321016,3464,mc3_18,ssv2
25,2,0.05831408775981524,3464,mc3_18,ssv2
25,4,0.04503464203233257,3464,mc3_18,ssv2
25,8,0.03493071593533487,3464,mc3_18,ssv2
25,16,0.03233256351039261,3464,mc3_18,ssv2
50,1,0.19808861859252824,3453,mc3_18,ssv2
50,2,0.18268674001158078,3454,mc3_18,ssv2
50,4,0.11310384726641597,3457,mc3_18,ssv2
50,8,0.050043390222736475,3457,mc3_18,ssv2
50,16,0.040993071593533485,3464,mc3_18,ssv2
75,1,0.3196090047393365,3376,mc3_18,ssv2
75,2,0.31438721136767317,3378,mc3_18,ssv2
75,4,0.25073920756948553,3382,mc3_18,ssv2
75,8,0.10352941176470588,3400,mc3_18,ssv2
75,16,0.05052570093457944,3424,mc3_18,ssv2
100,1,0.33587786259541985,3275,mc3_18,ssv2
100,2,0.34350213544844416,3278,mc3_18,ssv2
100,4,0.3077858880778589,3288,mc3_18,ssv2
100,8,0.15498938428874734,3297,mc3_18,ssv2
100,16,0.06872749099639856,3332,mc3_18,ssv2
