coverage,stride,top1,n,model,dataset
10,1,0.0311778290993071,3464,mc3_18,ssv2
10,2,0.0282909930715935,3464,mc3_18,ssv2
10,4,0.0274249422632794,3464,mc3_18,ssv2
10,8,0.023960739030023,3464,mc3_18,ssv2
10,16,0.023960739030023,3464,mc3_18,ssv2
25,1,0.0675519630484988,3464,mc3_18,ssv2
25,2,0.0444572748267898,3464,mc3_18,ssv2
25,4,0.0331986143187066,3464,mc3_18,ssv2
25,8,0.0268475750577367,3464,mc3_18,ssv2
25,16,0.0242494226327944,3464,mc3_18,ssv2
50,1,0.1662322618013322,3453,mc3_18,ssv2
50,2,0.1444701795020266,3454,mc3_18,ssv2
50,4,0.0789702053803876,3457,mc3_18,ssv2
50,8,0.040208273069135,3457,mc3_18,ssv2
50,16,0.0311778290993071,3464,mc3_18,ssv2
75,1,0.2609597156398104,3376,mc3_18,ssv2
75,2,0.2480757844878626,3378,mc3_18,ssv2
75,4,0.1815493790656416,3382,mc3_18,ssv2
75,8,0.075,3400,mc3_18,ssv2
75,16,0.0429322429906542,3424,mc3_18,ssv2
100,1,0.24858757062146894,177,mc3_18,ssv2
100,2,0.21468926553672316,177,mc3_18,ssv2
100,4,0.1864406779661017,177,mc3_18,ssv2
100,8,0.1016949152542373,177,mc3_18,ssv2
100,16,0.03954802259887006,177,mc3_18,ssv2
