coverage,stride,top1,n
10,1,0.0407043879907621,3464
10,2,0.0343533487297921,3464
10,4,0.0326212471131639,3464
10,8,0.0268475750577367,3464
10,16,0.0268475750577367,3464
25,1,0.0825635103926097,3464
25,2,0.0635103926096997,3464
25,4,0.0435912240184757,3464
25,8,0.0372401847575057,3464
25,16,0.0277136258660508,3464
50,1,0.1949029829134086,3453
50,2,0.1855819339895773,3454
50,4,0.1107897020538038,3457
50,8,0.0575643621637257,3457
50,16,0.0401270207852194,3464
75,1,0.3204976303317535,3376
75,2,0.3155713439905269,3378
75,4,0.2489651094027203,3382
75,8,0.1014705882352941,3400
75,16,0.0525700934579439,3424
100,1,0.3465648854961832,3275
100,2,0.3483831604636974,3278
100,4,0.2989659367396594,3288
100,8,0.1468001213224143,3297
100,16,0.072328931572629,3332
