dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
somethingv2,validation,126896,data/Something_data/videos_full/126896.webm,1,16,100,2,-1,False,False,0.0,0.0,0.0,0.09349575801752508,0,0,0,0,True,"[02:32:51] /github/workspace/src/video/ffmpeg/threaded_decoder.cc:292: [02:32:51] /github/workspace/src/video/ffmpeg/threaded_decoder.cc:218: Check failed: avcodec_send_packet(dec_ctx_.get(), pkt.get()) >= 0 (-11 vs. 0) Thread worker: Error sending packet."
somethingv2,validation,169724,data/Something_data/videos_full/169724.webm,0,16,100,2,0,True,True,0.9089998602867126,0.19316612905822694,0.004409839813888539,5.635489780222997,46,16,16,16,False,
somethingv2,validation,108286,data/Something_data/videos_full/108286.webm,0,16,100,2,29,False,False,0.15445108711719513,0.24022533698007464,0.004409839813888539,5.44127179402858,54,16,16,16,False,
somethingv2,validation,147281,data/Something_data/videos_full/147281.webm,0,16,100,2,0,True,True,0.48971840739250183,0.20376040297560394,0.004409839813888539,5.200018403120339,62,16,16,16,False,
somethingv2,validation,6216,data/Something_data/videos_full/6216.webm,0,16,100,2,0,True,True,0.9310498237609863,0.11616407288238406,0.004409839813888539,4.9951537100132555,41,16,16,16,False,
somethingv2,validation,174027,data/Something_data/videos_full/174027.webm,0,16,100,2,0,True,True,0.8335623741149902,0.2725954430643469,0.004409839813888539,4.877903030952439,46,16,16,16,False,
somethingv2,validation,144827,data/Something_data/videos_full/144827.webm,0,16,100,2,0,True,True,0.9549636840820312,0.1496819129679352,0.004409839813888539,4.60426960606128,42,16,16,16,False,
somethingv2,validation,53775,data/Something_data/videos_full/53775.webm,0,16,100,2,0,True,True,0.7586538195610046,0.21874322113581002,0.004409839813888539,4.453502336051315,42,16,16,16,False,
somethingv2,validation,51951,data/Something_data/videos_full/51951.webm,0,16,100,2,0,True,True,0.8310263752937317,0.27959975390695035,0.004409839813888539,4.233702600002289,33,16,16,16,False,
somethingv2,validation,10430,data/Something_data/videos_full/10430.webm,0,16,100,2,125,False,True,0.2908014953136444,0.13470679405145347,0.004409839813888539,3.9530664382036775,52,16,16,16,False,
somethingv2,validation,148979,data/Something_data/videos_full/148979.webm,0,16,100,2,147,False,False,0.19488441944122314,0.1676109079271555,0.004409839813888539,3.817291760118678,63,16,16,16,False,
somethingv2,validation,99688,data/Something_data/videos_full/99688.webm,0,16,100,2,0,True,True,0.42499783635139465,0.277805790072307,0.004409839813888539,3.6486036388669163,48,16,16,16,False,
somethingv2,validation,112846,data/Something_data/videos_full/112846.webm,0,16,100,2,129,False,False,0.163253515958786,0.13389527099207044,0.004409839813888539,3.3697492501232773,42,16,16,16,False,
somethingv2,validation,198092,data/Something_data/videos_full/198092.webm,0,16,100,2,0,True,True,0.42922505736351013,0.17698329407721758,0.004409839813888539,3.2348697488196194,57,16,16,16,False,
somethingv2,validation,88925,data/Something_data/videos_full/88925.webm,0,16,100,2,0,True,True,0.8996966481208801,0.15957272704690695,0.004409839813888539,3.0568122030235827,44,16,16,16,False,
somethingv2,validation,173157,data/Something_data/videos_full/173157.webm,0,16,100,2,129,False,True,0.13682524859905243,0.1568607548251748,0.004409839813888539,2.896212476072833,65,16,16,16,False,
somethingv2,validation,108136,data/Something_data/videos_full/108136.webm,0,16,100,2,0,True,True,0.9822309613227844,0.11283859284594655,0.004409839813888539,2.738335906062275,54,16,16,16,False,
