coverage,stride,top1,n
10,1,0.5891089108910891,2020
10,2,0.5752475247524752,2020
10,4,0.550990099009901,2020
10,8,0.5084158415841584,2020
10,16,0.4816831683168316,2020
25,1,0.6524752475247525,2020
25,2,0.650990099009901,2020
25,4,0.6321782178217822,2020
25,8,0.5856435643564356,2020
25,16,0.5366336633663367,2020
50,1,0.6811881188118812,2020
50,2,0.6816831683168317,2020
50,4,0.6722772277227723,2020
50,8,0.6445544554455446,2020
50,16,0.5945544554455445,2020
75,1,0.6965346534653465,2020
75,2,0.694059405940594,2020
75,4,0.6925742574257425,2020
75,8,0.6821782178217822,2020
75,16,0.649009900990099,2020
100,1,0.7004950495049505,2020
100,2,0.7019801980198019,2020
100,4,0.7,2020
100,8,0.6881188118811881,2020
100,16,0.6623762376237624,2020
