dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
autsl,val,signer1_sample944_color,data/AUTSL_data/val/signer1_sample944_color.mp4,0,16,100,4,0,True,True,0.978379487991333,0.03567093898891471,0.001631958343750739,1.179231178975897,57,15,16,16,False,
autsl,val,signer1_sample276_color,data/AUTSL_data/val/signer1_sample276_color.mp4,0,16,100,4,0,True,True,0.9999097585678101,0.03229367398307659,0.001631958343750739,1.1411091799964197,65,16,16,16,False,
autsl,val,signer35_sample610_color,data/AUTSL_data/val/signer35_sample610_color.mp4,0,16,100,4,0,True,True,0.999846339225769,0.03516665898496285,0.001631958343750739,1.1072584500070661,71,16,16,16,False,
autsl,val,signer35_sample390_color,data/AUTSL_data/val/signer35_sample390_color.mp4,0,16,100,4,0,True,True,0.9999299049377441,0.037171295000007376,0.001631958343750739,1.0705179520009551,75,16,16,16,False,
autsl,val,signer18_sample539_color,data/AUTSL_data/val/signer18_sample539_color.mp4,0,16,100,4,0,True,True,0.9975988268852234,0.034025181987090036,0.001631958343750739,1.0317059780063573,64,16,16,16,False,
autsl,val,signer1_sample778_color,data/AUTSL_data/val/signer1_sample778_color.mp4,0,16,100,4,0,True,True,0.9971460700035095,0.03452278001350351,0.001631958343750739,0.9965292629785836,63,16,16,16,False,
autsl,val,signer11_sample469_color,data/AUTSL_data/val/signer11_sample469_color.mp4,0,16,100,4,0,True,True,0.9975621700286865,0.02848933602217585,0.001631958343750739,0.9596944490040187,45,12,16,16,False,
autsl,val,signer1_sample319_color,data/AUTSL_data/val/signer1_sample319_color.mp4,0,16,100,4,0,True,True,0.9998279809951782,0.03373432598891668,0.001631958343750739,0.929104234004626,68,16,16,16,False,
autsl,val,signer11_sample120_color,data/AUTSL_data/val/signer11_sample120_color.mp4,0,16,100,4,0,True,True,0.9994902610778809,0.02684178200433962,0.001631958343750739,0.8938575799984392,48,12,16,16,False,
autsl,val,signer25_sample64_color,data/AUTSL_data/val/signer25_sample64_color.mp4,0,16,100,4,0,True,True,0.9567161798477173,0.0249568130238913,0.001631958343750739,0.8656040079949889,46,12,16,16,False,
autsl,val,signer16_sample254_color,data/AUTSL_data/val/signer16_sample254_color.mp4,0,16,100,4,164,False,False,0.5079618096351624,0.03285063701332547,0.001631958343750739,0.8388777420041151,61,16,16,16,False,
autsl,val,signer35_sample286_color,data/AUTSL_data/val/signer35_sample286_color.mp4,0,16,100,4,0,True,True,0.9998859167098999,0.03257924001081847,0.001631958343750739,0.8041712970007211,61,16,16,16,False,
autsl,val,signer25_sample285_color,data/AUTSL_data/val/signer25_sample285_color.mp4,0,16,100,4,0,True,True,0.9723111987113953,0.02842426998540759,0.001631958343750739,0.7691700219875202,53,14,16,16,False,
autsl,val,signer18_sample482_color,data/AUTSL_data/val/signer18_sample482_color.mp4,0,16,100,4,0,True,True,0.9994004964828491,0.03324644101667218,0.001631958343750739,0.7389162390027195,67,16,16,16,False,
autsl,val,signer16_sample365_color,data/AUTSL_data/val/signer16_sample365_color.mp4,0,16,100,4,164,False,False,0.620262861251831,0.03203698800643906,0.001631958343750739,0.7034287810092792,58,15,16,16,False,
autsl,val,signer11_sample66_color,data/AUTSL_data/val/signer11_sample66_color.mp4,0,16,100,4,0,True,True,0.9983341097831726,0.030314606003230438,0.001631958343750739,0.6692798330041114,49,13,16,16,False,
autsl,val,signer1_sample1090_color,data/AUTSL_data/val/signer1_sample1090_color.mp4,0,16,100,4,0,True,True,0.995612382888794,0.033174910000525415,0.001631958343750739,0.6363442470028531,58,15,16,16,False,
autsl,val,signer18_sample5_color,data/AUTSL_data/val/signer18_sample5_color.mp4,0,16,100,4,0,True,True,0.9998413324356079,0.03928649701992981,0.001631958343750739,0.6013660349999554,72,16,16,16,False,
autsl,val,signer1_sample1094_color,data/AUTSL_data/val/signer1_sample1094_color.mp4,0,16,100,4,0,True,True,0.9795737266540527,0.03435045198420994,0.001631958343750739,0.5602467269927729,61,16,16,16,False,
autsl,val,signer25_sample431_color,data/AUTSL_data/val/signer25_sample431_color.mp4,0,16,100,4,0,True,True,0.995498538017273,0.029678755992790684,0.001631958343750739,0.5240052159933839,56,14,16,16,False,
