dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
autsl,val,signer1_sample944_color,data/AUTSL_data/val/signer1_sample944_color.mp4,0,16,75,1,204,False,False,0.424563467502594,0.03338260995224118,0.0013488382173818536,1.1168604700360447,57,16,16,16,False,
autsl,val,signer1_sample276_color,data/AUTSL_data/val/signer1_sample276_color.mp4,0,16,75,1,86,False,True,0.9801602959632874,0.03439037594944239,0.0013488382173818536,1.0812133881263435,65,16,16,16,False,
autsl,val,signer35_sample610_color,data/AUTSL_data/val/signer35_sample610_color.mp4,0,16,75,1,116,False,False,0.8076385259628296,0.031376735074445605,0.0013488382173818536,1.0440576740074903,71,16,16,16,False,
autsl,val,signer35_sample390_color,data/AUTSL_data/val/signer35_sample390_color.mp4,0,16,75,1,190,False,False,0.3739376664161682,0.03323375387117267,0.0013488382173818536,1.0109194659162313,75,16,16,16,False,
autsl,val,signer18_sample539_color,data/AUTSL_data/val/signer18_sample539_color.mp4,0,16,75,1,134,False,False,0.9090324640274048,0.0327463299036026,0.0013488382173818536,0.975686919176951,64,16,16,16,False,
autsl,val,signer1_sample778_color,data/AUTSL_data/val/signer1_sample778_color.mp4,0,16,75,1,86,False,True,0.9915754199028015,0.0317936260253191,0.0013488382173818536,0.941410630941391,63,16,16,16,False,
autsl,val,signer11_sample469_color,data/AUTSL_data/val/signer11_sample469_color.mp4,0,16,75,1,4,False,True,0.8317996263504028,0.027100771898403764,0.0013488382173818536,0.907446701079607,45,16,16,16,False,
autsl,val,signer1_sample319_color,data/AUTSL_data/val/signer1_sample319_color.mp4,0,16,75,1,86,False,False,0.7348851561546326,0.03149414900690317,0.0013488382173818536,0.8767931328620762,68,16,16,16,False,
autsl,val,signer11_sample120_color,data/AUTSL_data/val/signer11_sample120_color.mp4,0,16,75,1,204,False,True,0.9148987531661987,0.026294288923963904,0.0013488382173818536,0.8433971351478249,48,16,16,16,False,
autsl,val,signer25_sample64_color,data/AUTSL_data/val/signer25_sample64_color.mp4,0,16,75,1,76,False,True,0.45967787504196167,0.026832391042262316,0.0013488382173818536,0.8143387048039585,46,16,16,16,False,
autsl,val,signer16_sample254_color,data/AUTSL_data/val/signer16_sample254_color.mp4,0,16,75,1,203,False,False,0.19077728688716888,0.03085880889557302,0.0013488382173818536,0.7844797410070896,61,16,16,16,False,
autsl,val,signer35_sample286_color,data/AUTSL_data/val/signer35_sample286_color.mp4,0,16,75,1,0,True,True,0.6668084263801575,0.030413795029744506,0.0013488382173818536,0.7517976639792323,61,16,16,16,False,
autsl,val,signer25_sample285_color,data/AUTSL_data/val/signer25_sample285_color.mp4,0,16,75,1,86,False,True,0.9603918790817261,0.029405889799818397,0.0013488382173818536,0.7181175521109253,53,16,16,16,False,
autsl,val,signer18_sample482_color,data/AUTSL_data/val/signer18_sample482_color.mp4,0,16,75,1,134,False,False,0.8302515745162964,0.03204698394984007,0.0013488382173818536,0.685138852102682,67,16,16,16,False,
autsl,val,signer16_sample365_color,data/AUTSL_data/val/signer16_sample365_color.mp4,0,16,75,1,203,False,False,0.887048065662384,0.02997075510211289,0.0013488382173818536,0.6513749491423368,58,16,16,16,False,
autsl,val,signer11_sample66_color,data/AUTSL_data/val/signer11_sample66_color.mp4,0,16,75,1,20,False,False,0.9062840938568115,0.030188333010300994,0.0013488382173818536,0.6177744129672647,49,16,16,16,False,
autsl,val,signer1_sample1090_color,data/AUTSL_data/val/signer1_sample1090_color.mp4,0,16,75,1,112,False,False,0.3724626898765564,0.030828407034277916,0.0013488382173818536,0.5854221349582076,58,16,16,16,False,
autsl,val,signer18_sample5_color,data/AUTSL_data/val/signer18_sample5_color.mp4,0,16,75,1,76,False,True,0.45420417189598083,0.031758337980136275,0.0013488382173818536,0.5515146339312196,72,16,16,16,False,
autsl,val,signer1_sample1094_color,data/AUTSL_data/val/signer1_sample1094_color.mp4,0,16,75,1,204,False,False,0.38495343923568726,0.030148575082421303,0.0013488382173818536,0.5176980630494654,61,16,16,16,False,
autsl,val,signer25_sample431_color,data/AUTSL_data/val/signer25_sample431_color.mp4,0,16,75,1,204,False,True,0.9726384878158569,0.028791951946914196,0.0013488382173818536,0.484937712084502,56,16,16,16,False,
autsl,val,signer25_sample372_color,data/AUTSL_data/val/signer25_sample372_color.mp4,1,16,75,1,1,True,True,1.0,0.029591431142762303,0.0013488382173818536,0.452535912161693,58,16,16,16,False,
autsl,val,signer18_sample243_color,data/AUTSL_data/val/signer18_sample243_color.mp4,1,16,75,1,215,False,False,0.99489825963974,0.02893592999316752,0.0013488382173818536,0.4196328071411699,55,16,16,16,False,
autsl,val,signer35_sample603_color,data/AUTSL_data/val/signer35_sample603_color.mp4,1,16,75,1,162,False,False,0.9319252967834473,0.028581026010215282,0.0013488382173818536,0.38838739902712405,55,16,16,16,False,
autsl,val,signer18_sample436_color,data/AUTSL_data/val/signer18_sample436_color.mp4,1,16,75,1,214,False,False,0.9998811483383179,0.031087220180779696,0.0013488382173818536,0.35645741084590554,61,16,16,16,False,
autsl,val,signer11_sample397_color,data/AUTSL_data/val/signer11_sample397_color.mp4,1,16,75,1,188,False,False,0.3160538971424103,0.02224976592697203,0.0013488382173818536,0.3229002880398184,38,16,16,16,False,
autsl,val,signer1_sample936_color,data/AUTSL_data/val/signer1_sample936_color.mp4,1,16,75,1,1,True,True,0.5952233076095581,0.02853880706243217,0.0013488382173818536,0.2976250739302486,55,16,16,16,False,
autsl,val,signer16_sample330_color,data/AUTSL_data/val/signer16_sample330_color.mp4,1,16,75,1,162,False,False,0.4653221368789673,0.03334140800870955,0.0013488382173818536,0.2665639449842274,62,16,16,16,False,
autsl,val,signer1_sample57_color,data/AUTSL_data/val/signer1_sample57_color.mp4,1,16,75,1,1,True,True,0.8442426919937134,0.028314096853137016,0.0013488382173818536,0.23094559693709016,51,16,16,16,False,
autsl,val,signer1_sample377_color,data/AUTSL_data/val/signer1_sample377_color.mp4,1,16,75,1,205,False,True,0.5132533311843872,0.026532877003774047,0.0013488382173818536,0.20064070099033415,52,16,16,16,False,
autsl,val,signer35_sample92_color,data/AUTSL_data/val/signer35_sample92_color.mp4,1,16,75,1,205,False,False,0.6932272911071777,0.028971686959266663,0.0013488382173818536,0.17192847095429897,51,16,16,16,False,
autsl,val,signer1_sample989_color,data/AUTSL_data/val/signer1_sample989_color.mp4,1,16,75,1,205,False,False,0.8312482833862305,0.0267702410928905,0.0013488382173818536,0.13991458690725267,55,16,16,16,False,
autsl,val,signer25_sample463_color,data/AUTSL_data/val/signer25_sample463_color.mp4,1,16,75,1,1,True,True,0.9999996423721313,0.0271978999953717,0.0013488382173818536,0.11095576593652368,58,16,16,16,False,
autsl,val,signer1_sample198_color,data/AUTSL_data/val/signer1_sample198_color.mp4,1,16,75,1,205,False,False,0.9727805852890015,0.03592924098484218,0.0013735596585320309,1.1344968520570546,51,16,16,16,False,
autsl,val,signer18_sample652_color,data/AUTSL_data/val/signer18_sample652_color.mp4,1,16,75,1,214,False,False,0.4719395339488983,0.03369148191995919,0.0013735596585320309,1.0958454119972885,69,16,16,16,False,
