dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
autsl,val,signer1_sample944_color,data/AUTSL_data/val/signer1_sample944_color.mp4,0,16,100,8,0,True,True,0.5397347211837769,0.02890961291268468,0.001665204246819485,0.8867308869957924,57,8,16,16,False,
autsl,val,signer1_sample276_color,data/AUTSL_data/val/signer1_sample276_color.mp4,0,16,100,8,0,True,True,0.9293202757835388,0.03204752109013498,0.001665204246819485,0.8552099671214819,65,9,16,16,False,
autsl,val,signer35_sample610_color,data/AUTSL_data/val/signer35_sample610_color.mp4,0,16,100,8,0,True,True,0.9842058420181274,0.028749510180205107,0.001665204246819485,0.8211688250303268,71,9,16,16,False,
autsl,val,signer35_sample390_color,data/AUTSL_data/val/signer35_sample390_color.mp4,0,16,100,8,0,True,True,0.9927725195884705,0.03108117706142366,0.001665204246819485,0.7905637959484011,75,10,16,16,False,
autsl,val,signer18_sample539_color,data/AUTSL_data/val/signer18_sample539_color.mp4,0,16,100,8,0,True,True,0.9819314479827881,0.024424226954579353,0.001665204246819485,0.757692642044276,64,8,16,16,False,
autsl,val,signer1_sample778_color,data/AUTSL_data/val/signer1_sample778_color.mp4,0,16,100,8,0,True,True,0.7615448236465454,0.025679623009636998,0.001665204246819485,0.7314397520385683,63,8,16,16,False,
autsl,val,signer11_sample469_color,data/AUTSL_data/val/signer11_sample469_color.mp4,0,16,100,8,16,False,True,0.7621747255325317,0.018589613027870655,0.001665204246819485,0.7042680738959461,45,6,16,16,False,
autsl,val,signer1_sample319_color,data/AUTSL_data/val/signer1_sample319_color.mp4,0,16,100,8,0,True,True,0.6055604815483093,0.0242355449590832,0.001665204246819485,0.6837157160043716,68,9,16,16,False,
autsl,val,signer11_sample120_color,data/AUTSL_data/val/signer11_sample120_color.mp4,0,16,100,8,16,False,False,0.9925228953361511,0.01981329103000462,0.001665204246819485,0.6580798218492419,48,6,16,16,False,
autsl,val,signer25_sample64_color,data/AUTSL_data/val/signer25_sample64_color.mp4,0,16,100,8,16,False,True,0.46684402227401733,0.020006312057375908,0.001665204246819485,0.6361917830072343,46,6,16,16,False,
autsl,val,signer16_sample254_color,data/AUTSL_data/val/signer16_sample254_color.mp4,0,16,100,8,4,False,True,0.8712039589881897,0.024659403134137392,0.001665204246819485,0.6143740289844573,61,8,16,16,False,
autsl,val,signer35_sample286_color,data/AUTSL_data/val/signer35_sample286_color.mp4,0,16,100,8,0,True,True,0.9751390218734741,0.023342497181147337,0.001665204246819485,0.5877933579031378,61,8,16,16,False,
autsl,val,signer25_sample285_color,data/AUTSL_data/val/signer25_sample285_color.mp4,0,16,100,8,16,False,True,0.4289673864841461,0.02169709512963891,0.001665204246819485,0.5627716870512813,53,7,16,16,False,
autsl,val,signer18_sample482_color,data/AUTSL_data/val/signer18_sample482_color.mp4,0,16,100,8,0,True,True,0.9888239502906799,0.02522482303902507,0.001665204246819485,0.5390396069269627,67,9,16,16,False,
autsl,val,signer16_sample365_color,data/AUTSL_data/val/signer16_sample365_color.mp4,0,16,100,8,4,False,True,0.931346595287323,0.022260155994445086,0.001665204246819485,0.5119724159594625,58,8,16,16,False,
autsl,val,signer11_sample66_color,data/AUTSL_data/val/signer11_sample66_color.mp4,0,16,100,8,16,False,True,0.7883225679397583,0.022506821202114224,0.001665204246819485,0.48810239299200475,49,7,16,16,False,
autsl,val,signer1_sample1090_color,data/AUTSL_data/val/signer1_sample1090_color.mp4,0,16,100,8,0,True,True,0.6905995607376099,0.023103103041648865,0.001665204246819485,0.46314021409489214,58,8,16,16,False,
autsl,val,signer18_sample5_color,data/AUTSL_data/val/signer18_sample5_color.mp4,0,16,100,8,0,True,True,0.9928839206695557,0.024530256167054176,0.001665204246819485,0.4384433978702873,72,9,16,16,False,
autsl,val,signer1_sample1094_color,data/AUTSL_data/val/signer1_sample1094_color.mp4,0,16,100,8,0,True,True,0.3153471052646637,0.02443244494497776,0.001665204246819485,0.41187892598100007,61,8,16,16,False,
autsl,val,signer25_sample431_color,data/AUTSL_data/val/signer25_sample431_color.mp4,0,16,100,8,0,True,True,0.5939603447914124,0.02290682797320187,0.001665204246819485,0.3858619621023536,56,7,16,16,False,
autsl,val,signer25_sample372_color,data/AUTSL_data/val/signer25_sample372_color.mp4,1,16,100,8,1,True,True,0.6881284117698669,0.02451180201023817,0.001665204246819485,0.36110293795354664,58,8,16,16,False,
autsl,val,signer18_sample243_color,data/AUTSL_data/val/signer18_sample243_color.mp4,1,16,100,8,223,False,False,0.13604049384593964,0.023257187101989985,0.001665204246819485,0.33490760810673237,55,7,16,16,False,
autsl,val,signer35_sample603_color,data/AUTSL_data/val/signer35_sample603_color.mp4,1,16,100,8,196,False,False,0.3168773949146271,0.023337844060733914,0.001665204246819485,0.30931829405017197,55,7,16,16,False,
autsl,val,signer18_sample436_color,data/AUTSL_data/val/signer18_sample436_color.mp4,1,16,100,8,186,False,True,0.14428770542144775,0.02412592200562358,0.001665204246819485,0.28389925812371075,61,8,16,16,False,
autsl,val,signer11_sample397_color,data/AUTSL_data/val/signer11_sample397_color.mp4,1,16,100,8,30,False,False,0.37206894159317017,0.01638654386624694,0.001665204246819485,0.2580331771168858,38,5,16,16,False,
autsl,val,signer1_sample936_color,data/AUTSL_data/val/signer1_sample936_color.mp4,1,16,100,8,202,False,False,0.18718187510967255,0.02345308684743941,0.001665204246819485,0.24006670992821455,55,7,16,16,False,
autsl,val,signer16_sample330_color,data/AUTSL_data/val/signer16_sample330_color.mp4,1,16,100,8,202,False,True,0.16810128092765808,0.021939065074548125,0.001665204246819485,0.21530508995056152,62,8,16,16,False,
autsl,val,signer1_sample57_color,data/AUTSL_data/val/signer1_sample57_color.mp4,1,16,100,8,151,False,False,0.7834522128105164,0.022321446100249887,0.001665204246819485,0.19153052405454218,51,7,16,16,False,
autsl,val,signer1_sample377_color,data/AUTSL_data/val/signer1_sample377_color.mp4,1,16,100,8,151,False,False,0.2995668947696686,0.022334667155519128,0.001665204246819485,0.16742989397607744,52,7,16,16,False,
autsl,val,signer35_sample92_color,data/AUTSL_data/val/signer35_sample92_color.mp4,1,16,100,8,1,True,True,0.06994754076004028,0.02193445200100541,0.001665204246819485,0.1432893869932741,51,7,16,16,False,
autsl,val,signer1_sample989_color,data/AUTSL_data/val/signer1_sample989_color.mp4,1,16,100,8,157,False,True,0.28133898973464966,0.022091078106313944,0.001665204246819485,0.11945835500955582,55,7,16,16,False,
autsl,val,signer25_sample463_color,data/AUTSL_data/val/signer25_sample463_color.mp4,1,16,100,8,1,True,True,0.4103374779224396,0.022879163967445493,0.001665204246819485,0.09582545608282089,58,8,16,16,False,
autsl,val,signer1_sample198_color,data/AUTSL_data/val/signer1_sample198_color.mp4,1,16,100,8,157,False,True,0.33558857440948486,0.030265344073995948,0.0014579205599147826,0.9031821568496525,51,7,16,16,False,
autsl,val,signer18_sample652_color,data/AUTSL_data/val/signer18_sample652_color.mp4,1,16,100,8,53,False,False,0.3901248574256897,0.02503943000920117,0.0014579205599147826,0.8710434490349144,69,9,16,16,False,
