coverage,stride,top1,n,model,dataset
10,1,0.012675418741511997,4418,r2plus1d_18,autsl
10,2,0.008374830239927569,4418,r2plus1d_18,autsl
10,4,0.005885015844273427,4418,r2plus1d_18,autsl
10,8,0.007016749660479855,4418,r2plus1d_18,autsl
10,16,0.007016749660479855,4418,r2plus1d_18,autsl
25,1,0.03847894975101856,4418,r2plus1d_18,autsl
25,2,0.039837030330466275,4418,r2plus1d_18,autsl
25,4,0.025350837483023993,4418,r2plus1d_18,autsl
25,8,0.01403349932095971,4418,r2plus1d_18,autsl
25,16,0.007016749660479855,4418,r2plus1d_18,autsl
50,1,0.2430964237211408,4418,r2plus1d_18,autsl
50,2,0.2747849705749208,4418,r2plus1d_18,autsl
50,4,0.26527840651878676,4418,r2plus1d_18,autsl
50,8,0.11430511543684925,4418,r2plus1d_18,autsl
50,16,0.046174739701222274,4418,r2plus1d_18,autsl
75,1,0.5846536894522408,4418,r2plus1d_18,autsl
75,2,0.5674513354459031,4418,r2plus1d_18,autsl
75,4,0.6038931643277501,4418,r2plus1d_18,autsl
75,8,0.2526029877772748,4418,r2plus1d_18,autsl
75,16,0.0851063829787234,4418,r2plus1d_18,autsl
100,1,0.7295156179266636,4418,r2plus1d_18,autsl
100,2,0.7215934812132186,4418,r2plus1d_18,autsl
100,4,0.6661385242191037,4418,r2plus1d_18,autsl
100,8,0.29357175192394747,4418,r2plus1d_18,autsl
100,16,0.06654594839293798,4418,r2plus1d_18,autsl
