dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
diving48,val,Le6xdQ2OO8w_00124,data/Diving48_data/videos/Le6xdQ2OO8w_00124.mp4,0,16,10,8,31,False,False,0.855541467666626,0.01878250006120652,0.0015118980918487068,0.6799475399311632,106,2,16,16,False,
diving48,val,bl0C6d9QgIg_00021,data/Diving48_data/videos/bl0C6d9QgIg_00021.mp4,0,16,10,8,35,False,False,0.6340893507003784,0.011991519946604967,0.0015118980918487068,0.6584272149484605,51,1,16,16,False,
diving48,val,mGRum47TLX0_00045,data/Diving48_data/videos/mGRum47TLX0_00045.mp4,0,16,10,8,8,False,False,0.32717257738113403,0.01884602103382349,0.0015118980918487068,0.644257812993601,211,3,16,16,False,
diving48,val,L_SB1PRgDTE_00029,data/Diving48_data/videos/L_SB1PRgDTE_00029.mp4,0,16,10,8,31,False,False,0.7669394016265869,0.018241003970615566,0.0015118980918487068,0.6233491989551112,87,2,16,16,False,
diving48,val,Le6xdQ2OO8w_00154,data/Diving48_data/videos/Le6xdQ2OO8w_00154.mp4,0,16,10,8,31,False,False,0.5707593560218811,0.01602212095167488,0.0015118980918487068,0.6017676069168374,113,2,16,16,False,
diving48,val,Le6xdQ2OO8w_00127,data/Diving48_data/videos/Le6xdQ2OO8w_00127.mp4,0,16,10,8,34,False,False,0.6781083941459656,0.015653757960535586,0.0015118980918487068,0.5841972240014002,161,2,16,16,False,
diving48,val,Le6xdQ2OO8w_00121,data/Diving48_data/videos/Le6xdQ2OO8w_00121.mp4,0,16,10,8,31,False,False,0.7093971967697144,0.016644129995256662,0.0015118980918487068,0.5663943029940128,110,2,16,16,False,
diving48,val,Le6xdQ2OO8w_00119,data/Diving48_data/videos/Le6xdQ2OO8w_00119.mp4,0,16,10,8,31,False,False,0.4761505424976349,0.015739500988274813,0.0015118980918487068,0.5480019180104136,130,2,16,16,False,
diving48,val,bSsVWVfYU4w_00118,data/Diving48_data/videos/bSsVWVfYU4w_00118.mp4,0,16,10,8,8,False,False,0.48915743827819824,0.01525305095128715,0.0015118980918487068,0.5296821919037029,151,2,16,16,False,
diving48,val,bl0C6d9QgIg_00022,data/Diving48_data/videos/bl0C6d9QgIg_00022.mp4,0,16,10,8,33,False,False,0.5306314826011658,0.014785167993977666,0.0015118980918487068,0.5118164420127869,96,2,16,16,False,
diving48,val,bl0C6d9QgIg_00017,data/Diving48_data/videos/bl0C6d9QgIg_00017.mp4,0,16,10,8,12,False,False,0.42972320318222046,0.01968633697833866,0.0015118980918487068,0.4946381150512025,250,4,16,16,False,
diving48,val,bl0C6d9QgIg_00023,data/Diving48_data/videos/bl0C6d9QgIg_00023.mp4,0,16,10,8,15,False,False,0.18813304603099823,0.017889979062601924,0.0015118980918487068,0.47261573001742363,90,2,16,16,False,
diving48,val,bSsVWVfYU4w_00086,data/Diving48_data/videos/bSsVWVfYU4w_00086.mp4,0,16,10,8,35,False,False,0.5194637775421143,0.013833019998855889,0.0015118980918487068,0.4526579990051687,53,1,16,16,False,
diving48,val,bSsVWVfYU4w_00169,data/Diving48_data/videos/bSsVWVfYU4w_00169.mp4,0,16,10,8,8,False,True,0.5786752700805664,0.015091920038685203,0.0015118980918487068,0.4362173699773848,141,2,16,16,False,
diving48,val,MbzIpx8kAD0_00025,data/Diving48_data/videos/MbzIpx8kAD0_00025.mp4,0,16,10,8,31,False,False,0.7778006196022034,0.014690643060021102,0.0015118980918487068,0.419157600030303,96,2,16,16,False,
diving48,val,ovWCmIMMkRI_00055,data/Diving48_data/videos/ovWCmIMMkRI_00055.mp4,0,16,10,8,31,False,False,0.17253628373146057,0.014862062060274184,0.0015118980918487068,0.4020123159280047,88,2,16,16,False,
diving48,val,Le6xdQ2OO8w_00139,data/Diving48_data/videos/Le6xdQ2OO8w_00139.mp4,0,16,10,8,34,False,False,0.48391854763031006,0.016314428998157382,0.0015118980918487068,0.3850262030027807,150,2,16,16,False,
diving48,val,Le6xdQ2OO8w_00160,data/Diving48_data/videos/Le6xdQ2OO8w_00160.mp4,0,16,10,8,34,False,False,0.5215892791748047,0.014934572973288596,0.0015118980918487068,0.36606609204318374,105,2,16,16,False,
diving48,val,Le6xdQ2OO8w_00120,data/Diving48_data/videos/Le6xdQ2OO8w_00120.mp4,0,16,10,8,34,False,False,0.4531175196170807,0.015537978964857757,0.0015118980918487068,0.3485417100600898,96,2,16,16,False,
diving48,val,zmacW6f2Tdk_00048,data/Diving48_data/videos/zmacW6f2Tdk_00048.mp4,0,16,10,8,33,False,False,0.43217983841896057,0.014137350022792816,0.0015118980918487068,0.3307974770432338,93,2,16,16,False,
diving48,val,cs8g1es4vfM_00034,data/Diving48_data/videos/cs8g1es4vfM_00034.mp4,1,16,10,8,31,False,False,0.9684514999389648,0.015505859046243131,0.0015118980918487068,0.3144802819006145,64,1,16,16,False,
diving48,val,cs8g1es4vfM_00043,data/Diving48_data/videos/cs8g1es4vfM_00043.mp4,1,16,10,8,33,False,False,0.11195362359285355,0.013677340000867844,0.0015118980918487068,0.2963358609704301,93,2,16,16,False,
diving48,val,CVAfPfVFulQ_00076,data/Diving48_data/videos/CVAfPfVFulQ_00076.mp4,1,16,10,8,8,False,False,0.8759725093841553,0.016480445046909153,0.0015118980918487068,0.2806016879621893,92,2,16,16,False,
diving48,val,yHo2oERGo7A_00056,data/Diving48_data/videos/yHo2oERGo7A_00056.mp4,1,16,10,8,31,False,False,0.4766983687877655,0.015163950040005147,0.0015118980918487068,0.2619033110095188,122,2,16,16,False,
diving48,val,ovWCmIMMkRI_00058,data/Diving48_data/videos/ovWCmIMMkRI_00058.mp4,1,16,10,8,33,False,False,0.18707117438316345,0.015181928989477456,0.0015118980918487068,0.2446033200249076,105,2,16,16,False,
diving48,val,yHo2oERGo7A_00058,data/Diving48_data/videos/yHo2oERGo7A_00058.mp4,1,16,10,8,31,False,True,0.304863840341568,0.015505408984608948,0.0015118980918487068,0.2276151099940762,94,2,16,16,False,
diving48,val,cs8g1es4vfM_00056,data/Diving48_data/videos/cs8g1es4vfM_00056.mp4,1,16,10,8,33,False,False,0.5099206566810608,0.014207656029611826,0.0015118980918487068,0.20956830703653395,102,2,16,16,False,
diving48,val,SbzcCzXjYSU_00049,data/Diving48_data/videos/SbzcCzXjYSU_00049.mp4,1,16,10,8,34,False,False,0.5248826742172241,0.016384513932280242,0.0015118980918487068,0.1935646589845419,87,2,16,16,False,
diving48,val,cs8g1es4vfM_00010,data/Diving48_data/videos/cs8g1es4vfM_00010.mp4,1,16,10,8,31,False,False,0.9537644386291504,0.01562010298948735,0.0015118980918487068,0.1752702119993046,77,1,16,16,False,
