coverage,stride,top1,n
10,1,0.4776785714285714,448
10,2,0.4508928571428571,448
10,4,0.4464285714285714,448
10,8,0.4352678571428571,448
10,16,0.4352678571428571,448
25,1,0.6049107142857143,448
25,2,0.5736607142857143,448
25,4,0.4977678571428571,448
25,8,0.4799107142857143,448
25,16,0.4352678571428571,448
50,1,0.7120535714285714,448
50,2,0.640625,448
50,4,0.5825892857142857,448
50,8,0.5200892857142857,448
50,16,0.4821428571428571,448
75,1,0.7611607142857143,448
75,2,0.7633928571428571,448
75,4,0.6808035714285714,448
75,8,0.5803571428571429,448
75,16,0.5267857142857143,448
100,1,0.7901785714285714,448
100,2,0.7901785714285714,448
100,4,0.7321428571428571,448
100,8,0.609375,448
100,16,0.5424107142857143,448
