coverage,stride,top1,n,model,dataset
10,1,0.4330357142857143,448,r2plus1d_18,driveact
10,2,0.43526785714285715,448,r2plus1d_18,driveact
10,4,0.4174107142857143,448,r2plus1d_18,driveact
10,8,0.40401785714285715,448,r2plus1d_18,driveact
10,16,0.40401785714285715,448,r2plus1d_18,driveact
25,1,0.5267857142857143,448,r2plus1d_18,driveact
25,2,0.49107142857142855,448,r2plus1d_18,driveact
25,4,0.45982142857142855,448,r2plus1d_18,driveact
25,8,0.453125,448,r2plus1d_18,driveact
25,16,0.40401785714285715,448,r2plus1d_18,driveact
50,1,0.6071428571428571,448,r2plus1d_18,driveact
50,2,0.5825892857142857,448,r2plus1d_18,driveact
50,4,0.5267857142857143,448,r2plus1d_18,driveact
50,8,0.48214285714285715,448,r2plus1d_18,driveact
50,16,0.47098214285714285,448,r2plus1d_18,driveact
75,1,0.6763392857142857,448,r2plus1d_18,driveact
75,2,0.65625,448,r2plus1d_18,driveact
75,4,0.6026785714285714,448,r2plus1d_18,driveact
75,8,0.5290178571428571,448,r2plus1d_18,driveact
75,16,0.484375,448,r2plus1d_18,driveact
100,1,0.6964285714285714,448,r2plus1d_18,driveact
100,2,0.6941964285714286,448,r2plus1d_18,driveact
100,4,0.6294642857142857,448,r2plus1d_18,driveact
100,8,0.5691964285714286,448,r2plus1d_18,driveact
100,16,0.5044642857142857,448,r2plus1d_18,driveact
