coverage,stride,top1,n
10,1,0.4790960451977401,885
10,2,0.4350282485875706,885
10,4,0.3909604519774011,885
10,8,0.3333333333333333,885
10,16,0.3073446327683616,885
25,1,0.6146892655367232,885
25,2,0.6090395480225989,885
25,4,0.5468926553672316,885
25,8,0.4632768361581921,885
25,16,0.3898305084745763,885
50,1,0.7265536723163842,885
50,2,0.7254237288135593,885
50,4,0.6813559322033899,885
50,8,0.5807909604519774,885
50,16,0.4779661016949152,885
75,1,0.7717514124293785,885
75,2,0.7672316384180791,885
75,4,0.7480225988700565,885
75,8,0.672316384180791,885
75,16,0.5401129943502825,885
100,1,0.7977401129943503,885
100,2,0.8045197740112995,885
100,4,0.7819209039548023,885
100,8,0.703954802259887,885
100,16,0.5774011299435028,885
