dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
somethingv2,validation,169724,data/Something_data/videos_full/169724.webm,0,16,10,8,125,False,False,0.9262445569038391,0.008302031084895134,0.005303899095451925,0.772573895053938,46,1,16,16,False,
somethingv2,validation,108286,data/Something_data/videos_full/108286.webm,0,16,10,8,125,False,False,0.3584651052951813,0.008233160013332963,0.005303899095451925,0.7594128500204533,54,1,16,16,False,
somethingv2,validation,147281,data/Something_data/videos_full/147281.webm,0,16,10,8,125,False,False,0.9457522630691528,0.005951311904937029,0.005303899095451925,0.7455313310492784,62,1,16,16,False,
somethingv2,validation,6216,data/Something_data/videos_full/6216.webm,0,16,10,8,125,False,False,0.9555939435958862,0.006013647187501192,0.005303899095451925,0.7363446259405464,41,1,16,16,False,
somethingv2,validation,174027,data/Something_data/videos_full/174027.webm,0,16,10,8,125,False,False,0.6381402611732483,0.008981818100437522,0.005303899095451925,0.7291223860811442,46,1,16,16,False,
somethingv2,validation,144827,data/Something_data/videos_full/144827.webm,0,16,10,8,125,False,False,0.3502337634563446,0.006153620081022382,0.005303899095451925,0.7135880650021136,42,1,16,16,False,
somethingv2,validation,53775,data/Something_data/videos_full/53775.webm,0,16,10,8,125,False,False,0.8774949908256531,0.008328482042998075,0.005303899095451925,0.7047549211420119,42,1,16,16,False,
somethingv2,validation,51951,data/Something_data/videos_full/51951.webm,0,16,10,8,125,False,False,0.8522287011146545,0.009838948026299477,0.005303899095451925,0.6917232021223754,33,1,16,16,False,
somethingv2,validation,10430,data/Something_data/videos_full/10430.webm,0,16,10,8,125,False,False,0.9987695813179016,0.005615066038444638,0.005303899095451925,0.6722263009287417,52,1,16,16,False,
somethingv2,validation,148979,data/Something_data/videos_full/148979.webm,0,16,10,8,125,False,False,0.9031388163566589,0.006003861082717776,0.005303899095451925,0.6652069890405983,63,1,16,16,False,
somethingv2,validation,99688,data/Something_data/videos_full/99688.webm,0,16,10,8,124,False,False,0.9154064655303955,0.007902696030214429,0.005303899095451925,0.6568390969187021,48,1,16,16,False,
somethingv2,validation,112846,data/Something_data/videos_full/112846.webm,0,16,10,8,125,False,False,0.9320182800292969,0.005797242047265172,0.005303899095451925,0.6418755298946053,42,1,16,16,False,
somethingv2,validation,198092,data/Something_data/videos_full/198092.webm,0,16,10,8,125,False,False,0.6571036577224731,0.005716950865462422,0.005303899095451925,0.6335674719884992,57,1,16,16,False,
somethingv2,validation,88925,data/Something_data/videos_full/88925.webm,0,16,10,8,125,False,False,0.9827439188957214,0.005918768933042884,0.005303899095451925,0.6260639179963619,44,1,16,16,False,
somethingv2,validation,173157,data/Something_data/videos_full/173157.webm,0,16,10,8,125,False,False,0.8898508548736572,0.005417865002527833,0.005303899095451925,0.6173344219569117,65,1,16,16,False,
somethingv2,validation,108136,data/Something_data/videos_full/108136.webm,0,16,10,8,124,False,False,0.1609584242105484,0.005052658962085843,0.005303899095451925,0.6103493790142238,54,1,16,16,False,
somethingv2,validation,81300,data/Something_data/videos_full/81300.webm,0,16,10,8,125,False,False,0.4636484682559967,0.008571230107918382,0.005303899095451925,0.6046356980223209,44,1,16,16,False,
somethingv2,validation,121078,data/Something_data/videos_full/121078.webm,0,16,10,8,125,False,False,0.9183324575424194,0.007326055085286498,0.005303899095451925,0.5908046171534806,41,1,16,16,False,
somethingv2,validation,24255,data/Something_data/videos_full/24255.webm,0,16,10,8,125,False,False,0.7330228686332703,0.00750722992233932,0.005303899095451925,0.5798504680860788,32,1,16,16,False,
somethingv2,validation,210300,data/Something_data/videos_full/210300.webm,0,16,10,8,125,False,False,0.9318567514419556,0.006401668069884181,0.005303899095451925,0.5681324801407754,52,1,16,16,False,
somethingv2,validation,52371,data/Something_data/videos_full/52371.webm,1,16,10,8,125,False,False,0.6034007668495178,0.006068797083571553,0.005303899095451925,0.5568150549661368,68,1,16,16,False,
somethingv2,validation,18320,data/Something_data/videos_full/18320.webm,1,16,10,8,126,False,False,0.878846287727356,0.005246591987088323,0.005303899095451925,0.5484734431374818,33,1,16,16,False,
somethingv2,validation,182144,data/Something_data/videos_full/182144.webm,1,16,10,8,125,False,False,0.5217194557189941,0.006995639996603131,0.005303899095451925,0.5425072161015123,43,1,16,16,False,
somethingv2,validation,47739,data/Something_data/videos_full/47739.webm,1,16,10,8,124,False,False,0.9521583914756775,0.005472784163430333,0.005303899095451925,0.531496822135523,44,1,16,16,False,
somethingv2,validation,48198,data/Something_data/videos_full/48198.webm,1,16,10,8,166,False,False,0.44935786724090576,0.005057297879830003,0.005303899095451925,0.5237160939723253,35,1,16,16,False,
somethingv2,validation,113630,data/Something_data/videos_full/113630.webm,1,16,10,8,125,False,False,0.9436456561088562,0.006535426946356893,0.005303899095451925,0.5180023889988661,42,1,16,16,False,
somethingv2,validation,126896,data/Something_data/videos_full/126896.webm,1,16,10,8,124,False,False,0.998677670955658,0.005652491003274918,0.005303899095451925,0.5079128690995276,36,1,16,16,False,
somethingv2,validation,17233,data/Something_data/videos_full/17233.webm,1,16,10,8,124,False,False,0.9816381931304932,0.006173484027385712,0.005303899095451925,0.49810709594748914,50,1,16,16,False,
somethingv2,validation,211670,data/Something_data/videos_full/211670.webm,1,16,10,8,125,False,False,0.9013106226921082,0.006733082002028823,0.005303899095451925,0.4885626637842506,58,1,16,16,False,
somethingv2,validation,214846,data/Something_data/videos_full/214846.webm,1,16,10,8,122,False,False,0.3185844123363495,0.004817310953512788,0.005303899095451925,0.47993154590949416,66,1,16,16,False,
somethingv2,validation,149011,data/Something_data/videos_full/149011.webm,1,16,10,8,125,False,False,0.7172600626945496,0.006300703855231404,0.005303899095451925,0.4744313231203705,64,1,16,16,False,
somethingv2,validation,211312,data/Something_data/videos_full/211312.webm,1,16,10,8,125,False,False,0.9431465864181519,0.005642371019348502,0.005303899095451925,0.46600273298099637,38,1,16,16,False,
somethingv2,validation,72089,data/Something_data/videos_full/72089.webm,1,16,10,8,125,False,False,0.9133635759353638,0.006874515907838941,0.005377199784561526,0.72441989579238,42,1,16,16,False,
somethingv2,validation,48640,data/Something_data/videos_full/48640.webm,1,16,10,8,124,False,False,0.7896071076393127,0.005736025981605053,0.005377199784561526,0.7168506511952728,51,1,16,16,False,
somethingv2,validation,130457,data/Something_data/videos_full/130457.webm,1,16,10,8,125,False,False,0.6168200969696045,0.006076333811506629,0.005377199784561526,0.7104230439290404,36,1,16,16,False,
somethingv2,validation,21847,data/Something_data/videos_full/21847.webm,1,16,10,8,125,False,False,0.3194637596607208,0.005456526996567845,0.005377199784561526,0.7032048378605396,52,1,16,16,False,
somethingv2,validation,213934,data/Something_data/videos_full/213934.webm,1,16,10,8,125,False,False,0.36589357256889343,0.005568068008869886,0.005377199784561526,0.6970903358887881,69,1,16,16,False,
somethingv2,validation,148261,data/Something_data/videos_full/148261.webm,1,16,10,8,126,False,False,0.21200163662433624,0.007356463931500912,0.005377199784561526,0.6905925858300179,70,1,16,16,False,
somethingv2,validation,149753,data/Something_data/videos_full/149753.webm,1,16,10,8,124,False,False,0.7098953723907471,0.005145834060385823,0.005377199784561526,0.6794115591328591,57,1,16,16,False,
somethingv2,validation,129999,data/Something_data/videos_full/129999.webm,1,16,10,8,167,False,False,0.35851019620895386,0.005621894961223006,0.005377199784561526,0.6734617110341787,42,1,16,16,False,
somethingv2,validation,35716,data/Something_data/videos_full/35716.webm,2,16,10,8,124,False,False,0.8178886771202087,0.005707963835448027,0.005377199784561526,0.6665146860759705,67,1,16,16,False,
somethingv2,validation,174755,data/Something_data/videos_full/174755.webm,2,16,10,8,125,False,False,0.48372822999954224,0.005302105797454715,0.005377199784561526,0.6584727070294321,60,1,16,16,False,
somethingv2,validation,212394,data/Something_data/videos_full/212394.webm,2,16,10,8,124,False,False,0.7464675903320312,0.006452448898926377,0.005377199784561526,0.6523644661065191,49,1,16,16,False,
somethingv2,validation,35569,data/Something_data/videos_full/35569.webm,2,16,10,8,124,False,False,0.9985907673835754,0.006301542045548558,0.005377199784561526,0.6425163419917226,54,1,16,16,False,
somethingv2,validation,83918,data/Something_data/videos_full/83918.webm,2,16,10,8,125,False,False,0.34178441762924194,0.005362195195630193,0.005377199784561526,0.6334919459186494,66,1,16,16,False,
somethingv2,validation,127592,data/Something_data/videos_full/127592.webm,2,16,10,8,125,False,False,0.7457630634307861,0.005414990009739995,0.005377199784561526,0.6258588109631091,52,1,16,16,False,
somethingv2,validation,171983,data/Something_data/videos_full/171983.webm,2,16,10,8,125,False,False,0.5153193473815918,0.005754576064646244,0.005377199784561526,0.6197945810854435,68,1,16,16,False,
somethingv2,validation,87512,data/Something_data/videos_full/87512.webm,2,16,10,8,125,False,False,0.868896484375,0.005141659872606397,0.005377199784561526,0.6122532121371478,37,1,16,16,False,
somethingv2,validation,33272,data/Something_data/videos_full/33272.webm,2,16,10,8,20,False,False,0.4615866541862488,0.006174934795126319,0.005377199784561526,0.6057613349985331,61,1,16,16,False,
somethingv2,validation,98869,data/Something_data/videos_full/98869.webm,2,16,10,8,125,False,False,0.24036891758441925,0.005925235105678439,0.005377199784561526,0.595565936062485,48,1,16,16,False,
somethingv2,validation,143280,data/Something_data/videos_full/143280.webm,2,16,10,8,11,False,False,0.5542783141136169,0.005526460940018296,0.005377199784561526,0.5874183070845902,40,1,16,16,False,
somethingv2,validation,21174,data/Something_data/videos_full/21174.webm,2,16,10,8,125,False,False,0.1885898858308792,0.0055879889987409115,0.005377199784561526,0.5792730869725347,54,1,16,16,False,
somethingv2,validation,148402,data/Something_data/videos_full/148402.webm,2,16,10,8,124,False,False,0.17739668488502502,0.005409736884757876,0.005377199784561526,0.571242465171963,34,1,16,16,False,
