coverage,stride,top1,n,model,dataset
10,1,0.053117782909930716,3464,r2plus1d_18,ssv2
10,2,0.04792147806004619,3464,r2plus1d_18,ssv2
10,4,0.0401270207852194,3464,r2plus1d_18,ssv2
10,8,0.03175519630484989,3464,r2plus1d_18,ssv2
10,16,0.03175519630484989,3464,r2plus1d_18,ssv2
25,1,0.11172055427251733,3464,r2plus1d_18,ssv2
25,2,0.09584295612009237,3464,r2plus1d_18,ssv2
25,4,0.06668591224018476,3464,r2plus1d_18,ssv2
25,8,0.04792147806004619,3464,r2plus1d_18,ssv2
25,16,0.033775981524249425,3464,r2plus1d_18,ssv2
50,1,0.24992759918911092,3453,r2plus1d_18,ssv2
50,2,0.24811812391430227,3454,r2plus1d_18,ssv2
50,4,0.190049175585768,3457,r2plus1d_18,ssv2
50,8,0.10355799826439109,3457,r2plus1d_18,ssv2
50,16,0.05975750577367205,3464,r2plus1d_18,ssv2
75,1,0.39425355450236965,3376,r2plus1d_18,ssv2
75,2,0.38898756660746003,3378,r2plus1d_18,ssv2
75,4,0.34920165582495566,3382,r2plus1d_18,ssv2
75,8,0.19617647058823529,3400,r2plus1d_18,ssv2
75,16,0.0995911214953271,3424,r2plus1d_18,ssv2
100,1,0.43755725190839695,3275,r2plus1d_18,ssv2
100,2,0.4469188529591214,3278,r2plus1d_18,ssv2
100,4,0.3978102189781022,3288,r2plus1d_18,ssv2
100,8,0.24203821656050956,3297,r2plus1d_18,ssv2
100,16,0.1287515006002401,3332,r2plus1d_18,ssv2
