dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
ucf101,val,v_ApplyEyeMakeup_g07_c04,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c04.avi,0,16,10,1,0,True,True,0.9999998807907104,0.019718792056664824,0.015823345340322703,0.9183370501268655,142,14,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g02_c02,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g02_c02.avi,0,16,10,1,0,True,True,0.9999977350234985,0.01246705511584878,0.015823345340322703,0.896978884935379,146,15,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g01_c02,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c02.avi,0,16,10,1,0,True,True,0.9999399185180664,0.00929272104986012,0.015823345340322703,0.8831358961760998,123,12,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g04_c02,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c02.avi,0,16,10,1,0,True,True,0.9999997615814209,0.009800748201087117,0.015823345340322703,0.872593147912994,132,13,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g03_c06,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g03_c06.avi,0,16,10,1,1,False,True,0.892517626285553,0.01044072606600821,0.015823345340322703,0.8615137960296124,152,15,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g03_c05,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g03_c05.avi,0,16,10,1,0,True,True,0.9999569654464722,0.01026340201497078,0.015823345340322703,0.849990454968065,146,15,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g02_c03,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g02_c03.avi,0,16,10,1,0,True,True,0.9999995231628418,0.012109786039218307,0.015823345340322703,0.8384752550628036,216,16,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g02_c01,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g02_c01.avi,0,16,10,1,0,True,True,0.9999821186065674,0.010413801996037364,0.015823345340322703,0.8243898150976747,170,16,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g06_c05,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c05.avi,0,16,10,1,0,True,True,0.9999877214431763,0.0127969179302454,0.015823345340322703,0.8126422329805791,281,16,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g01_c06,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c06.avi,0,16,10,1,0,True,True,0.9999923706054688,0.009334331145510077,0.015823345340322703,0.7987334178760648,122,12,16,16,False,
