coverage,stride,top1,n
10,1,0.6475247524752475,2020
10,2,0.6351485148514852,2020
10,4,0.5935643564356435,2020
10,8,0.5069306930693069,2020
10,16,0.4143564356435643,2020
25,1,0.7871287128712872,2020
25,2,0.7811881188118812,2020
25,4,0.7688118811881188,2020
25,8,0.6782178217821783,2020
25,16,0.556930693069307,2020
50,1,0.8534653465346534,2020
50,2,0.850990099009901,2020
50,4,0.848019801980198,2020
50,8,0.8198019801980198,2020
50,16,0.7143564356435643,2020
75,1,0.8886138613861386,2020
75,2,0.8881188118811881,2020
75,4,0.8831683168316832,2020
75,8,0.8732673267326733,2020
75,16,0.7925742574257426,2020
100,1,0.8935643564356436,2020
100,2,0.898019801980198,2020
100,4,0.8995049504950495,2020
100,8,0.8940594059405941,2020
100,16,0.8396039603960396,2020
