dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
autsl,val,signer1_sample944_color,data/AUTSL_data/val/signer1_sample944_color.mp4,0,16,50,2,116,False,False,0.9877552390098572,0.028351610992103815,0.0014132737496765913,1.0142926200060174,57,14,16,16,False,
autsl,val,signer1_sample276_color,data/AUTSL_data/val/signer1_sample276_color.mp4,0,16,50,2,116,False,False,0.715639591217041,0.02895944897318259,0.0014132737496765913,0.9819821529963519,65,16,16,16,False,
autsl,val,signer35_sample610_color,data/AUTSL_data/val/signer35_sample610_color.mp4,0,16,50,2,116,False,False,0.8526687622070312,0.031333330989582464,0.0014132737496765913,0.9510426319902763,71,16,16,16,False,
autsl,val,signer35_sample390_color,data/AUTSL_data/val/signer35_sample390_color.mp4,0,16,50,2,116,False,False,0.6572556495666504,0.03251931999693625,0.0014132737496765913,0.9173514549911488,75,16,16,16,False,
autsl,val,signer18_sample539_color,data/AUTSL_data/val/signer18_sample539_color.mp4,0,16,50,2,116,False,False,0.7709984183311462,0.02800923801260069,0.0014132737496765913,0.8828464399848599,64,16,16,16,False,
autsl,val,signer1_sample778_color,data/AUTSL_data/val/signer1_sample778_color.mp4,0,16,50,2,116,False,False,0.9265158772468567,0.028827647998696193,0.0014132737496765913,0.853007516998332,63,16,16,16,False,
autsl,val,signer11_sample469_color,data/AUTSL_data/val/signer11_sample469_color.mp4,0,16,50,2,116,False,True,0.36317142844200134,0.021714433009037748,0.0014132737496765913,0.8214796079846565,45,11,16,16,False,
autsl,val,signer1_sample319_color,data/AUTSL_data/val/signer1_sample319_color.mp4,0,16,50,2,116,False,False,0.8280202746391296,0.028291158989304677,0.0014132737496765913,0.7971873409987893,68,16,16,16,False,
autsl,val,signer11_sample120_color,data/AUTSL_data/val/signer11_sample120_color.mp4,0,16,50,2,116,False,False,0.8492787480354309,0.023469136998755857,0.0014132737496765913,0.7663502089853864,48,12,16,16,False,
autsl,val,signer25_sample64_color,data/AUTSL_data/val/signer25_sample64_color.mp4,0,16,50,2,0,True,True,0.48609817028045654,0.022311186010483652,0.0014132737496765913,0.7411210959835444,46,12,16,16,False,
autsl,val,signer16_sample254_color,data/AUTSL_data/val/signer16_sample254_color.mp4,0,16,50,2,175,False,False,0.977262556552887,0.03013895300682634,0.0014132737496765913,0.7164404630020726,61,15,16,16,False,
autsl,val,signer35_sample286_color,data/AUTSL_data/val/signer35_sample286_color.mp4,0,16,50,2,0,True,True,0.7548317909240723,0.029116552002960816,0.0014132737496765913,0.6837365359824616,61,15,16,16,False,
autsl,val,signer25_sample285_color,data/AUTSL_data/val/signer25_sample285_color.mp4,0,16,50,2,116,False,False,0.8651845455169678,0.026397178997285664,0.0014132737496765913,0.6524579339893535,53,13,16,16,False,
autsl,val,signer18_sample482_color,data/AUTSL_data/val/signer18_sample482_color.mp4,0,16,50,2,116,False,False,0.7558150887489319,0.028445129981264472,0.0014132737496765913,0.6242039130011108,67,16,16,16,False,
autsl,val,signer16_sample365_color,data/AUTSL_data/val/signer16_sample365_color.mp4,0,16,50,2,175,False,False,0.9313735961914062,0.027120126003865153,0.0014132737496765913,0.5925223049998749,58,15,16,16,False,
autsl,val,signer11_sample66_color,data/AUTSL_data/val/signer11_sample66_color.mp4,0,16,50,2,116,False,False,0.8976277709007263,0.0218518259935081,0.0014132737496765913,0.5615392590116244,49,12,16,16,False,
autsl,val,signer1_sample1090_color,data/AUTSL_data/val/signer1_sample1090_color.mp4,0,16,50,2,116,False,False,0.9950525164604187,0.029088685987517238,0.0014132737496765913,0.537372652994236,58,15,16,16,False,
autsl,val,signer18_sample5_color,data/AUTSL_data/val/signer18_sample5_color.mp4,0,16,50,2,116,False,False,0.9378669857978821,0.02896433399291709,0.0014132737496765913,0.5065484600199852,72,16,16,16,False,
autsl,val,signer1_sample1094_color,data/AUTSL_data/val/signer1_sample1094_color.mp4,0,16,50,2,116,False,False,0.9428945779800415,0.026981327013345435,0.0014132737496765913,0.4752850260119885,61,15,16,16,False,
autsl,val,signer25_sample431_color,data/AUTSL_data/val/signer25_sample431_color.mp4,0,16,50,2,116,False,False,0.9044707417488098,0.026561180013231933,0.0014132737496765913,0.44658316200366244,56,14,16,16,False,
autsl,val,signer25_sample372_color,data/AUTSL_data/val/signer25_sample372_color.mp4,1,16,50,2,113,False,True,0.28963080048561096,0.027262693998636678,0.0014132737496765913,0.41752936801640317,58,15,16,16,False,
autsl,val,signer18_sample243_color,data/AUTSL_data/val/signer18_sample243_color.mp4,1,16,50,2,157,False,True,0.3036704957485199,0.026588282984448597,0.0014132737496765913,0.3884348589926958,55,14,16,16,False,
autsl,val,signer35_sample603_color,data/AUTSL_data/val/signer35_sample603_color.mp4,1,16,50,2,1,True,True,0.2753225862979889,0.028643599012866616,0.0014132737496765913,0.35919878497952595,55,14,16,16,False,
autsl,val,signer18_sample436_color,data/AUTSL_data/val/signer18_sample436_color.mp4,1,16,50,2,157,False,True,0.7558001279830933,0.028807186987251043,0.0014132737496765913,0.32778800700907595,61,15,16,16,False,
autsl,val,signer11_sample397_color,data/AUTSL_data/val/signer11_sample397_color.mp4,1,16,50,2,157,False,False,0.28946396708488464,0.020223700994392857,0.0014132737496765913,0.29633741299039684,38,10,16,16,False,
autsl,val,signer1_sample936_color,data/AUTSL_data/val/signer1_sample936_color.mp4,1,16,50,2,212,False,False,0.14455078542232513,0.02799591500661336,0.0014132737496765913,0.27251436497317627,55,14,16,16,False,
autsl,val,signer16_sample330_color,data/AUTSL_data/val/signer16_sample330_color.mp4,1,16,50,2,37,False,False,0.30814144015312195,0.02793289697729051,0.0014132737496765913,0.24174553601187654,62,16,16,16,False,
autsl,val,signer1_sample57_color,data/AUTSL_data/val/signer1_sample57_color.mp4,1,16,50,2,20,False,False,0.1729377955198288,0.025552086008246988,0.0014132737496765913,0.21222418898832984,51,13,16,16,False,
autsl,val,signer1_sample377_color,data/AUTSL_data/val/signer1_sample377_color.mp4,1,16,50,2,37,False,False,0.15132369101047516,0.027239251998253167,0.0014132737496765913,0.18435132000013255,52,13,16,16,False,
autsl,val,signer35_sample92_color,data/AUTSL_data/val/signer35_sample92_color.mp4,1,16,50,2,1,True,True,0.919863224029541,0.025974377000238746,0.0014132737496765913,0.155345634004334,51,13,16,16,False,
autsl,val,signer1_sample989_color,data/AUTSL_data/val/signer1_sample989_color.mp4,1,16,50,2,154,False,False,0.8408766984939575,0.025771407992579043,0.0014132737496765913,0.12644566901144572,55,14,16,16,False,
autsl,val,signer25_sample463_color,data/AUTSL_data/val/signer25_sample463_color.mp4,1,16,50,2,113,False,False,0.12549619376659393,0.02664740598993376,0.0014132737496765913,0.09879098099190742,58,15,16,16,False,
autsl,val,signer1_sample198_color,data/AUTSL_data/val/signer1_sample198_color.mp4,1,16,50,2,154,False,False,0.4369417130947113,0.030303382984129712,0.0015497978747589514,1.0231612480129115,51,13,16,16,False,
autsl,val,signer18_sample652_color,data/AUTSL_data/val/signer18_sample652_color.mp4,1,16,50,2,157,False,True,0.8432208299636841,0.02905288801412098,0.0015497978747589514,0.9913416649797,69,16,16,16,False,
autsl,val,signer11_sample453_color,data/AUTSL_data/val/signer11_sample453_color.mp4,1,16,50,2,37,False,False,0.5984784364700317,0.021470866980962455,0.0015497978747589514,0.9599348359915894,39,10,16,16,False,
autsl,val,signer16_sample126_color,data/AUTSL_data/val/signer16_sample126_color.mp4,1,16,50,2,113,False,False,0.1439572274684906,0.028523009998025373,0.0015497978747589514,0.9360534779843874,67,16,16,16,False,
autsl,val,signer1_sample829_color,data/AUTSL_data/val/signer1_sample829_color.mp4,1,16,50,2,154,False,False,0.728753387928009,0.02620828998624347,0.0015497978747589514,0.9043408409925178,56,14,16,16,False,
autsl,val,signer11_sample242_color,data/AUTSL_data/val/signer11_sample242_color.mp4,1,16,50,2,37,False,False,0.8851190805435181,0.01975772500736639,0.0015497978747589514,0.8766858470044099,37,9,16,16,False,
autsl,val,signer25_sample110_color,data/AUTSL_data/val/signer25_sample110_color.mp4,1,16,50,2,213,False,True,0.25250038504600525,0.026613192982040346,0.0015497978747589514,0.854668085987214,56,14,16,16,False,
autsl,val,signer11_sample639_color,data/AUTSL_data/val/signer11_sample639_color.mp4,2,16,50,2,2,True,True,0.9091774225234985,0.021763136988738552,0.0015497978747589514,0.8256394299969543,43,11,16,16,False,
autsl,val,signer25_sample375_color,data/AUTSL_data/val/signer25_sample375_color.mp4,2,16,50,2,2,True,True,0.9102715253829956,0.022558657015906647,0.0015497978747589514,0.8011988159851171,44,11,16,16,False,
autsl,val,signer35_sample601_color,data/AUTSL_data/val/signer35_sample601_color.mp4,2,16,50,2,209,False,True,0.7896932363510132,0.028764501999830827,0.0015497978747589514,0.7762856439803727,71,16,16,16,False,
autsl,val,signer1_sample270_color,data/AUTSL_data/val/signer1_sample270_color.mp4,2,16,50,2,2,True,True,0.9937408566474915,0.028931402979651466,0.0015497978747589514,0.7452397320012096,72,16,16,16,False,
