dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
autsl,val,signer1_sample944_color,data/AUTSL_data/val/signer1_sample944_color.mp4,0,16,100,16,18,False,False,0.010175262577831745,0.02180861192755401,0.001246261686901562,0.6772009059786797,57,4,16,16,False,
autsl,val,signer1_sample276_color,data/AUTSL_data/val/signer1_sample276_color.mp4,0,16,100,16,18,False,False,0.037094950675964355,0.02173330308869481,0.001246261686901562,0.6534860669635236,65,5,16,16,False,
autsl,val,signer35_sample610_color,data/AUTSL_data/val/signer35_sample610_color.mp4,0,16,100,16,18,False,False,0.09465290606021881,0.020449195988476276,0.001246261686901562,0.6305250460281968,71,5,16,16,False,
autsl,val,signer35_sample390_color,data/AUTSL_data/val/signer35_sample390_color.mp4,0,16,100,16,18,False,False,0.10691525042057037,0.021490239072591066,0.001246261686901562,0.608546924078837,75,5,16,16,False,
autsl,val,signer18_sample539_color,data/AUTSL_data/val/signer18_sample539_color.mp4,0,16,100,16,18,False,False,0.018173450604081154,0.01764002488926053,0.001246261686901562,0.5848155920393765,64,4,16,16,False,
autsl,val,signer1_sample778_color,data/AUTSL_data/val/signer1_sample778_color.mp4,0,16,100,16,18,False,True,0.06779403239488602,0.017770681995898485,0.001246261686901562,0.5655404007993639,63,4,16,16,False,
autsl,val,signer11_sample469_color,data/AUTSL_data/val/signer11_sample469_color.mp4,0,16,100,16,127,False,False,0.4501815736293793,0.013970905914902687,0.001246261686901562,0.5457910280674696,45,3,16,16,False,
autsl,val,signer1_sample319_color,data/AUTSL_data/val/signer1_sample319_color.mp4,0,16,100,16,18,False,False,0.09797951579093933,0.020458487793803215,0.001246261686901562,0.5307450869586319,68,5,16,16,False,
autsl,val,signer11_sample120_color,data/AUTSL_data/val/signer11_sample120_color.mp4,0,16,100,16,127,False,False,0.1496860831975937,0.01422915211878717,0.001246261686901562,0.5089788069017231,48,3,16,16,False,
autsl,val,signer25_sample64_color,data/AUTSL_data/val/signer25_sample64_color.mp4,0,16,100,16,154,False,False,0.2327488660812378,0.01411355403251946,0.001246261686901562,0.4929807928856462,46,3,16,16,False,
autsl,val,signer16_sample254_color,data/AUTSL_data/val/signer16_sample254_color.mp4,0,16,100,16,127,False,False,0.014633958227932453,0.01664662011899054,0.001246261686901562,0.4774746939074248,61,4,16,16,False,
autsl,val,signer35_sample286_color,data/AUTSL_data/val/signer35_sample286_color.mp4,0,16,100,16,127,False,False,0.05702401325106621,0.01825799187645316,0.001246261686901562,0.4593450450338423,61,4,16,16,False,
autsl,val,signer25_sample285_color,data/AUTSL_data/val/signer25_sample285_color.mp4,0,16,100,16,154,False,False,0.32844680547714233,0.016897416207939386,0.001246261686901562,0.438937169034034,53,4,16,16,False,
autsl,val,signer18_sample482_color,data/AUTSL_data/val/signer18_sample482_color.mp4,0,16,100,16,127,False,False,0.030849911272525787,0.019421415170654655,0.001246261686901562,0.42039736406877637,67,5,16,16,False,
autsl,val,signer16_sample365_color,data/AUTSL_data/val/signer16_sample365_color.mp4,0,16,100,16,71,False,False,0.008335829712450504,0.01786004612222314,0.001246261686901562,0.399712790036574,58,4,16,16,False,
autsl,val,signer11_sample66_color,data/AUTSL_data/val/signer11_sample66_color.mp4,0,16,100,16,182,False,False,0.0758570209145546,0.01646473095752299,0.001246261686901562,0.37996875401586294,49,4,16,16,False,
autsl,val,signer1_sample1090_color,data/AUTSL_data/val/signer1_sample1090_color.mp4,0,16,100,16,191,False,False,0.008595859631896019,0.017836096929386258,0.001246261686901562,0.36193302599713206,58,4,16,16,False,
autsl,val,signer18_sample5_color,data/AUTSL_data/val/signer18_sample5_color.mp4,0,16,100,16,18,False,False,0.056548506021499634,0.01987874391488731,0.001246261686901562,0.342202952131629,72,5,16,16,False,
autsl,val,signer1_sample1094_color,data/AUTSL_data/val/signer1_sample1094_color.mp4,0,16,100,16,18,False,False,0.011175398714840412,0.0179201471619308,0.001246261686901562,0.3209407739341259,61,4,16,16,False,
autsl,val,signer25_sample431_color,data/AUTSL_data/val/signer25_sample431_color.mp4,0,16,100,16,24,False,False,0.14446985721588135,0.016422534128651023,0.001246261686901562,0.3012774100061506,56,4,16,16,False,
autsl,val,signer25_sample372_color,data/AUTSL_data/val/signer25_sample372_color.mp4,1,16,100,16,24,False,False,0.13298504054546356,0.016475869109854102,0.001246261686901562,0.28266391903162,58,4,16,16,False,
autsl,val,signer18_sample243_color,data/AUTSL_data/val/signer18_sample243_color.mp4,1,16,100,16,75,False,False,0.037819743156433105,0.016896399203687906,0.001246261686901562,0.2643068579491228,55,4,16,16,False,
autsl,val,signer35_sample603_color,data/AUTSL_data/val/signer35_sample603_color.mp4,1,16,100,16,202,False,False,0.0489201545715332,0.016379930078983307,0.001246261686901562,0.24611910502426326,55,4,16,16,False,
autsl,val,signer18_sample436_color,data/AUTSL_data/val/signer18_sample436_color.mp4,1,16,100,16,45,False,False,0.01813368871808052,0.017514565028250217,0.001246261686901562,0.22870364086702466,61,4,16,16,False,
autsl,val,signer11_sample397_color,data/AUTSL_data/val/signer11_sample397_color.mp4,1,16,100,16,154,False,False,0.15909884870052338,0.014130329946056008,0.001246261686901562,0.2098987370263785,38,3,16,16,False,
autsl,val,signer1_sample936_color,data/AUTSL_data/val/signer1_sample936_color.mp4,1,16,100,16,191,False,False,0.0780225321650505,0.01714113005436957,0.001246261686901562,0.19433166389353573,55,4,16,16,False,
autsl,val,signer16_sample330_color,data/AUTSL_data/val/signer16_sample330_color.mp4,1,16,100,16,35,False,False,0.007851628586649895,0.016750765964388847,0.001246261686901562,0.17585299513302743,62,4,16,16,False,
autsl,val,signer1_sample57_color,data/AUTSL_data/val/signer1_sample57_color.mp4,1,16,100,16,33,False,False,0.31473037600517273,0.017697098897770047,0.001246261686901562,0.15773791284300387,51,4,16,16,False,
autsl,val,signer1_sample377_color,data/AUTSL_data/val/signer1_sample377_color.mp4,1,16,100,16,33,False,False,0.24432697892189026,0.017393242102116346,0.001246261686901562,0.13851328589953482,52,4,16,16,False,
autsl,val,signer35_sample92_color,data/AUTSL_data/val/signer35_sample92_color.mp4,1,16,100,16,194,False,False,0.038349948823451996,0.016825271071866155,0.001246261686901562,0.11963624879717827,51,4,16,16,False,
autsl,val,signer1_sample989_color,data/AUTSL_data/val/signer1_sample989_color.mp4,1,16,100,16,191,False,False,0.020618995651602745,0.017690367996692657,0.001246261686901562,0.1012524850666523,55,4,16,16,False,
autsl,val,signer25_sample463_color,data/AUTSL_data/val/signer25_sample463_color.mp4,1,16,100,16,24,False,False,0.06275767832994461,0.01688293693587184,0.001246261686901562,0.08219662890769541,58,4,16,16,False,
autsl,val,signer1_sample198_color,data/AUTSL_data/val/signer1_sample198_color.mp4,1,16,100,16,33,False,False,0.01334697287529707,0.024253922048956156,0.0012604285293491557,0.6977578999940306,51,4,16,16,False,
autsl,val,signer18_sample652_color,data/AUTSL_data/val/signer18_sample652_color.mp4,1,16,100,16,45,False,False,0.032355815172195435,0.020229797111824155,0.0012604285293491557,0.6711312350817025,69,5,16,16,False,
autsl,val,signer11_sample453_color,data/AUTSL_data/val/signer11_sample453_color.mp4,1,16,100,16,154,False,False,0.08209703117609024,0.01490487577393651,0.0012604285293491557,0.6495823001023382,39,3,16,16,False,
autsl,val,signer16_sample126_color,data/AUTSL_data/val/signer16_sample126_color.mp4,1,16,100,16,35,False,False,0.015830419957637787,0.02049155905842781,0.0012604285293491557,0.6327369899954647,67,5,16,16,False,
autsl,val,signer1_sample829_color,data/AUTSL_data/val/signer1_sample829_color.mp4,1,16,100,16,79,False,False,0.02068793587386608,0.01767569500952959,0.0012604285293491557,0.6107370159588754,56,4,16,16,False,
autsl,val,signer11_sample242_color,data/AUTSL_data/val/signer11_sample242_color.mp4,1,16,100,16,154,False,False,0.0630578100681305,0.014501244993880391,0.0012604285293491557,0.5912923801224679,37,3,16,16,False,
autsl,val,signer25_sample110_color,data/AUTSL_data/val/signer25_sample110_color.mp4,1,16,100,16,24,False,False,0.2794930934906006,0.017045038985088468,0.0012604285293491557,0.5755047269631177,56,4,16,16,False,
autsl,val,signer11_sample639_color,data/AUTSL_data/val/signer11_sample639_color.mp4,2,16,100,16,127,False,False,0.18985702097415924,0.0146919300314039,0.0012604285293491557,0.5569964668247849,43,3,16,16,False,
autsl,val,signer25_sample375_color,data/AUTSL_data/val/signer25_sample375_color.mp4,2,16,100,16,154,False,False,0.1993616670370102,0.014329705853015184,0.0012604285293491557,0.5401639300398529,44,3,16,16,False,
autsl,val,signer35_sample601_color,data/AUTSL_data/val/signer35_sample601_color.mp4,2,16,100,16,127,False,False,0.07334879040718079,0.020462807966396213,0.0012604285293491557,0.5238164509646595,71,5,16,16,False,
autsl,val,signer1_sample270_color,data/AUTSL_data/val/signer1_sample270_color.mp4,2,16,100,16,75,False,False,0.026786090806126595,0.02160622808150947,0.0012604285293491557,0.5019662980921566,72,5,16,16,False,
autsl,val,signer18_sample120_color,data/AUTSL_data/val/signer18_sample120_color.mp4,2,16,100,16,127,False,False,0.05300420895218849,0.017698115203529596,0.0012604285293491557,0.4789275878574699,64,4,16,16,False,
autsl,val,signer25_sample185_color,data/AUTSL_data/val/signer25_sample185_color.mp4,2,16,100,16,154,False,False,0.06350668519735336,0.016774929128587246,0.0012604285293491557,0.4588336138986051,53,4,16,16,False,
autsl,val,signer18_sample448_color,data/AUTSL_data/val/signer18_sample448_color.mp4,2,16,100,16,92,False,False,0.050477687269449234,0.021127948071807623,0.0012604285293491557,0.4407102530822158,76,5,16,16,False,
autsl,val,signer35_sample159_color,data/AUTSL_data/val/signer35_sample159_color.mp4,2,16,100,16,193,False,False,0.08724451065063477,0.017248868010938168,0.0012604285293491557,0.4177086460404098,59,4,16,16,False,
autsl,val,signer16_sample324_color,data/AUTSL_data/val/signer16_sample324_color.mp4,2,16,100,16,154,False,False,0.013946820981800556,0.020490034949034452,0.0012604285293491557,0.3988758970517665,75,5,16,16,False,
autsl,val,signer18_sample347_color,data/AUTSL_data/val/signer18_sample347_color.mp4,2,16,100,16,92,False,False,0.02693801373243332,0.020069153048098087,0.0012604285293491557,0.37675493606366217,66,5,16,16,False,
autsl,val,signer1_sample950_color,data/AUTSL_data/val/signer1_sample950_color.mp4,2,16,100,16,180,False,False,0.015940165147185326,0.021058934973552823,0.0012604285293491557,0.3551785610616207,72,5,16,16,False,
autsl,val,signer1_sample1100_color,data/AUTSL_data/val/signer1_sample1100_color.mp4,2,16,100,16,180,False,False,0.01838972233235836,0.020951564889401197,0.0012604285293491557,0.33239013189449906,70,5,16,16,False,
autsl,val,signer1_sample509_color,data/AUTSL_data/val/signer1_sample509_color.mp4,2,16,100,16,75,False,False,0.024010512977838516,0.02037597494199872,0.0012604285293491557,0.3101154889445752,74,5,16,16,False,
autsl,val,signer11_sample430_color,data/AUTSL_data/val/signer11_sample430_color.mp4,2,16,100,16,24,False,False,0.28285157680511475,0.01430887496098876,0.0012604285293491557,0.2877059020102024,44,3,16,16,False,
autsl,val,signer1_sample169_color,data/AUTSL_data/val/signer1_sample169_color.mp4,2,16,100,16,180,False,False,0.015332180075347424,0.021678664023056626,0.0012604285293491557,0.2718445810023695,70,5,16,16,False,
autsl,val,signer16_sample56_color,data/AUTSL_data/val/signer16_sample56_color.mp4,2,16,100,16,154,False,False,0.01488447841256857,0.01943293120712042,0.0012604285293491557,0.24900285410694778,69,5,16,16,False,
autsl,val,signer25_sample220_color,data/AUTSL_data/val/signer25_sample220_color.mp4,2,16,100,16,154,False,False,0.09824240207672119,0.014047461096197367,0.0012604285293491557,0.2285068859346211,47,3,16,16,False,
autsl,val,signer35_sample426_color,data/AUTSL_data/val/signer35_sample426_color.mp4,2,16,100,16,36,False,False,0.15270878374576569,0.0166179439984262,0.0012604285293491557,0.21301165502518415,62,4,16,16,False,
autsl,val,signer11_sample142_color,data/AUTSL_data/val/signer11_sample142_color.mp4,2,16,100,16,127,False,False,0.21657106280326843,0.013757677981629968,0.0012604285293491557,0.19430101220496,44,3,16,16,False,
autsl,val,signer1_sample432_color,data/AUTSL_data/val/signer1_sample432_color.mp4,2,16,100,16,92,False,False,0.03284739330410957,0.020308448001742363,0.0012604285293491557,0.17902840510942042,76,5,16,16,False,
autsl,val,signer1_sample648_color,data/AUTSL_data/val/signer1_sample648_color.mp4,3,16,100,16,18,False,False,0.010999145917594433,0.02078966493718326,0.0012604285293491557,0.15701829502359033,65,5,16,16,False,
autsl,val,signer16_sample315_color,data/AUTSL_data/val/signer16_sample315_color.mp4,3,16,100,16,200,False,False,0.02464628778398037,0.020227452041581273,0.0012604285293491557,0.1348404809832573,71,5,16,16,False,
autsl,val,signer11_sample327_color,data/AUTSL_data/val/signer11_sample327_color.mp4,3,16,100,16,127,False,False,0.36079221963882446,0.014288611011579633,0.0012604285293491557,0.11346939415670931,43,3,16,16,False,
autsl,val,signer18_sample323_color,data/AUTSL_data/val/signer18_sample323_color.mp4,3,16,100,16,127,False,False,0.05336282402276993,0.01690070005133748,0.0012604285293491557,0.09822447993792593,62,4,16,16,False,
autsl,val,signer11_sample565_color,data/AUTSL_data/val/signer11_sample565_color.mp4,3,16,100,16,127,False,False,0.3341328501701355,0.013956869021058083,0.0012604285293491557,0.07950381701812148,46,3,16,16,False,
autsl,val,signer18_sample138_color,data/AUTSL_data/val/signer18_sample138_color.mp4,3,16,100,16,127,False,False,0.07227332144975662,0.027723263017833233,0.0012705651242868043,0.7330847198609263,76,5,16,16,False,
autsl,val,signer1_sample1092_color,data/AUTSL_data/val/signer1_sample1092_color.mp4,3,16,100,16,196,False,False,0.049115169793367386,0.02176158013753593,0.0012705651242868043,0.7027395740151405,73,5,16,16,False,
autsl,val,signer1_sample166_color,data/AUTSL_data/val/signer1_sample166_color.mp4,3,16,100,16,4,False,False,0.015654895454645157,0.018432080978527665,0.0012705651242868043,0.6790723390877247,59,4,16,16,False,
autsl,val,signer25_sample212_color,data/AUTSL_data/val/signer25_sample212_color.mp4,3,16,100,16,182,False,False,0.3679392337799072,0.017338493140414357,0.0012705651242868043,0.6590076698921621,63,4,16,16,False,
autsl,val,signer18_sample500_color,data/AUTSL_data/val/signer18_sample500_color.mp4,3,16,100,16,127,False,False,0.07969331741333008,0.020523572107777,0.0012705651242868043,0.6392017230391502,76,5,16,16,False,
autsl,val,signer25_sample536_color,data/AUTSL_data/val/signer25_sample536_color.mp4,3,16,100,16,24,False,False,0.14707748591899872,0.01704998896457255,0.0012705651242868043,0.6169715740252286,61,4,16,16,False,
autsl,val,signer1_sample709_color,data/AUTSL_data/val/signer1_sample709_color.mp4,3,16,100,16,33,False,False,0.042485613375902176,0.020905081182718277,0.0012705651242868043,0.598476056009531,68,5,16,16,False,
autsl,val,signer11_sample341_color,data/AUTSL_data/val/signer11_sample341_color.mp4,3,16,100,16,127,False,False,0.2227085679769516,0.014390239026397467,0.0012705651242868043,0.5763803599402308,43,3,16,16,False,
autsl,val,signer35_sample119_color,data/AUTSL_data/val/signer35_sample119_color.mp4,3,16,100,16,164,False,False,0.09489431977272034,0.02050165319815278,0.0012705651242868043,0.5601695380173624,78,5,16,16,False,
autsl,val,signer1_sample68_color,data/AUTSL_data/val/signer1_sample68_color.mp4,3,16,100,16,33,False,False,0.027765600010752678,0.01996663981117308,0.0012705651242868043,0.5378272251691669,68,5,16,16,False,
autsl,val,signer1_sample118_color,data/AUTSL_data/val/signer1_sample118_color.mp4,3,16,100,16,4,False,False,0.015309711918234825,0.017653471790254116,0.0012705651242868043,0.5167004819959402,63,4,16,16,False,
autsl,val,signer16_sample14_color,data/AUTSL_data/val/signer16_sample14_color.mp4,3,16,100,16,33,False,False,0.035308048129081726,0.021041817031800747,0.0012705651242868043,0.49727845401503146,73,5,16,16,False,
autsl,val,signer35_sample554_color,data/AUTSL_data/val/signer35_sample554_color.mp4,3,16,100,16,101,False,False,0.058700405061244965,0.019765208940953016,0.0012705651242868043,0.47416106006130576,73,5,16,16,False,
autsl,val,signer25_sample92_color,data/AUTSL_data/val/signer25_sample92_color.mp4,3,16,100,16,182,False,False,0.21583689749240875,0.016889763064682484,0.0012705651242868043,0.45270339003764093,59,4,16,16,False,
autsl,val,signer18_sample268_color,data/AUTSL_data/val/signer18_sample268_color.mp4,4,16,100,16,33,False,False,0.09245278686285019,0.019969630986452103,0.0012705651242868043,0.43376008002087474,65,5,16,16,False,
autsl,val,signer16_sample77_color,data/AUTSL_data/val/signer16_sample77_color.mp4,4,16,100,16,71,False,False,0.012259423732757568,0.01891238894313574,0.0012705651242868043,0.4121307269670069,64,4,16,16,False,
autsl,val,signer35_sample501_color,data/AUTSL_data/val/signer35_sample501_color.mp4,4,16,100,16,101,False,False,0.18789933621883392,0.024260833160951734,0.0012705651242868043,0.3915415338706225,82,6,16,16,False,
autsl,val,signer35_sample93_color,data/AUTSL_data/val/signer35_sample93_color.mp4,4,16,100,16,127,False,False,0.1850428730249405,0.020476721925660968,0.0012705651242868043,0.3658710368908942,80,5,16,16,False,
autsl,val,signer11_sample544_color,data/AUTSL_data/val/signer11_sample544_color.mp4,4,16,100,16,127,False,False,0.2752194404602051,0.015104260994121432,0.0012705651242868043,0.3437348701991141,48,3,16,16,False,
