coverage,stride,top1,n
10,1,0.0081484834766862,4418
10,2,0.0040742417383431,4418
10,4,0.0038478949751018,4418
10,8,0.0047532820280669,4418
10,16,0.0047532820280669,4418
25,1,0.0325939339067451,4418
25,2,0.0285196921684019,4418
25,4,0.0181077410593028,4418
25,8,0.0083748302399275,4418
25,16,0.0061113626075147,4418
50,1,0.2127659574468085,4418
50,2,0.2317790855590765,4418
50,4,0.2277048438207333,4418
50,8,0.0751471253961068,4418
50,16,0.0242191036668175,4418
75,1,0.538026256224536,4418
75,2,0.5233137166138524,4418
75,4,0.5593028519692168,4418
75,8,0.211634223630602,4418
75,16,0.0509280217292892,4418
100,1,0.6951109099139883,4418
100,2,0.6905839746491625,4418
100,4,0.6242643730194658,4418
100,8,0.2469443186962426,4418
100,16,0.0522861023087369,4418
