dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
diving48,val,Le6xdQ2OO8w_00124,data/Diving48_data/videos/Le6xdQ2OO8w_00124.mp4,0,16,100,16,31,False,False,0.2645864486694336,0.045178544940426946,0.0014014706248417497,1.3769079430494457,106,7,16,16,False,
diving48,val,bl0C6d9QgIg_00021,data/Diving48_data/videos/bl0C6d9QgIg_00021.mp4,0,16,100,16,19,False,False,0.15363964438438416,0.026711608981713653,0.0014014706248417497,1.3297103939112276,51,4,16,16,False,
diving48,val,mGRum47TLX0_00045,data/Diving48_data/videos/mGRum47TLX0_00045.mp4,0,16,100,16,8,False,True,0.5116205215454102,0.07534425100311637,0.0014014706248417497,1.3014504530001432,211,14,16,16,False,
diving48,val,L_SB1PRgDTE_00029,data/Diving48_data/videos/L_SB1PRgDTE_00029.mp4,0,16,100,16,34,False,True,0.29294857382774353,0.042600186076015234,0.0014014706248417497,1.2244935829658061,87,6,16,16,False,
diving48,val,Le6xdQ2OO8w_00154,data/Diving48_data/videos/Le6xdQ2OO8w_00154.mp4,0,16,100,16,1,False,True,0.8027199506759644,0.0633631160017103,0.0014014706248417497,1.1802778060082346,113,8,16,16,False,
diving48,val,Le6xdQ2OO8w_00127,data/Diving48_data/videos/Le6xdQ2OO8w_00127.mp4,0,16,100,16,15,False,False,0.9744107723236084,0.051051801070570946,0.0014014706248417497,1.1152036749990657,161,11,16,16,False,
diving48,val,Le6xdQ2OO8w_00121,data/Diving48_data/videos/Le6xdQ2OO8w_00121.mp4,0,16,100,16,31,False,True,0.3217768669128418,0.04129026900045574,0.0014014706248417497,1.0620828249957412,110,7,16,16,False,
diving48,val,Le6xdQ2OO8w_00119,data/Diving48_data/videos/Le6xdQ2OO8w_00119.mp4,0,16,100,16,32,False,False,0.38250458240509033,0.043016221025027335,0.0014014706248417497,1.0179939980152994,130,9,16,16,False,
diving48,val,bSsVWVfYU4w_00118,data/Diving48_data/videos/bSsVWVfYU4w_00118.mp4,0,16,100,16,15,False,False,0.4988195300102234,0.03852134197950363,0.0014014706248417497,0.9727746810531244,151,10,16,16,False,
diving48,val,bl0C6d9QgIg_00022,data/Diving48_data/videos/bl0C6d9QgIg_00022.mp4,0,16,100,16,19,False,False,0.5126597881317139,0.02864674397278577,0.0014014706248417497,0.9328287140233442,96,6,16,16,False,
diving48,val,bl0C6d9QgIg_00017,data/Diving48_data/videos/bl0C6d9QgIg_00017.mp4,0,16,100,16,24,False,False,0.5332999229431152,0.06391149200499058,0.0014014706248417497,0.9028035990195349,250,16,16,16,False,
diving48,val,bl0C6d9QgIg_00023,data/Diving48_data/videos/bl0C6d9QgIg_00023.mp4,0,16,100,16,19,False,False,0.7735971212387085,0.038960364065133035,0.0014014706248417497,0.8372691300464794,90,6,16,16,False,
diving48,val,bSsVWVfYU4w_00086,data/Diving48_data/videos/bSsVWVfYU4w_00086.mp4,0,16,100,16,19,False,False,0.4451911151409149,0.025212330045178533,0.0014014706248417497,0.7961916730273515,53,4,16,16,False,
diving48,val,bSsVWVfYU4w_00169,data/Diving48_data/videos/bSsVWVfYU4w_00169.mp4,0,16,100,16,19,False,True,0.4332974851131439,0.039891783031634986,0.0014014706248417497,0.7695866730064154,141,9,16,16,False,
diving48,val,MbzIpx8kAD0_00025,data/Diving48_data/videos/MbzIpx8kAD0_00025.mp4,0,16,100,16,19,False,False,0.6734089851379395,0.029819257091730833,0.0014014706248417497,0.7278389430139214,96,6,16,16,False,
diving48,val,ovWCmIMMkRI_00055,data/Diving48_data/videos/ovWCmIMMkRI_00055.mp4,0,16,100,16,19,False,False,0.8670157790184021,0.027534011052921414,0.0014014706248417497,0.6966405650600791,88,6,16,16,False,
diving48,val,Le6xdQ2OO8w_00139,data/Diving48_data/videos/Le6xdQ2OO8w_00139.mp4,0,16,100,16,34,False,False,0.9752374291419983,0.04956840700469911,0.0014014706248417497,0.6673690429888666,150,10,16,16,False,
diving48,val,Le6xdQ2OO8w_00160,data/Diving48_data/videos/Le6xdQ2OO8w_00160.mp4,0,16,100,16,21,False,False,0.6814031600952148,0.03368046798277646,0.0014014706248417497,0.6159270469797775,105,7,16,16,False,
diving48,val,Le6xdQ2OO8w_00120,data/Diving48_data/videos/Le6xdQ2OO8w_00120.mp4,0,16,100,16,0,True,True,0.3503856956958771,0.03731111902743578,0.0014014706248417497,0.5804073840845376,96,6,16,16,False,
diving48,val,zmacW6f2Tdk_00048,data/Diving48_data/videos/zmacW6f2Tdk_00048.mp4,0,16,100,16,19,False,False,0.4851032495498657,0.02832931699231267,0.0014014706248417497,0.5413537169806659,93,6,16,16,False,
diving48,val,cs8g1es4vfM_00034,data/Diving48_data/videos/cs8g1es4vfM_00034.mp4,1,16,100,16,36,False,False,0.35319098830223083,0.027988064917735755,0.0014014706248417497,0.5112509620375931,64,4,16,16,False,
diving48,val,cs8g1es4vfM_00043,data/Diving48_data/videos/cs8g1es4vfM_00043.mp4,1,16,100,16,29,False,False,0.4047982096672058,0.027740319026634097,0.0014014706248417497,0.48157893295865506,93,6,16,16,False,
diving48,val,CVAfPfVFulQ_00076,data/Diving48_data/videos/CVAfPfVFulQ_00076.mp4,1,16,100,16,20,False,False,0.6281331777572632,0.03637866897042841,0.0014014706248417497,0.4520626870216802,92,6,16,16,False,
diving48,val,yHo2oERGo7A_00056,data/Diving48_data/videos/yHo2oERGo7A_00056.mp4,1,16,100,16,1,True,True,0.9453260898590088,0.04254127200692892,0.0014014706248417497,0.41416899708565325,122,8,16,16,False,
diving48,val,ovWCmIMMkRI_00058,data/Diving48_data/videos/ovWCmIMMkRI_00058.mp4,1,16,100,16,19,False,False,0.6125969290733337,0.03202732000499964,0.0014014706248417497,0.369657903094776,105,7,16,16,False,
diving48,val,yHo2oERGo7A_00058,data/Diving48_data/videos/yHo2oERGo7A_00058.mp4,1,16,100,16,21,False,False,0.3508148789405823,0.030474514001980424,0.0014014706248417497,0.3351645959774032,94,6,16,16,False,
diving48,val,cs8g1es4vfM_00056,data/Diving48_data/videos/cs8g1es4vfM_00056.mp4,1,16,100,16,34,False,False,0.8114038705825806,0.028883225983008742,0.0014014706248417497,0.3027521859621629,102,7,16,16,False,
diving48,val,SbzcCzXjYSU_00049,data/Diving48_data/videos/SbzcCzXjYSU_00049.mp4,1,16,100,16,19,False,False,0.27195632457733154,0.038139845011755824,0.0014014706248417497,0.2723218749742955,87,6,16,16,False,
diving48,val,cs8g1es4vfM_00010,data/Diving48_data/videos/cs8g1es4vfM_00010.mp4,1,16,100,16,31,False,False,0.27587461471557617,0.03270385006908327,0.0014014706248417497,0.2325891910586506,77,5,16,16,False,
diving48,val,ovWCmIMMkRI_00034,data/Diving48_data/videos/ovWCmIMMkRI_00034.mp4,1,16,100,16,36,False,True,0.3680030107498169,0.029547609039582312,0.0014014706248417497,0.19771776406560093,92,6,16,16,False,
diving48,val,yHo2oERGo7A_00057,data/Diving48_data/videos/yHo2oERGo7A_00057.mp4,1,16,100,16,1,True,True,0.31213587522506714,0.030845233937725425,0.0014014706248417497,0.1665174070512876,102,7,16,16,False,
diving48,val,SbzcCzXjYSU_00056,data/Diving48_data/videos/SbzcCzXjYSU_00056.mp4,1,16,100,16,19,False,False,0.24153463542461395,0.05996272398624569,0.0014014706248417497,0.13412632094696164,109,7,16,16,False,
diving48,val,jMEYIEYkpY0_00103,data/Diving48_data/videos/jMEYIEYkpY0_00103.mp4,1,16,100,16,1,True,True,0.6591253280639648,0.044427120010368526,0.0013508658448699862,1.3869171109981835,140,9,16,16,False,
diving48,val,ovWCmIMMkRI_00033,data/Diving48_data/videos/ovWCmIMMkRI_00033.mp4,1,16,100,16,19,False,False,0.444825679063797,0.0330121701117605,0.0013508658448699862,1.3410941789625213,72,5,16,16,False,
diving48,val,ovWCmIMMkRI_00057,data/Diving48_data/videos/ovWCmIMMkRI_00057.mp4,1,16,100,16,25,False,False,0.6973333358764648,0.037343260017223656,0.0013508658448699862,1.3065540089737624,102,7,16,16,False,
diving48,val,MbzIpx8kAD0_00065,data/Diving48_data/videos/MbzIpx8kAD0_00065.mp4,1,16,100,16,15,False,True,0.6498218178749084,0.0499420320848003,0.0013508658448699862,1.2676794739672914,164,11,16,16,False,
diving48,val,cs8g1es4vfM_00033,data/Diving48_data/videos/cs8g1es4vfM_00033.mp4,1,16,100,16,31,False,False,0.18449363112449646,0.030306881992146373,0.0013508658448699862,1.2159380019875243,99,7,16,16,False,
diving48,val,cs8g1es4vfM_00032,data/Diving48_data/videos/cs8g1es4vfM_00032.mp4,1,16,100,16,36,False,False,0.5624942779541016,0.044659840990789235,0.0013508658448699862,1.1839349910151213,155,10,16,16,False,
diving48,val,ovWCmIMMkRI_00056,data/Diving48_data/videos/ovWCmIMMkRI_00056.mp4,1,16,100,16,8,False,False,0.3484777510166168,0.04010215005837381,0.0013508658448699862,1.1369949060026556,90,6,16,16,False,
diving48,val,yHo2oERGo7A_00088,data/Diving48_data/videos/yHo2oERGo7A_00088.mp4,1,16,100,16,36,False,True,0.3135415017604828,0.04032568703405559,0.0013508658448699862,1.094972736085765,114,8,16,16,False,
diving48,val,zmacW6f2Tdk_00058,data/Diving48_data/videos/zmacW6f2Tdk_00058.mp4,2,16,100,16,5,False,False,0.3338731527328491,0.03237720299512148,0.0013508658448699862,1.052868430968374,126,8,16,16,False,
diving48,val,rRw7peH60Yw_00032,data/Diving48_data/videos/rRw7peH60Yw_00032.mp4,2,16,100,16,31,False,False,0.3631701171398163,0.05919225001707673,0.0013508658448699862,1.0185073009924963,128,8,16,16,False,
diving48,val,zmacW6f2Tdk_00057,data/Diving48_data/videos/zmacW6f2Tdk_00057.mp4,2,16,100,16,0,False,False,0.5112605094909668,0.05269535898696631,0.0013508658448699862,0.9571653120219707,127,8,16,16,False,
diving48,val,Le6xdQ2OO8w_00215,data/Diving48_data/videos/Le6xdQ2OO8w_00215.mp4,3,16,100,16,35,False,False,0.30832231044769287,0.03291778196580708,0.0013508658448699862,0.9030719150323421,70,5,16,16,False,
diving48,val,Le6xdQ2OO8w_00201,data/Diving48_data/videos/Le6xdQ2OO8w_00201.mp4,3,16,100,16,15,False,False,0.505020022392273,0.050306156976148486,0.0013508658448699862,0.8686273449566215,133,9,16,16,False,
diving48,val,zmacW6f2Tdk_00039,data/Diving48_data/videos/zmacW6f2Tdk_00039.mp4,3,16,100,16,19,False,False,0.4240935146808624,0.042757601011544466,0.0013508658448699862,0.8169227279722691,96,6,16,16,False,
diving48,val,Jud-06v5Ghw_00001,data/Diving48_data/videos/Jud-06v5Ghw_00001.mp4,3,16,100,16,46,False,True,0.2794073820114136,0.03648218291345984,0.0013508658448699862,0.7724662619875744,115,8,16,16,False,
diving48,val,Le6xdQ2OO8w_00249,data/Diving48_data/videos/Le6xdQ2OO8w_00249.mp4,3,16,100,16,15,False,False,0.3930544853210449,0.040027201059274375,0.0013508658448699862,0.7342028960119933,86,6,16,16,False,
diving48,val,Le6xdQ2OO8w_00256,data/Diving48_data/videos/Le6xdQ2OO8w_00256.mp4,3,16,100,16,19,False,True,0.406017005443573,0.03403740597423166,0.0013508658448699862,0.692406891961582,60,4,16,16,False,
diving48,val,jMEYIEYkpY0_00031,data/Diving48_data/videos/jMEYIEYkpY0_00031.mp4,3,16,100,16,31,False,True,0.38451266288757324,0.03582604101393372,0.0013508658448699862,0.6564951750915498,117,8,16,16,False,
diving48,val,Le6xdQ2OO8w_00202,data/Diving48_data/videos/Le6xdQ2OO8w_00202.mp4,3,16,100,16,15,False,False,0.7257246971130371,0.0417587470728904,0.0013508658448699862,0.6190119739621878,105,7,16,16,False,
diving48,val,CVAfPfVFulQ_00079,data/Diving48_data/videos/CVAfPfVFulQ_00079.mp4,3,16,100,16,4,False,True,0.3235064446926117,0.023072827025316656,0.0013508658448699862,0.5755315059795976,41,3,16,16,False,
diving48,val,CVAfPfVFulQ_00084,data/Diving48_data/videos/CVAfPfVFulQ_00084.mp4,3,16,100,16,8,False,False,0.1753661334514618,0.03132215607911348,0.0013508658448699862,0.5505258660996333,71,5,16,16,False,
diving48,val,yHo2oERGo7A_00006,data/Diving48_data/videos/yHo2oERGo7A_00006.mp4,3,16,100,16,21,False,False,0.7136020064353943,0.024490279029123485,0.0013508658448699862,0.5175990170100704,61,4,16,16,False,
diving48,val,SbzcCzXjYSU_00020,data/Diving48_data/videos/SbzcCzXjYSU_00020.mp4,3,16,100,16,19,False,False,0.38205817341804504,0.025479867006652057,0.0013508658448699862,0.49117343104444444,62,4,16,16,False,
diving48,val,jMEYIEYkpY0_00030,data/Diving48_data/videos/jMEYIEYkpY0_00030.mp4,3,16,100,16,20,False,False,0.3410176932811737,0.03377442201599479,0.0013508658448699862,0.4636424200143665,113,8,16,16,False,
diving48,val,Le6xdQ2OO8w_00172,data/Diving48_data/videos/Le6xdQ2OO8w_00172.mp4,3,16,100,16,15,False,False,0.9929231405258179,0.042044461937621236,0.0013508658448699862,0.4280355960363522,105,7,16,16,False,
diving48,val,Le6xdQ2OO8w_00228,data/Diving48_data/videos/Le6xdQ2OO8w_00228.mp4,3,16,100,16,21,False,False,0.816929042339325,0.0357972999336198,0.0013508658448699862,0.384275887045078,76,5,16,16,False,
diving48,val,roFeEJPgJD8_00038,data/Diving48_data/videos/roFeEJPgJD8_00038.mp4,3,16,100,16,8,False,False,0.9175603985786438,0.03416655398905277,0.0013508658448699862,0.34623574395664036,79,5,16,16,False,
diving48,val,jMEYIEYkpY0_00029,data/Diving48_data/videos/jMEYIEYkpY0_00029.mp4,3,16,100,16,31,False,False,0.39014944434165955,0.05930698593147099,0.0013508658448699862,0.3104230189928785,189,12,16,16,False,
diving48,val,Le6xdQ2OO8w_00226,data/Diving48_data/videos/Le6xdQ2OO8w_00226.mp4,3,16,100,16,19,False,False,0.7165289521217346,0.05058947904035449,0.0013508658448699862,0.24892808601725847,98,7,16,16,False,
diving48,val,zmacW6f2Tdk_00040,data/Diving48_data/videos/zmacW6f2Tdk_00040.mp4,3,16,100,16,19,False,False,0.3686380386352539,0.03491120703984052,0.0013508658448699862,0.1967872070381418,131,9,16,16,False,
diving48,val,Le6xdQ2OO8w_00229,data/Diving48_data/videos/Le6xdQ2OO8w_00229.mp4,3,16,100,16,21,False,False,0.5959857702255249,0.047554638935253024,0.0013508658448699862,0.16021464997902513,109,7,16,16,False,
diving48,val,CVAfPfVFulQ_00080,data/Diving48_data/videos/CVAfPfVFulQ_00080.mp4,4,16,100,16,19,False,False,0.6865915060043335,0.03078605409245938,0.0013508658448699862,0.11050331895239651,65,5,16,16,False,
diving48,val,Le6xdQ2OO8w_00234,data/Diving48_data/videos/Le6xdQ2OO8w_00234.mp4,4,16,100,16,7,False,False,0.9877597689628601,0.06542483903467655,0.0014005733428348321,1.420334598980844,203,13,16,16,False,
diving48,val,Le6xdQ2OO8w_00194,data/Diving48_data/videos/Le6xdQ2OO8w_00194.mp4,4,16,100,16,31,False,False,0.725337028503418,0.05047394102439284,0.0014005733428348321,1.3513351699803025,122,8,16,16,False,
diving48,val,CVAfPfVFulQ_00063,data/Diving48_data/videos/CVAfPfVFulQ_00063.mp4,4,16,100,16,4,True,True,0.6769715547561646,0.03663575206883252,0.0014005733428348321,1.298781777964905,124,8,16,16,False,
diving48,val,bSsVWVfYU4w_00126,data/Diving48_data/videos/bSsVWVfYU4w_00126.mp4,4,16,100,16,19,False,True,0.5583871603012085,0.03935789596289396,0.0014005733428348321,1.260489286039956,152,10,16,16,False,
diving48,val,MbzIpx8kAD0_00057,data/Diving48_data/videos/MbzIpx8kAD0_00057.mp4,4,16,100,16,4,True,True,0.9448684453964233,0.04060955508612096,0.0014005733428348321,1.219301808043383,137,9,16,16,False,
diving48,val,Le6xdQ2OO8w_00235,data/Diving48_data/videos/Le6xdQ2OO8w_00235.mp4,4,16,100,16,0,False,False,0.7115236520767212,0.062085469951853156,0.0014005733428348321,1.1764823469566181,183,12,16,16,False,
diving48,val,Le6xdQ2OO8w_00248,data/Diving48_data/videos/Le6xdQ2OO8w_00248.mp4,4,16,100,16,0,False,False,0.19286960363388062,0.046864862903021276,0.0014005733428348321,1.1129018840147182,101,7,16,16,False,
