coverage,stride,top1,n
10,1,0.1127450980392156,1020
10,2,0.1098039215686274,1020
10,4,0.1039215686274509,1020
10,8,0.0862745098039215,1020
10,16,0.0803921568627451,1020
25,1,0.1823529411764705,1020
25,2,0.1784313725490196,1020
25,4,0.1686274509803921,1020
25,8,0.1450980392156863,1020
25,16,0.1137254901960784,1020
50,1,0.2637254901960784,1020
50,2,0.2539215686274509,1020
50,4,0.234313725490196,1020
50,8,0.2068627450980392,1020
50,16,0.1627450980392157,1020
75,1,0.3274509803921568,1020
75,2,0.3235294117647059,1020
75,4,0.296078431372549,1020
75,8,0.2549019607843137,1020
75,16,0.2019607843137255,1020
100,1,0.3509803921568627,1020
100,2,0.3450980392156862,1020
100,4,0.3274509803921568,1020
100,8,0.2794117647058823,1020
100,16,0.2196078431372549,1020
