coverage,stride,top1,n,model,dataset
10,1,0.5028248587570622,885,r3d_18,hmdb51
10,2,0.4813559322033898,885,r3d_18,hmdb51
10,4,0.4519774011299435,885,r3d_18,hmdb51
10,8,0.4022598870056497,885,r3d_18,hmdb51
10,16,0.3819209039548022,885,r3d_18,hmdb51
25,1,0.6372881355932203,885,r3d_18,hmdb51
25,2,0.6124293785310735,885,r3d_18,hmdb51
25,4,0.5672316384180791,885,r3d_18,hmdb51
25,8,0.4994350282485876,885,r3d_18,hmdb51
25,16,0.4519774011299435,885,r3d_18,hmdb51
50,1,0.7107344632768362,885,r3d_18,hmdb51
50,2,0.7175141242937854,885,r3d_18,hmdb51
50,4,0.6779661016949152,885,r3d_18,hmdb51
50,8,0.5887005649717514,885,r3d_18,hmdb51
50,16,0.496045197740113,885,r3d_18,hmdb51
75,1,0.7875706214689265,885,r3d_18,hmdb51
75,2,0.7796610169491526,885,r3d_18,hmdb51
75,4,0.7536723163841808,885,r3d_18,hmdb51
75,8,0.672316384180791,885,r3d_18,hmdb51
75,16,0.5649717514124294,885,r3d_18,hmdb51
100,1,0.8033898305084746,885,r3d_18,hmdb51
100,2,0.792090395480226,885,r3d_18,hmdb51
100,4,0.7830508474576271,885,r3d_18,hmdb51
100,8,0.7028248587570621,885,r3d_18,hmdb51
100,16,0.592090395480226,885,r3d_18,hmdb51
