coverage,stride,top1,n,model,dataset
10,1,0.0297344110854503,3464,r3d_18,ssv2
10,2,0.0277136258660508,3464,r3d_18,ssv2
10,4,0.022806004618937645,3464,r3d_18,ssv2
10,8,0.021362586605080832,3464,r3d_18,ssv2
10,16,0.021362586605080832,3464,r3d_18,ssv2
25,1,0.07072748267898384,3464,r3d_18,ssv2
25,2,0.05340646651270208,3464,r3d_18,ssv2
25,4,0.037528868360277134,3464,r3d_18,ssv2
25,8,0.027136258660508082,3464,r3d_18,ssv2
25,16,0.021939953810623556,3464,r3d_18,ssv2
50,1,0.17231392991601505,3453,r3d_18,ssv2
50,2,0.16994788650839607,3454,r3d_18,ssv2
50,4,0.0934336129592132,3457,r3d_18,ssv2
50,8,0.05669655770899624,3457,r3d_18,ssv2
50,16,0.033198614318706694,3464,r3d_18,ssv2
75,1,0.2725118483412322,3376,r3d_18,ssv2
75,2,0.261101243339254,3378,r3d_18,ssv2
75,4,0.19751626256652868,3382,r3d_18,ssv2
75,8,0.09323529411764706,3400,r3d_18,ssv2
75,16,0.04964953271028037,3424,r3d_18,ssv2
100,1,0.30259541984732824,3275,r3d_18,ssv2
100,2,0.29713239780353873,3278,r3d_18,ssv2
100,4,0.24391727493917276,3288,r3d_18,ssv2
100,8,0.11464968152866242,3297,r3d_18,ssv2
100,16,0.05942376950780312,3332,r3d_18,ssv2
