coverage,stride,top1,n,model,dataset
10,1,0.16881188118811882,2020,r3d_18,ucf101
10,2,0.15742574257425743,2020,r3d_18,ucf101
10,4,0.13267326732673268,2020,r3d_18,ucf101
10,8,0.1099009900990099,2020,r3d_18,ucf101
10,16,0.0900990099009901,2020,r3d_18,ucf101
25,1,0.24257425742574257,2020,r3d_18,ucf101
25,2,0.2311881188118812,2020,r3d_18,ucf101
25,4,0.20396039603960395,2020,r3d_18,ucf101
25,8,0.15841584158415842,2020,r3d_18,ucf101
25,16,0.11336633663366337,2020,r3d_18,ucf101
50,1,0.27970297029702973,2020,r3d_18,ucf101
50,2,0.28465346534653463,2020,r3d_18,ucf101
50,4,0.2732673267326733,2020,r3d_18,ucf101
50,8,0.23465346534653464,2020,r3d_18,ucf101
50,16,0.16237623762376238,2020,r3d_18,ucf101
75,1,0.31336633663366337,2020,r3d_18,ucf101
75,2,0.3227722772277228,2020,r3d_18,ucf101
75,4,0.31287128712871287,2020,r3d_18,ucf101
75,8,0.2866336633663366,2020,r3d_18,ucf101
75,16,0.21534653465346534,2020,r3d_18,ucf101
100,1,0.32722772277227724,2020,r3d_18,ucf101
100,2,0.3331683168316832,2020,r3d_18,ucf101
100,4,0.3311881188118812,2020,r3d_18,ucf101
100,8,0.3099009900990099,2020,r3d_18,ucf101
100,16,0.25495049504950495,2020,r3d_18,ucf101
