coverage,stride,top1,n,model,dataset
10,1,0.5371287128712872,2020,r3d_18,ucf101
10,2,0.5148514851485149,2020,r3d_18,ucf101
10,4,0.4638613861386139,2020,r3d_18,ucf101
10,8,0.4202970297029703,2020,r3d_18,ucf101
10,16,0.38366336633663367,2020,r3d_18,ucf101
25,1,0.6410891089108911,2020,r3d_18,ucf101
25,2,0.6341584158415842,2020,r3d_18,ucf101
25,4,0.5975247524752475,2020,r3d_18,ucf101
25,8,0.5277227722772277,2020,r3d_18,ucf101
25,16,0.44801980198019803,2020,r3d_18,ucf101
50,1,0.6985148514851485,2020,r3d_18,ucf101
50,2,0.696039603960396,2020,r3d_18,ucf101
50,4,0.6905940594059405,2020,r3d_18,ucf101
50,8,0.6405940594059406,2020,r3d_18,ucf101
50,16,0.5301980198019802,2020,r3d_18,ucf101
75,1,0.7198019801980198,2020,r3d_18,ucf101
75,2,0.7178217821782178,2020,r3d_18,ucf101
75,4,0.7183168316831683,2020,r3d_18,ucf101
75,8,0.6856435643564357,2020,r3d_18,ucf101
75,16,0.6118811881188119,2020,r3d_18,ucf101
100,1,0.7306930693069307,2020,r3d_18,ucf101
100,2,0.7297029702970297,2020,r3d_18,ucf101
100,4,0.7262376237623762,2020,r3d_18,ucf101
100,8,0.7143564356435643,2020,r3d_18,ucf101
100,16,0.6633663366336634,2020,r3d_18,ucf101
