dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
autsl,val,signer1_sample944_color,data/AUTSL_data/val/signer1_sample944_color.mp4,0,32,50,2,144,False,False,0.7661979794502258,0.03848956900765188,0.012690434281466878,1.7696454190008808,57,14,32,32,False,
autsl,val,signer1_sample276_color,data/AUTSL_data/val/signer1_sample276_color.mp4,0,32,50,2,150,False,False,0.7990041375160217,0.0381387889792677,0.012690434281466878,1.728744012012612,65,16,32,32,False,
autsl,val,signer35_sample610_color,data/AUTSL_data/val/signer35_sample610_color.mp4,0,32,50,2,116,False,True,0.7498593330383301,0.03998246599803679,0.012690434281466878,1.6879358110018075,71,18,32,32,False,
autsl,val,signer35_sample390_color,data/AUTSL_data/val/signer35_sample390_color.mp4,0,32,50,2,183,False,True,0.5377933382987976,0.04542147199390456,0.012690434281466878,1.645642275980208,75,19,32,32,False,
autsl,val,signer18_sample539_color,data/AUTSL_data/val/signer18_sample539_color.mp4,0,32,50,2,183,False,True,0.7361897230148315,0.03713736601639539,0.012690434281466878,1.5982034369953908,64,16,32,32,False,
autsl,val,signer1_sample778_color,data/AUTSL_data/val/signer1_sample778_color.mp4,0,32,50,2,0,True,True,0.2943926751613617,0.036180583003442734,0.012690434281466878,1.5590880929958075,63,16,32,32,False,
autsl,val,signer11_sample469_color,data/AUTSL_data/val/signer11_sample469_color.mp4,0,32,50,2,183,False,True,0.32205936312675476,0.030151853017741814,0.012690434281466878,1.5199212839943357,45,11,32,32,False,
autsl,val,signer1_sample319_color,data/AUTSL_data/val/signer1_sample319_color.mp4,0,32,50,2,96,False,False,0.5625154376029968,0.03715896999347024,0.012690434281466878,1.4868415349919815,68,17,32,32,False,
autsl,val,signer11_sample120_color,data/AUTSL_data/val/signer11_sample120_color.mp4,0,32,50,2,116,False,True,0.39007681608200073,0.030931840010453016,0.012690434281466878,1.447510958998464,48,12,32,32,False,
autsl,val,signer25_sample64_color,data/AUTSL_data/val/signer25_sample64_color.mp4,0,32,50,2,86,False,False,0.6059744358062744,0.030988073005573824,0.012690434281466878,1.4136381809948944,46,12,32,32,False,
autsl,val,signer16_sample254_color,data/AUTSL_data/val/signer16_sample254_color.mp4,0,32,50,2,96,False,False,0.5630203485488892,0.03485196200199425,0.012690434281466878,1.3805113830021583,61,15,32,32,False,
autsl,val,signer35_sample286_color,data/AUTSL_data/val/signer35_sample286_color.mp4,0,32,50,2,0,True,True,0.8541306257247925,0.03870285299490206,0.012690434281466878,1.34348039701581,61,15,32,32,False,
autsl,val,signer25_sample285_color,data/AUTSL_data/val/signer25_sample285_color.mp4,0,32,50,2,204,False,False,0.9003727436065674,0.034322032995987684,0.012690434281466878,1.3018609130231198,53,13,32,32,False,
autsl,val,signer18_sample482_color,data/AUTSL_data/val/signer18_sample482_color.mp4,0,32,50,2,183,False,True,0.49373728036880493,0.038472886983072385,0.012690434281466878,1.2652807320118882,67,17,32,32,False,
autsl,val,signer16_sample365_color,data/AUTSL_data/val/signer16_sample365_color.mp4,0,32,50,2,96,False,False,0.6404642462730408,0.036511986021650955,0.012690434281466878,1.224289106001379,58,15,32,32,False,
autsl,val,signer11_sample66_color,data/AUTSL_data/val/signer11_sample66_color.mp4,0,32,50,2,116,False,True,0.8722625970840454,0.030977253016317263,0.012690434281466878,1.184966821980197,49,12,32,32,False,
autsl,val,signer1_sample1090_color,data/AUTSL_data/val/signer1_sample1090_color.mp4,0,32,50,2,150,False,False,0.4807019829750061,0.03540287699433975,0.012690434281466878,1.151063844008604,58,15,32,32,False,
autsl,val,signer18_sample5_color,data/AUTSL_data/val/signer18_sample5_color.mp4,0,32,50,2,183,False,True,0.8568113446235657,0.039099343004636467,0.012690434281466878,1.1127538579748943,72,18,32,32,False,
autsl,val,signer1_sample1094_color,data/AUTSL_data/val/signer1_sample1094_color.mp4,0,32,50,2,150,False,False,0.5249430537223816,0.035598682006821036,0.012690434281466878,1.0712492169986945,61,15,32,32,False,
autsl,val,signer25_sample431_color,data/AUTSL_data/val/signer25_sample431_color.mp4,0,32,50,2,204,False,False,0.8804216384887695,0.03689968399703503,0.012690434281466878,1.0333809040021151,56,14,32,32,False,
autsl,val,signer25_sample372_color,data/AUTSL_data/val/signer25_sample372_color.mp4,1,32,50,2,137,False,False,0.24002359807491302,0.03580464000697248,0.012690434281466878,0.9941345950064715,58,15,32,32,False,
autsl,val,signer18_sample243_color,data/AUTSL_data/val/signer18_sample243_color.mp4,1,32,50,2,209,False,False,0.28319957852363586,0.03553878201637417,0.012690434281466878,0.9554332559928298,55,14,32,32,False,
