coverage,stride,top1,n
10,1,0.0199185151652331,4418
10,2,0.0131281122679945,4418
10,4,0.0122227252150294,4418
10,8,0.0117700316885468,4418
10,16,0.0117700316885468,4418
25,1,0.0740153915799004,4418
25,2,0.0690357627885921,4418
25,4,0.0525124490719782,4418
25,8,0.0337256677229515,4418
25,16,0.0258035310095065,4418
50,1,0.3544590312358533,4418
50,2,0.4705749207786329,4418
50,4,0.3078315980081484,4418
50,8,0.1774558623811679,4418
50,16,0.1143051154368492,4418
75,1,0.641014033499321,4418
75,2,0.6690810321412404,4418
75,4,0.4671797193300135,4418
75,8,0.2437754640108646,4418
75,16,0.1604798551380715,4418
100,1,0.7249886826618379,4418
100,2,0.6894522408329561,4418
100,4,0.3456315074694432,4418
100,8,0.1036668175645088,4418
100,16,0.0502489814395654,4418
