dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
autsl,val,signer1_sample944_color,data/AUTSL_data/val/signer1_sample944_color.mp4,0,32,75,2,4,False,True,0.5968700647354126,0.04306248715147376,0.00105898137553595,1.266792590962723,57,22,32,32,False,
autsl,val,signer1_sample276_color,data/AUTSL_data/val/signer1_sample276_color.mp4,0,32,75,2,146,False,True,0.4438757598400116,0.042564796982333064,0.00105898137553595,1.2218246690463275,65,25,32,32,False,
autsl,val,signer35_sample610_color,data/AUTSL_data/val/signer35_sample610_color.mp4,0,32,75,2,173,False,False,0.7048779129981995,0.04216422513127327,0.00105898137553595,1.1775152371264994,71,27,32,32,False,
autsl,val,signer35_sample390_color,data/AUTSL_data/val/signer35_sample390_color.mp4,0,32,75,2,173,False,False,0.603510320186615,0.04512958298437297,0.00105898137553595,1.1333009370137006,75,28,32,32,False,
autsl,val,signer18_sample539_color,data/AUTSL_data/val/signer18_sample539_color.mp4,0,32,75,2,0,True,True,0.6087737083435059,0.03806256712414324,0.00105898137553595,1.0865416270680726,64,24,32,32,False,
autsl,val,signer1_sample778_color,data/AUTSL_data/val/signer1_sample778_color.mp4,0,32,75,2,146,False,True,0.5512396693229675,0.037781737046316266,0.00105898137553595,1.0468975871335715,63,24,32,32,False,
autsl,val,signer11_sample469_color,data/AUTSL_data/val/signer11_sample469_color.mp4,0,32,75,2,0,True,True,0.25188660621643066,0.029236804926767945,0.00105898137553595,1.0070572111289948,45,17,32,32,False,
autsl,val,signer1_sample319_color,data/AUTSL_data/val/signer1_sample319_color.mp4,0,32,75,2,0,True,True,0.3607078194618225,0.04302668198943138,0.00105898137553595,0.9760789398569614,68,26,32,32,False,
autsl,val,signer11_sample120_color,data/AUTSL_data/val/signer11_sample120_color.mp4,0,32,75,2,86,False,True,0.33933672308921814,0.030298436991870403,0.00105898137553595,0.9314809839706868,48,18,32,32,False,
autsl,val,signer25_sample64_color,data/AUTSL_data/val/signer25_sample64_color.mp4,0,32,75,2,28,False,False,0.38995301723480225,0.029246165184304118,0.00105898137553595,0.8991485480219126,46,17,32,32,False,
autsl,val,signer16_sample254_color,data/AUTSL_data/val/signer16_sample254_color.mp4,0,32,75,2,175,False,False,0.8478317260742188,0.036697405856102705,0.00105898137553595,0.8681804991792887,61,23,32,32,False,
