coverage,stride,top1,n
10,1,0.0417227456258411,743
10,2,0.0390309555854643,743
10,4,0.0403768506056527,743
10,8,0.0417227456258411,743
10,16,0.0457604306864064,743
25,1,0.034993270524899,743
25,2,0.0403768506056527,743
25,4,0.0417227456258411,743
25,8,0.0497981157469717,743
25,16,0.0457604306864064,743
50,1,0.0417227456258411,743
50,2,0.0471063257065948,743
50,4,0.0511440107671601,743
50,8,0.0417227456258411,743
50,16,0.0403768506056527,743
75,1,0.0740242261103634,743
75,2,0.0551816958277254,743
75,4,0.063257065948856,743
75,8,0.0417227456258411,743
75,16,0.0309555854643337,743
100,1,0.0619111709286675,743
100,2,0.0874831763122476,743
100,4,0.0646029609690444,743
100,8,0.0457604306864064,743
100,16,0.0390309555854643,743
