coverage,stride,top1,n,model,dataset
10,1,0.421875,448,slowfast_r50,driveact
10,2,0.39732142857142855,448,slowfast_r50,driveact
10,4,0.38839285714285715,448,slowfast_r50,driveact
10,8,0.38169642857142855,448,slowfast_r50,driveact
10,16,0.38169642857142855,448,slowfast_r50,driveact
25,1,0.5200892857142857,448,slowfast_r50,driveact
25,2,0.4419642857142857,448,slowfast_r50,driveact
25,4,0.39732142857142855,448,slowfast_r50,driveact
25,8,0.39285714285714285,448,slowfast_r50,driveact
25,16,0.38169642857142855,448,slowfast_r50,driveact
50,1,0.6071428571428571,448,slowfast_r50,driveact
50,2,0.546875,448,slowfast_r50,driveact
50,4,0.46205357142857145,448,slowfast_r50,driveact
50,8,0.4174107142857143,448,slowfast_r50,driveact
50,16,0.4107142857142857,448,slowfast_r50,driveact
75,1,0.7120535714285714,448,slowfast_r50,driveact
75,2,0.6495535714285714,448,slowfast_r50,driveact
75,4,0.5491071428571429,448,slowfast_r50,driveact
75,8,0.453125,448,slowfast_r50,driveact
75,16,0.43080357142857145,448,slowfast_r50,driveact
100,1,0.7477678571428571,448,slowfast_r50,driveact
100,2,0.7142857142857143,448,slowfast_r50,driveact
100,4,0.59375,448,slowfast_r50,driveact
100,8,0.49107142857142855,448,slowfast_r50,driveact
100,16,0.43973214285714285,448,slowfast_r50,driveact
