coverage,stride,top1,n,model,dataset
10,1,0.09901960784313725,1020,slowfast_r50,epic_kitchens
10,2,0.09509803921568627,1020,slowfast_r50,epic_kitchens
10,4,0.08823529411764706,1020,slowfast_r50,epic_kitchens
10,8,0.061764705882352944,1020,slowfast_r50,epic_kitchens
10,16,0.049019607843137254,1020,slowfast_r50,epic_kitchens
25,1,0.16862745098039217,1020,slowfast_r50,epic_kitchens
25,2,0.16470588235294117,1020,slowfast_r50,epic_kitchens
25,4,0.13823529411764707,1020,slowfast_r50,epic_kitchens
25,8,0.10490196078431373,1020,slowfast_r50,epic_kitchens
25,16,0.07745098039215687,1020,slowfast_r50,epic_kitchens
50,1,0.246078431372549,1020,slowfast_r50,epic_kitchens
50,2,0.23921568627450981,1020,slowfast_r50,epic_kitchens
50,4,0.22058823529411764,1020,slowfast_r50,epic_kitchens
50,8,0.16372549019607843,1020,slowfast_r50,epic_kitchens
50,16,0.11372549019607843,1020,slowfast_r50,epic_kitchens
75,1,0.2950980392156863,1020,slowfast_r50,epic_kitchens
75,2,0.296078431372549,1020,slowfast_r50,epic_kitchens
75,4,0.2607843137254902,1020,slowfast_r50,epic_kitchens
75,8,0.20490196078431372,1020,slowfast_r50,epic_kitchens
75,16,0.14411764705882352,1020,slowfast_r50,epic_kitchens
100,1,0.3127450980392157,1020,slowfast_r50,epic_kitchens
100,2,0.3107843137254902,1020,slowfast_r50,epic_kitchens
100,4,0.2725490196078431,1020,slowfast_r50,epic_kitchens
100,8,0.21274509803921568,1020,slowfast_r50,epic_kitchens
100,16,0.15980392156862744,1020,slowfast_r50,epic_kitchens
