dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
epic_kitchens,val,P26_107_7,data/EPIC_data/clips/P26/P26_107_7.mp4,0,32,75,16,6,False,False,0.7688405513763428,0.0529449509922415,0.005841605656314641,1.8092528581619263,154,8,32,32,False,
epic_kitchens,val,P03_101_188,data/EPIC_data/clips/P03/P03_101_188.mp4,0,32,75,16,55,False,False,0.2098618894815445,0.21560879121534526,0.005841605656314641,1.7540210059378296,942,32,32,32,False,
epic_kitchens,val,P04_113_291,data/EPIC_data/clips/P04/P04_113_291.mp4,0,32,75,16,59,False,False,0.42747223377227783,0.03010220010764897,0.005841605656314641,1.534735303139314,27,2,32,32,False,
epic_kitchens,val,P01_105_229,data/EPIC_data/clips/P01/P01_105_229.mp4,0,32,75,16,1,False,False,0.8284838199615479,0.03030198300257325,0.005841605656314641,1.5029281158931553,31,2,32,32,False,
epic_kitchens,val,P22_103_180,data/EPIC_data/clips/P22/P22_103_180.mp4,0,32,75,16,1,False,True,0.5488748550415039,0.035070365061983466,0.005841605656314641,1.4710800969041884,64,3,32,32,False,
epic_kitchens,val,P26_108_5,data/EPIC_data/clips/P26/P26_108_5.mp4,0,32,75,16,23,False,False,0.19764022529125214,0.06214116094633937,0.005841605656314641,1.4332807529717684,231,11,32,32,False,
epic_kitchens,val,P35_108_238,data/EPIC_data/clips/P35/P35_108_238.mp4,0,32,75,16,1,False,True,0.5080241560935974,0.03910917299799621,0.005841605656314641,1.367341314908117,51,3,32,32,False,
epic_kitchens,val,P03_101_33,data/EPIC_data/clips/P03/P03_101_33.mp4,0,32,75,16,59,False,False,0.3951414227485657,0.032920944038778543,0.005841605656314641,1.325459836050868,55,3,32,32,False,
epic_kitchens,val,P35_104_290,data/EPIC_data/clips/P35/P35_104_290.mp4,0,32,75,16,1,False,True,0.4245123267173767,0.035018842900171876,0.005841605656314641,1.2902347689960152,51,3,32,32,False,
epic_kitchens,val,P30_111_263,data/EPIC_data/clips/P30/P30_111_263.mp4,0,32,75,16,59,False,True,0.403180330991745,0.029583744006231427,0.005841605656314641,1.2533666579984128,30,2,32,32,False,
epic_kitchens,val,P12_105_39,data/EPIC_data/clips/P12/P12_105_39.mp4,0,32,75,16,1,False,True,0.4296853542327881,0.051540296990424395,0.005841605656314641,1.2221619561314583,133,7,32,32,False,
epic_kitchens,val,P30_107_239,data/EPIC_data/clips/P30/P30_107_239.mp4,0,32,75,16,1,False,True,0.6374496817588806,0.0404590480029583,0.005841605656314641,1.1673610911238939,39,2,32,32,False,
epic_kitchens,val,P35_107_238,data/EPIC_data/clips/P35/P35_107_238.mp4,0,32,75,16,1,False,True,0.38135185837745667,0.0403983190190047,0.005841605656314641,1.1239897080231458,63,3,32,32,False,
epic_kitchens,val,P27_101_37,data/EPIC_data/clips/P27/P27_101_37.mp4,0,32,75,16,1,False,False,0.6487744450569153,0.03752706293016672,0.005841605656314641,1.0806830748915672,58,3,32,32,False,
epic_kitchens,val,P22_109_45,data/EPIC_data/clips/P22/P22_109_45.mp4,0,32,75,16,4,False,False,0.34315556287765503,0.035181881161406636,0.005841605656314641,1.0411732448264956,45,3,32,32,False,
epic_kitchens,val,P30_113_111,data/EPIC_data/clips/P30/P30_113_111.mp4,0,32,75,16,59,False,False,0.3140960931777954,0.03186857793480158,0.005841605656314641,1.0040399921126664,56,3,32,32,False,
epic_kitchens,val,P35_104_576,data/EPIC_data/clips/P35/P35_104_576.mp4,0,32,75,16,59,False,False,0.28192204236984253,0.03225737507455051,0.005841605656314641,0.9703093189746141,62,3,32,32,False,
epic_kitchens,val,P37_101_328,data/EPIC_data/clips/P37/P37_101_328.mp4,0,32,75,16,59,False,False,0.3885800838470459,0.0344768560025841,0.005841605656314641,0.9356718480121344,55,3,32,32,False,
epic_kitchens,val,P12_104_0,data/EPIC_data/clips/P12/P12_104_0.mp4,0,32,75,16,1,False,False,0.26402580738067627,0.04620905499905348,0.005841605656314641,0.8986305969301611,87,5,32,32,False,
epic_kitchens,val,P01_109_124,data/EPIC_data/clips/P01/P01_109_124.mp4,0,32,75,16,1,False,True,0.38774028420448303,0.029936440056189895,0.005841605656314641,0.849745704093948,33,2,32,32,False,
epic_kitchens,val,P03_107_18,data/EPIC_data/clips/P03/P03_107_18.mp4,1,32,75,16,1,True,True,0.870046854019165,0.04402338108047843,0.005841605656314641,0.8176336791366339,110,6,32,32,False,
epic_kitchens,val,P02_121_55,data/EPIC_data/clips/P02/P02_121_55.mp4,1,32,75,16,8,False,True,0.26394331455230713,0.04585695406422019,0.005841605656314641,0.7706977548077703,71,4,32,32,False,
epic_kitchens,val,P04_107_120,data/EPIC_data/clips/P04/P04_107_120.mp4,1,32,75,16,59,False,True,0.4950302839279175,0.042806495912373066,0.005841605656314641,0.7225310339126736,76,4,32,32,False,
epic_kitchens,val,P04_121_105,data/EPIC_data/clips/P04/P04_121_105.mp4,1,32,75,16,59,False,True,0.48974478244781494,0.04921691189520061,0.005841605656314641,0.6769268030766398,104,5,32,32,False,
epic_kitchens,val,P22_109_693,data/EPIC_data/clips/P22/P22_109_693.mp4,1,32,75,16,8,False,True,0.4800628125667572,0.04493900085799396,0.005841605656314641,0.6240303008817136,109,6,32,32,False,
epic_kitchens,val,P28_104_96,data/EPIC_data/clips/P28/P28_104_96.mp4,1,32,75,16,1,True,True,0.9098153710365295,0.045798624865710735,0.005841605656314641,0.5753739830106497,71,4,32,32,False,
epic_kitchens,val,P26_117_49,data/EPIC_data/clips/P26/P26_117_49.mp4,1,32,75,16,1,True,True,0.39125221967697144,0.03106373199261725,0.005841605656314641,0.5273255328647792,56,3,32,32,False,
epic_kitchens,val,P25_107_493,data/EPIC_data/clips/P25/P25_107_493.mp4,1,32,75,16,1,True,True,0.9838391542434692,0.03318394999951124,0.005841605656314641,0.49415392498485744,54,3,32,32,False,
epic_kitchens,val,P01_105_699,data/EPIC_data/clips/P01/P01_105_699.mp4,1,32,75,16,1,True,True,0.6273999810218811,0.03365159500390291,0.005841605656314641,0.4583223550580442,30,2,32,32,False,
epic_kitchens,val,P04_119_175,data/EPIC_data/clips/P04/P04_119_175.mp4,1,32,75,16,5,False,True,0.8084043860435486,0.038608858129009604,0.005841605656314641,0.4226507591083646,47,3,32,32,False,
epic_kitchens,val,P09_104_41,data/EPIC_data/clips/P09/P09_104_41.mp4,1,32,75,16,5,False,False,0.44202327728271484,0.052553856978192925,0.005841605656314641,0.3822126919403672,153,8,32,32,False,
epic_kitchens,val,P03_101_15,data/EPIC_data/clips/P03/P03_101_15.mp4,1,32,75,16,3,False,False,0.29981914162635803,0.065170643851161,0.005841605656314641,0.3249803071375936,252,12,32,32,False,
epic_kitchens,val,P35_109_281,data/EPIC_data/clips/P35/P35_109_281.mp4,1,32,75,16,1,True,True,0.9924212098121643,0.0535395760089159,0.005748416064307094,2.2586504470091313,150,7,32,32,False,
epic_kitchens,val,P22_106_17,data/EPIC_data/clips/P22/P22_106_17.mp4,1,32,75,16,1,True,True,0.9049460291862488,0.038742939941585064,0.005748416064307094,2.2022398631088436,70,4,32,32,False,
epic_kitchens,val,P25_107_191,data/EPIC_data/clips/P25/P25_107_191.mp4,1,32,75,16,1,True,True,0.4900932013988495,0.04066184791736305,0.005748416064307094,2.1616564891301095,93,5,32,32,False,
epic_kitchens,val,P25_106_83,data/EPIC_data/clips/P25/P25_106_83.mp4,1,32,75,16,59,False,True,0.20807456970214844,0.029927531955763698,0.005748416064307094,2.1185406101867557,43,2,32,32,False,
epic_kitchens,val,P04_109_336,data/EPIC_data/clips/P04/P04_109_336.mp4,1,32,75,16,5,False,True,0.587067186832428,0.04518310120329261,0.005748416064307094,2.086518811993301,77,4,32,32,False,
epic_kitchens,val,P22_117_314,data/EPIC_data/clips/P22/P22_117_314.mp4,1,32,75,16,1,True,True,0.4667886793613434,0.030301545979455113,0.005748416064307094,2.0384795609861612,29,2,32,32,False,
epic_kitchens,val,P11_103_19,data/EPIC_data/clips/P11/P11_103_19.mp4,1,32,75,16,1,True,True,0.7270821928977966,0.028173131868243217,0.005748416064307094,2.006373666925356,37,2,32,32,False,
epic_kitchens,val,P03_120_171,data/EPIC_data/clips/P03/P03_120_171.mp4,1,32,75,16,1,True,True,0.5746043920516968,0.0337000391446054,0.005748416064307094,1.975933981128037,54,3,32,32,False,
epic_kitchens,val,P12_101_476,data/EPIC_data/clips/P12/P12_101_476.mp4,2,32,75,16,8,False,False,0.4498453438282013,0.037728596944361925,0.005748416064307094,1.9399743739049882,63,3,32,32,False,
epic_kitchens,val,P01_102_66,data/EPIC_data/clips/P01/P01_102_66.mp4,2,32,75,16,59,False,True,0.32300809025764465,0.0928436319809407,0.005748416064307094,1.899433503858745,287,14,32,32,False,
epic_kitchens,val,P03_109_221,data/EPIC_data/clips/P03/P03_109_221.mp4,2,32,75,16,0,False,True,0.3836386799812317,0.0328576578758657,0.005748416064307094,1.800661250948906,29,2,32,32,False,
epic_kitchens,val,P03_121_13,data/EPIC_data/clips/P03/P03_121_13.mp4,2,32,75,16,6,False,False,0.591435432434082,0.055065214866772294,0.005748416064307094,1.7655397711787373,163,8,32,32,False,
epic_kitchens,val,P22_116_128,data/EPIC_data/clips/P22/P22_116_128.mp4,2,32,75,16,2,True,True,0.9721959233283997,0.1154770739376545,0.005748416064307094,1.707246616948396,364,18,32,32,False,
epic_kitchens,val,P25_107_183,data/EPIC_data/clips/P25/P25_107_183.mp4,2,32,75,16,1,False,False,0.7779630422592163,0.07025344693101943,0.005748416064307094,1.588223319966346,201,10,32,32,False,
epic_kitchens,val,P22_116_184,data/EPIC_data/clips/P22/P22_116_184.mp4,2,32,75,16,0,False,True,0.4179215431213379,0.05657583707943559,0.005748416064307094,1.5151558599900454,112,6,32,32,False,
epic_kitchens,val,P25_106_32,data/EPIC_data/clips/P25/P25_106_32.mp4,2,32,75,16,1,False,True,0.2892463207244873,0.039915994042530656,0.005748416064307094,1.4552457958925515,70,4,32,32,False,
epic_kitchens,val,P07_107_12,data/EPIC_data/clips/P07/P07_107_12.mp4,2,32,75,16,15,False,True,0.9903842210769653,0.05349780200049281,0.005748416064307094,1.4123045920860022,136,7,32,32,False,
epic_kitchens,val,P25_104_41,data/EPIC_data/clips/P25/P25_104_41.mp4,2,32,75,16,2,True,True,0.9157640933990479,0.0764166358858347,0.005748416064307094,1.35607532504946,240,12,32,32,False,
epic_kitchens,val,P01_105_682,data/EPIC_data/clips/P01/P01_105_682.mp4,2,32,75,16,8,False,False,0.48170459270477295,0.03796385903842747,0.005748416064307094,1.2770508960820735,55,3,32,32,False,
epic_kitchens,val,P35_108_483,data/EPIC_data/clips/P35/P35_108_483.mp4,2,32,75,16,2,True,True,0.6876360774040222,0.15405240189284086,0.005748416064307094,1.2367967921309173,472,23,32,32,False,
epic_kitchens,val,P25_106_164,data/EPIC_data/clips/P25/P25_106_164.mp4,2,32,75,16,2,True,True,0.9591163396835327,0.09156668581999838,0.005748416064307094,1.079848820110783,320,15,32,32,False,
epic_kitchens,val,P03_119_184,data/EPIC_data/clips/P03/P03_119_184.mp4,2,32,75,16,18,False,True,0.9577755331993103,0.04315235698595643,0.005748416064307094,0.9848062640521675,50,3,32,32,False,
epic_kitchens,val,P01_105_440,data/EPIC_data/clips/P01/P01_105_440.mp4,2,32,75,16,2,True,True,0.3586910367012024,0.0873271320015192,0.005748416064307094,0.9391499808989465,215,11,32,32,False,
epic_kitchens,val,P27_103_649,data/EPIC_data/clips/P27/P27_103_649.mp4,2,32,75,16,1,False,False,0.1818905919790268,0.09450933802872896,0.005748416064307094,0.8483449819032103,236,12,32,32,False,
epic_kitchens,val,P01_109_579,data/EPIC_data/clips/P01/P01_109_579.mp4,2,32,75,16,2,True,True,0.8128268718719482,0.07963611208833754,0.005748416064307094,0.7502165359910578,213,10,32,32,False,
epic_kitchens,val,P37_101_294,data/EPIC_data/clips/P37/P37_101_294.mp4,2,32,75,16,1,False,False,0.8708140850067139,0.08033179701305926,0.005748416064307094,0.6674071899615228,194,10,32,32,False,
