coverage,stride,top1,n,model,dataset
10,1,0.12352941176470589,1020,slowfast_r50,epic_kitchens
10,2,0.1264705882352941,1020,slowfast_r50,epic_kitchens
10,4,0.10686274509803921,1020,slowfast_r50,epic_kitchens
10,8,0.07647058823529412,1020,slowfast_r50,epic_kitchens
10,16,0.06666666666666667,1020,slowfast_r50,epic_kitchens
25,1,0.20392156862745098,1020,slowfast_r50,epic_kitchens
25,2,0.2107843137254902,1020,slowfast_r50,epic_kitchens
25,4,0.18137254901960784,1020,slowfast_r50,epic_kitchens
25,8,0.14313725490196078,1020,slowfast_r50,epic_kitchens
25,16,0.0892156862745098,1020,slowfast_r50,epic_kitchens
50,1,0.2823529411764706,1020,slowfast_r50,epic_kitchens
50,2,0.27647058823529413,1020,slowfast_r50,epic_kitchens
50,4,0.2529411764705882,1020,slowfast_r50,epic_kitchens
50,8,0.21274509803921568,1020,slowfast_r50,epic_kitchens
50,16,0.15196078431372548,1020,slowfast_r50,epic_kitchens
75,1,0.3382352941176471,1020,slowfast_r50,epic_kitchens
75,2,0.33137254901960783,1020,slowfast_r50,epic_kitchens
75,4,0.2911764705882353,1020,slowfast_r50,epic_kitchens
75,8,0.2519607843137255,1020,slowfast_r50,epic_kitchens
75,16,0.17745098039215687,1020,slowfast_r50,epic_kitchens
100,1,0.36470588235294116,1020,slowfast_r50,epic_kitchens
100,2,0.3784313725490196,1020,slowfast_r50,epic_kitchens
100,4,0.33431372549019606,1020,slowfast_r50,epic_kitchens
100,8,0.2607843137254902,1020,slowfast_r50,epic_kitchens
100,16,0.1784313725490196,1020,slowfast_r50,epic_kitchens
