coverage,stride,top1,n,model,dataset
10,1,0.231638418079096,885,slowfast_r50,hmdb51
10,2,0.2225988700564971,885,slowfast_r50,hmdb51
10,4,0.2011299435028248,885,slowfast_r50,hmdb51
10,8,0.1966101694915254,885,slowfast_r50,hmdb51
10,16,0.1830508474576271,885,slowfast_r50,hmdb51
25,1,0.3254237288135593,885,slowfast_r50,hmdb51
25,2,0.3254237288135593,885,slowfast_r50,hmdb51
25,4,0.2892655367231638,885,slowfast_r50,hmdb51
25,8,0.2485875706214689,885,slowfast_r50,hmdb51
25,16,0.207909604519774,885,slowfast_r50,hmdb51
50,1,0.4451977401129943,885,slowfast_r50,hmdb51
50,2,0.4700564971751412,885,slowfast_r50,hmdb51
50,4,0.4135593220338983,885,slowfast_r50,hmdb51
50,8,0.3141242937853107,885,slowfast_r50,hmdb51
50,16,0.2508474576271186,885,slowfast_r50,hmdb51
75,1,0.5672316384180791,885,slowfast_r50,hmdb51
75,2,0.5627118644067797,885,slowfast_r50,hmdb51
75,4,0.4915254237288136,885,slowfast_r50,hmdb51
75,8,0.3706214689265537,885,slowfast_r50,hmdb51
75,16,0.2745762711864407,885,slowfast_r50,hmdb51
100,1,0.607909604519774,885,slowfast_r50,hmdb51
100,2,0.5807909604519774,885,slowfast_r50,hmdb51
100,4,0.5299435028248588,885,slowfast_r50,hmdb51
100,8,0.384180790960452,885,slowfast_r50,hmdb51
100,16,0.2779661016949152,885,slowfast_r50,hmdb51
