dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
somethingv2,validation,169724,data/Something_data/videos_full/169724.webm,0,32,10,16,125,False,False,0.4102856516838074,0.012774908915162086,0.011952979843044886,0.9680295250145718,46,1,32,32,False,
somethingv2,validation,108286,data/Something_data/videos_full/108286.webm,0,32,10,16,126,False,False,0.3419359624385834,0.01328147598542273,0.011952979843044886,0.951199617004022,54,1,32,32,False,
somethingv2,validation,147281,data/Something_data/videos_full/147281.webm,0,32,10,16,130,False,False,0.46992266178131104,0.010687533998861909,0.011952979843044886,0.9336135869380087,62,1,32,32,False,
somethingv2,validation,6216,data/Something_data/videos_full/6216.webm,0,32,10,16,127,False,False,0.815794050693512,0.010018993983976543,0.011952979843044886,0.9212607169756666,41,1,32,32,False,
somethingv2,validation,174027,data/Something_data/videos_full/174027.webm,0,32,10,16,125,False,False,0.772587776184082,0.014651924022473395,0.011952979843044886,0.9102644040249288,46,1,32,32,False,
somethingv2,validation,144827,data/Something_data/videos_full/144827.webm,0,32,10,16,129,False,False,0.9945434331893921,0.011739020003005862,0.011952979843044886,0.8895297659328207,42,1,32,32,False,
somethingv2,validation,53775,data/Something_data/videos_full/53775.webm,0,32,10,16,125,False,False,0.4720767140388489,0.014007941936142743,0.011952979843044886,0.8767560519045219,42,1,32,32,False,
somethingv2,validation,51951,data/Something_data/videos_full/51951.webm,0,32,10,16,125,False,False,0.4745367467403412,0.016539914067834616,0.011952979843044886,0.8589098990196362,33,1,32,32,False,
somethingv2,validation,10430,data/Something_data/videos_full/10430.webm,0,32,10,16,125,False,False,0.2530679404735565,0.009965895093046129,0.011952979843044886,0.8338075010105968,52,1,32,32,False,
somethingv2,validation,148979,data/Something_data/videos_full/148979.webm,0,32,10,16,126,False,False,0.1267354041337967,0.010407033027149737,0.011952979843044886,0.8231084210565314,63,1,32,32,False,
somethingv2,validation,99688,data/Something_data/videos_full/99688.webm,0,32,10,16,126,False,False,0.1827574223279953,0.013648179010488093,0.011952979843044886,0.811612376011908,48,1,32,32,False,
somethingv2,validation,112846,data/Something_data/videos_full/112846.webm,0,32,10,16,126,False,False,0.6913125514984131,0.010454355040565133,0.011952979843044886,0.7916458029067144,42,1,32,32,False,
somethingv2,validation,198092,data/Something_data/videos_full/198092.webm,0,32,10,16,127,False,False,0.4077092409133911,0.011096148984506726,0.011952979843044886,0.7803811139892787,57,1,32,32,False,
somethingv2,validation,88925,data/Something_data/videos_full/88925.webm,0,32,10,16,127,False,False,0.38522207736968994,0.010923212976194918,0.011952979843044886,0.7682999899843708,44,1,32,32,False,
somethingv2,validation,173157,data/Something_data/videos_full/173157.webm,0,32,10,16,126,False,False,0.37497520446777344,0.009985303040593863,0.011952979843044886,0.7563073780620471,65,1,32,32,False,
somethingv2,validation,108136,data/Something_data/videos_full/108136.webm,0,32,10,16,127,False,False,0.35032933950424194,0.008839293965138495,0.011952979843044886,0.7456750660203397,54,1,32,32,False,
somethingv2,validation,81300,data/Something_data/videos_full/81300.webm,0,32,10,16,125,False,False,0.8961417078971863,0.012831764062866569,0.011952979843044886,0.7358333840966225,44,1,32,32,False,
