dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
somethingv2,validation,169724,data/Something_data/videos_full/169724.webm,0,32,10,8,125,False,False,0.4062867760658264,0.013540368061512709,0.012564339624077547,1.102559655206278,46,1,32,32,False,
somethingv2,validation,108286,data/Something_data/videos_full/108286.webm,0,32,10,8,125,False,False,0.8380999565124512,0.01419784501194954,0.012564339624077547,1.0831547318957746,54,1,32,32,False,
somethingv2,validation,147281,data/Something_data/videos_full/147281.webm,0,32,10,8,127,False,False,0.2580871284008026,0.01225074683316052,0.012564339624077547,1.0635654078796506,62,1,32,32,False,
somethingv2,validation,6216,data/Something_data/videos_full/6216.webm,0,32,10,8,127,False,True,0.4895852208137512,0.011135888984426856,0.012564339624077547,1.0495552329812199,41,1,32,32,False,
somethingv2,validation,174027,data/Something_data/videos_full/174027.webm,0,32,10,8,125,False,False,0.9313806295394897,0.015360085060819983,0.012564339624077547,1.037258341209963,46,1,32,32,False,
somethingv2,validation,144827,data/Something_data/videos_full/144827.webm,0,32,10,8,125,False,False,0.3467584252357483,0.012567386031150818,0.012564339624077547,1.015346648870036,42,1,32,32,False,
somethingv2,validation,53775,data/Something_data/videos_full/53775.webm,0,32,10,8,125,False,False,0.9857475161552429,0.01481489697471261,0.012564339624077547,1.001496713142842,42,1,32,32,False,
somethingv2,validation,51951,data/Something_data/videos_full/51951.webm,0,32,10,8,125,False,False,0.632827877998352,0.017260493943467736,0.012564339624077547,0.9825791399925947,33,1,32,32,False,
somethingv2,validation,10430,data/Something_data/videos_full/10430.webm,0,32,10,8,125,False,False,0.6662283539772034,0.01083683199249208,0.012564339624077547,0.9567335450556129,52,1,32,32,False,
somethingv2,validation,148979,data/Something_data/videos_full/148979.webm,0,32,10,8,125,False,False,0.24657182395458221,0.011626081075519323,0.012564339624077547,0.9440657971426845,63,1,32,32,False,
somethingv2,validation,99688,data/Something_data/videos_full/99688.webm,0,32,10,8,125,False,False,0.5227755308151245,0.014468817971646786,0.012564339624077547,0.9315057799685746,48,1,32,32,False,
somethingv2,validation,112846,data/Something_data/videos_full/112846.webm,0,32,10,8,127,False,False,0.24452397227287292,0.012536147143691778,0.012564339624077547,0.9091820439789444,42,1,32,32,False,
somethingv2,validation,198092,data/Something_data/videos_full/198092.webm,0,32,10,8,125,False,False,0.5539783239364624,0.01224496285431087,0.012564339624077547,0.8947729889769107,57,1,32,32,False,
somethingv2,validation,88925,data/Something_data/videos_full/88925.webm,0,32,10,8,125,False,False,0.2528645992279053,0.012314436957240105,0.012564339624077547,0.8800542880780995,44,1,32,32,False,
somethingv2,validation,173157,data/Something_data/videos_full/173157.webm,0,32,10,8,125,False,False,0.4187399446964264,0.011266550049185753,0.012564339624077547,0.8666732711717486,65,1,32,32,False,
somethingv2,validation,108136,data/Something_data/videos_full/108136.webm,0,32,10,8,128,False,False,0.216518834233284,0.010595272993668914,0.012564339624077547,0.8542643091641366,54,1,32,32,False,
somethingv2,validation,81300,data/Something_data/videos_full/81300.webm,0,32,10,8,125,False,False,0.8905777931213379,0.014821198070421815,0.012564339624077547,0.8408396770246327,44,1,32,32,False,
somethingv2,validation,121078,data/Something_data/videos_full/121078.webm,0,32,10,8,130,False,False,0.31761273741722107,0.013416328933089972,0.012564339624077547,0.8206713339313865,41,1,32,32,False,
somethingv2,validation,24255,data/Something_data/videos_full/24255.webm,0,32,10,8,125,False,False,0.38964223861694336,0.013798135798424482,0.012564339624077547,0.8052585190162063,32,1,32,32,False,
somethingv2,validation,210300,data/Something_data/videos_full/210300.webm,0,32,10,8,125,False,False,0.20262624323368073,0.013857182115316391,0.012564339624077547,0.7886097598820925,52,1,32,32,False,
somethingv2,validation,52371,data/Something_data/videos_full/52371.webm,1,32,10,8,16,False,False,0.09572349488735199,0.013148087076842785,0.012564339624077547,0.7679196209646761,68,1,32,32,False,
somethingv2,validation,18320,data/Something_data/videos_full/18320.webm,1,32,10,8,125,False,False,0.29034358263015747,0.011729856953024864,0.012564339624077547,0.7528570659924299,33,1,32,32,False,
somethingv2,validation,182144,data/Something_data/videos_full/182144.webm,1,32,10,8,125,False,False,0.2061285674571991,0.012903858907520771,0.012564339624077547,0.739141872851178,43,1,32,32,False,
