dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
ucf101,val,v_ApplyEyeMakeup_g07_c04,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c04.avi,0,32,100,8,1,False,True,0.9641045331954956,0.04662377992644906,0.0008386498448089696,1.6845365669578314,142,18,32,32,False,
ucf101,val,v_ApplyEyeMakeup_g02_c02,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g02_c02.avi,0,32,100,8,0,True,True,0.9383155107498169,0.04809162695892155,0.0008386498448089696,1.6349722740706056,146,19,32,32,False,
ucf101,val,v_ApplyEyeMakeup_g01_c02,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c02.avi,0,32,100,8,13,False,True,0.10975396633148193,0.039954915875568986,0.0008386498448089696,1.5833847080357373,123,16,32,32,False,
ucf101,val,v_ApplyEyeMakeup_g04_c02,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c02.avi,0,32,100,8,0,True,True,0.8525729775428772,0.04150709486566484,0.0008386498448089696,1.5402354300022125,132,17,32,32,False,
ucf101,val,v_ApplyEyeMakeup_g03_c06,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g03_c06.avi,0,32,100,8,1,False,True,0.9383447766304016,0.05084184184670448,0.0008386498448089696,1.4956737461034209,152,19,32,32,False,
ucf101,val,v_ApplyEyeMakeup_g03_c05,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g03_c05.avi,0,32,100,8,1,False,True,0.9948520064353943,0.04997172416187823,0.0008386498448089696,1.4417680411133915,146,19,32,32,False,
ucf101,val,v_ApplyEyeMakeup_g02_c03,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g02_c03.avi,0,32,100,8,0,True,True,0.775894820690155,0.06564397690817714,0.0008386498448089696,1.38904054206796,216,27,32,32,False,
ucf101,val,v_ApplyEyeMakeup_g02_c01,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g02_c01.avi,0,32,100,8,0,True,True,0.9719549417495728,0.050222016870975494,0.0008386498448089696,1.3205442670732737,170,22,32,32,False,
ucf101,val,v_ApplyEyeMakeup_g06_c05,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c05.avi,0,32,100,8,0,True,True,0.912132978439331,0.07519793719984591,0.0008386498448089696,1.2672826298512518,281,32,32,32,False,
ucf101,val,v_ApplyEyeMakeup_g01_c06,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c06.avi,0,32,100,8,0,True,True,0.6218184232711792,0.03153669089078903,0.0008386498448089696,1.1897187537979335,122,16,32,32,False,
ucf101,val,v_ApplyEyeMakeup_g05_c05,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g05_c05.avi,0,32,100,8,0,True,True,0.6910857558250427,0.060521478997543454,0.0008386498448089696,1.1558554479852319,227,29,32,32,False,
ucf101,val,v_ApplyEyeMakeup_g01_c03,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c03.avi,0,32,100,8,1,False,True,0.8990489840507507,0.07305788900703192,0.0008386498448089696,1.092131535988301,259,32,32,32,False,
ucf101,val,v_ApplyEyeMakeup_g07_c05,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c05.avi,0,32,100,8,0,True,True,0.5614601373672485,0.03395231021568179,0.0008386498448089696,1.016159794991836,98,13,32,32,False,
ucf101,val,v_ApplyEyeMakeup_g06_c03,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c03.avi,0,32,100,8,1,False,True,0.880780041217804,0.07814367790706456,0.0008386498448089696,0.9791681950446218,245,31,32,32,False,
ucf101,val,v_ApplyEyeMakeup_g06_c07,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c07.avi,0,32,100,8,1,False,True,0.823586106300354,0.052580815041437745,0.0008386498448089696,0.8980725419241935,167,21,32,32,False,
ucf101,val,v_ApplyEyeMakeup_g07_c06,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c06.avi,0,32,100,8,1,False,True,0.9602635502815247,0.049527037888765335,0.0008386498448089696,0.8426779701840132,162,21,32,32,False,
ucf101,val,v_ApplyEyeMakeup_g04_c01,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c01.avi,0,32,100,8,0,True,True,0.9942620992660522,0.039357411907985806,0.0008386498448089696,0.7901517690625042,126,16,32,32,False,
ucf101,val,v_ApplyEyeMakeup_g04_c04,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c04.avi,0,32,100,8,0,True,True,0.9031750559806824,0.05926302308216691,0.0008386498448089696,0.7485041848849505,181,23,32,32,False,
ucf101,val,v_ApplyEyeMakeup_g01_c01,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c01.avi,0,32,100,8,13,False,True,0.13980191946029663,0.052524066995829344,0.0008386498448089696,0.6864447339903563,164,21,32,32,False,
ucf101,val,v_ApplyEyeMakeup_g07_c07,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c07.avi,0,32,100,8,1,False,True,0.9467002749443054,0.04005099297501147,0.0008386498448089696,0.630964855896309,114,15,32,32,False,
ucf101,val,v_ApplyLipstick_g03_c04,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g03_c04.avi,1,32,100,8,63,False,False,0.33055487275123596,0.04755545500665903,0.0008386498448089696,0.5883508429396898,142,18,32,32,False,
ucf101,val,v_ApplyLipstick_g05_c05,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g05_c05.avi,1,32,100,8,0,False,True,0.9843430519104004,0.050584393087774515,0.0008386498448089696,0.5375467948615551,156,20,32,32,False,
