dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
autsl,val,signer1_sample944_color,data/AUTSL_data/val/signer1_sample944_color.mp4,0,8,10,16,2,False,False,0.38168928027153015,0.010143534047529101,0.00646094884359627,0.5448564399266616,57,1,8,8,False,
autsl,val,signer1_sample276_color,data/AUTSL_data/val/signer1_sample276_color.mp4,0,8,10,16,2,False,False,0.3854750692844391,0.00802830292377621,0.00646094884359627,0.5321953019592911,65,1,8,8,False,
autsl,val,signer35_sample610_color,data/AUTSL_data/val/signer35_sample610_color.mp4,0,8,10,16,2,False,False,0.42198818922042847,0.007561280974186957,0.00646094884359627,0.5225200159475207,71,1,8,8,False,
autsl,val,signer35_sample390_color,data/AUTSL_data/val/signer35_sample390_color.mp4,0,8,10,16,2,False,False,0.44778499007225037,0.0073839600663632154,0.00646094884359627,0.5130927920108661,75,1,8,8,False,
autsl,val,signer18_sample539_color,data/AUTSL_data/val/signer18_sample539_color.mp4,0,8,10,16,2,False,False,0.3508928120136261,0.007136072963476181,0.00646094884359627,0.5043072280241176,64,1,8,8,False,
autsl,val,signer1_sample778_color,data/AUTSL_data/val/signer1_sample778_color.mp4,0,8,10,16,2,False,False,0.4119301438331604,0.007036032970063388,0.00646094884359627,0.4953094950178638,63,1,8,8,False,
autsl,val,signer11_sample469_color,data/AUTSL_data/val/signer11_sample469_color.mp4,0,8,10,16,2,False,False,0.41690024733543396,0.0069446529960259795,0.00646094884359627,0.48700415808707476,45,1,8,8,False,
autsl,val,signer1_sample319_color,data/AUTSL_data/val/signer1_sample319_color.mp4,0,8,10,16,2,False,False,0.4121485650539398,0.007100875023752451,0.00646094884359627,0.47878626896999776,68,1,8,8,False,
autsl,val,signer11_sample120_color,data/AUTSL_data/val/signer11_sample120_color.mp4,0,8,10,16,2,False,False,0.4557216465473175,0.007163731963373721,0.00646094884359627,0.4707082259701565,48,1,8,8,False,
autsl,val,signer25_sample64_color,data/AUTSL_data/val/signer25_sample64_color.mp4,0,8,10,16,2,False,False,0.3849542737007141,0.0076277179177850485,0.00646094884359627,0.46203017293009907,46,1,8,8,False,
