coverage,stride,top1,n,model,dataset
10,1,0.014259846084200997,4418,timesformer,autsl
10,2,0.012222725215029425,4418,timesformer,autsl
10,4,0.008148483476686284,4418,timesformer,autsl
10,8,0.007243096423721141,4418,timesformer,autsl
10,16,0.007243096423721141,4418,timesformer,autsl
25,1,0.12064282480760526,4418,timesformer,autsl
25,2,0.1120416478044364,4418,timesformer,autsl
25,4,0.08239022181982798,4418,timesformer,autsl
25,8,0.040289723856948845,4418,timesformer,autsl
25,16,0.02240832956088728,4418,timesformer,autsl
50,1,0.5586238116794929,4418,timesformer,autsl
50,2,0.5325939339067451,4418,timesformer,autsl
50,4,0.5065640561339972,4418,timesformer,autsl
50,8,0.3850158442734269,4418,timesformer,autsl
50,16,0.19941149841557265,4418,timesformer,autsl
75,1,0.6982797645993662,4418,timesformer,autsl
75,2,0.6903576278859213,4418,timesformer,autsl
75,4,0.6874151199637846,4418,timesformer,autsl
75,8,0.6398822996831145,4418,timesformer,autsl
75,16,0.42349479402444545,4418,timesformer,autsl
100,1,0.6853779990946129,4418,timesformer,autsl
100,2,0.6765504753282028,4418,timesformer,autsl
100,4,0.6788139429606157,4418,timesformer,autsl
100,8,0.6672702580353101,4418,timesformer,autsl
100,16,0.4784970574920779,4418,timesformer,autsl
