coverage,stride,top1,n,model,dataset
10,1,0.11036339165545088,743,timesformer,diving48
10,2,0.11709286675639301,743,timesformer,diving48
10,4,0.09959623149394348,743,timesformer,diving48
10,8,0.07133243606998654,743,timesformer,diving48
10,16,0.07940780619111709,743,timesformer,diving48
25,1,0.15208613728129206,743,timesformer,diving48
25,2,0.16823687752355315,743,timesformer,diving48
25,4,0.15746971736204576,743,timesformer,diving48
25,8,0.15746971736204576,743,timesformer,diving48
25,16,0.10363391655450875,743,timesformer,diving48
50,1,0.26648721399730824,743,timesformer,diving48
50,2,0.2543741588156124,743,timesformer,diving48
50,4,0.2557200538358008,743,timesformer,diving48
50,8,0.27052489905787347,743,timesformer,diving48
50,16,0.2032301480484522,743,timesformer,diving48
75,1,0.38088829071332436,743,timesformer,diving48
75,2,0.3916554508748318,743,timesformer,diving48
75,4,0.3781965006729475,743,timesformer,diving48
75,8,0.3755047106325707,743,timesformer,diving48
75,16,0.3203230148048452,743,timesformer,diving48
100,1,0.41184387617765816,743,timesformer,diving48
100,2,0.40915208613728127,743,timesformer,diving48
100,4,0.4253028263795424,743,timesformer,diving48
100,8,0.4266487213997308,743,timesformer,diving48
100,16,0.38492597577388965,743,timesformer,diving48
