coverage,stride,top1,n,model,dataset
10,1,0.46651785714285715,448,timesformer,driveact
10,2,0.4642857142857143,448,timesformer,driveact
10,4,0.44642857142857145,448,timesformer,driveact
10,8,0.41964285714285715,448,timesformer,driveact
10,16,0.41964285714285715,448,timesformer,driveact
25,1,0.5223214285714286,448,timesformer,driveact
25,2,0.53125,448,timesformer,driveact
25,4,0.5022321428571429,448,timesformer,driveact
25,8,0.4888392857142857,448,timesformer,driveact
25,16,0.41964285714285715,448,timesformer,driveact
50,1,0.609375,448,timesformer,driveact
50,2,0.6138392857142857,448,timesformer,driveact
50,4,0.6205357142857143,448,timesformer,driveact
50,8,0.5625,448,timesformer,driveact
50,16,0.5,448,timesformer,driveact
75,1,0.65625,448,timesformer,driveact
75,2,0.6517857142857143,448,timesformer,driveact
75,4,0.6696428571428571,448,timesformer,driveact
75,8,0.6160714285714286,448,timesformer,driveact
75,16,0.5736607142857143,448,timesformer,driveact
100,1,0.6763392857142857,448,timesformer,driveact
100,2,0.6808035714285714,448,timesformer,driveact
100,4,0.6696428571428571,448,timesformer,driveact
100,8,0.6651785714285714,448,timesformer,driveact
100,16,0.5915178571428571,448,timesformer,driveact
