coverage,stride,top1,n,model,dataset
10,1,0.4732142857142857,448,timesformer,driveact
10,2,0.45982142857142855,448,timesformer,driveact
10,4,0.43526785714285715,448,timesformer,driveact
10,8,0.41517857142857145,448,timesformer,driveact
10,16,0.41517857142857145,448,timesformer,driveact
25,1,0.546875,448,timesformer,driveact
25,2,0.5401785714285714,448,timesformer,driveact
25,4,0.5111607142857143,448,timesformer,driveact
25,8,0.4888392857142857,448,timesformer,driveact
25,16,0.41517857142857145,448,timesformer,driveact
50,1,0.6339285714285714,448,timesformer,driveact
50,2,0.6272321428571429,448,timesformer,driveact
50,4,0.6183035714285714,448,timesformer,driveact
50,8,0.5714285714285714,448,timesformer,driveact
50,16,0.5200892857142857,448,timesformer,driveact
75,1,0.6741071428571429,448,timesformer,driveact
75,2,0.671875,448,timesformer,driveact
75,4,0.6741071428571429,448,timesformer,driveact
75,8,0.625,448,timesformer,driveact
75,16,0.5736607142857143,448,timesformer,driveact
100,1,0.703125,448,timesformer,driveact
100,2,0.6919642857142857,448,timesformer,driveact
100,4,0.6897321428571429,448,timesformer,driveact
100,8,0.671875,448,timesformer,driveact
100,16,0.5959821428571429,448,timesformer,driveact
