dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
epic_kitchens,val,P26_107_7,data/EPIC_data/clips/P26/P26_107_7.mp4,0,8,100,2,0,True,True,0.48621392250061035,0.04502655699616298,0.010776724687275419,2.1856530380027834,154,8,8,8,False,
epic_kitchens,val,P03_101_188,data/EPIC_data/clips/P03/P03_101_188.mp4,0,8,100,2,5,False,True,0.2321128100156784,0.20534119301009923,0.010776724687275419,2.137821554002585,942,8,8,8,False,
epic_kitchens,val,P04_113_291,data/EPIC_data/clips/P04/P04_113_291.mp4,0,8,100,2,0,True,True,0.6496481895446777,0.030505979986628518,0.010776724687275419,1.9300563930009957,27,8,8,8,False,
epic_kitchens,val,P01_105_229,data/EPIC_data/clips/P01/P01_105_229.mp4,0,8,100,2,1,False,True,0.5498865246772766,0.029914187005488202,0.010776724687275419,1.8976929369964637,31,8,8,8,False,
epic_kitchens,val,P22_103_180,data/EPIC_data/clips/P22/P22_103_180.mp4,0,8,100,2,2,False,True,0.43566131591796875,0.04729395799222402,0.010776724687275419,1.8661052609968465,64,8,8,8,False,
epic_kitchens,val,P26_108_5,data/EPIC_data/clips/P26/P26_108_5.mp4,0,8,100,2,1,False,True,0.8121764063835144,0.07288006102317013,0.010776724687275419,1.816579776990693,231,8,8,8,False,
epic_kitchens,val,P35_108_238,data/EPIC_data/clips/P35/P35_108_238.mp4,0,8,100,2,0,True,True,0.7730922102928162,0.04517430899431929,0.010776724687275419,1.7411646429973189,51,8,8,8,False,
epic_kitchens,val,P03_101_33,data/EPIC_data/clips/P03/P03_101_33.mp4,0,8,100,2,1,False,True,0.331426203250885,0.03118506900500506,0.010776724687275419,1.6937576929922216,55,8,8,8,False,
epic_kitchens,val,P35_104_290,data/EPIC_data/clips/P35/P35_104_290.mp4,0,8,100,2,0,True,True,0.4898000657558441,0.041299548000097275,0.010776724687275419,1.6609073059807997,51,8,8,8,False,
epic_kitchens,val,P30_111_263,data/EPIC_data/clips/P30/P30_111_263.mp4,0,8,100,2,0,True,True,0.6539446115493774,0.02997794098337181,0.010776724687275419,1.617928199004382,30,8,8,8,False,
epic_kitchens,val,P12_105_39,data/EPIC_data/clips/P12/P12_105_39.mp4,0,8,100,2,0,True,True,0.4680800139904022,0.0521324010042008,0.010776724687275419,1.5860135269758757,133,8,8,8,False,
epic_kitchens,val,P30_107_239,data/EPIC_data/clips/P30/P30_107_239.mp4,0,8,100,2,0,True,True,0.7166109681129456,0.03241040601278655,0.010776724687275419,1.532030392991146,39,8,8,8,False,
epic_kitchens,val,P35_107_238,data/EPIC_data/clips/P35/P35_107_238.mp4,0,8,100,2,0,True,True,0.8023957014083862,0.036744781013112515,0.010776724687275419,1.4979095699964091,63,8,8,8,False,
epic_kitchens,val,P27_101_37,data/EPIC_data/clips/P27/P27_101_37.mp4,0,8,100,2,1,False,True,0.5803372859954834,0.03608937899116427,0.010776724687275419,1.4593327180191409,58,8,8,8,False,
epic_kitchens,val,P22_109_45,data/EPIC_data/clips/P22/P22_109_45.mp4,0,8,100,2,1,False,True,0.5480321049690247,0.030909471010090783,0.010776724687275419,1.4214172060019337,45,8,8,8,False,
