coverage,stride,top1,n
10,1,0.1784313725490196,1020
10,2,0.1754901960784313,1020
10,4,0.1666666666666666,1020
10,8,0.1568627450980392,1020
10,16,0.1303921568627451,1020
25,1,0.242156862745098,1020
25,2,0.2490196078431372,1020
25,4,0.242156862745098,1020
25,8,0.2205882352941176,1020
25,16,0.1754901960784313,1020
50,1,0.2931372549019608,1020
50,2,0.2872549019607843,1020
50,4,0.288235294117647,1020
50,8,0.2794117647058823,1020
50,16,0.2431372549019607,1020
75,1,0.342156862745098,1020
75,2,0.3352941176470588,1020
75,4,0.3313725490196078,1020
75,8,0.3137254901960784,1020
75,16,0.288235294117647,1020
100,1,0.3362745098039216,1020
100,2,0.3382352941176471,1020
100,4,0.3352941176470588,1020
100,8,0.3245098039215686,1020
100,16,0.3039215686274509,1020
