coverage,stride,top1,n,model,dataset
10,1,0.0803921568627451,1020,timesformer,epic_kitchens
10,2,0.08627450980392157,1020,timesformer,epic_kitchens
10,4,0.08529411764705883,1020,timesformer,epic_kitchens
10,8,0.07156862745098039,1020,timesformer,epic_kitchens
10,16,0.06568627450980392,1020,timesformer,epic_kitchens
25,1,0.11372549019607843,1020,timesformer,epic_kitchens
25,2,0.11372549019607843,1020,timesformer,epic_kitchens
25,4,0.11568627450980393,1020,timesformer,epic_kitchens
25,8,0.10784313725490197,1020,timesformer,epic_kitchens
25,16,0.09705882352941177,1020,timesformer,epic_kitchens
50,1,0.13725490196078433,1020,timesformer,epic_kitchens
50,2,0.1392156862745098,1020,timesformer,epic_kitchens
50,4,0.13823529411764707,1020,timesformer,epic_kitchens
50,8,0.13725490196078433,1020,timesformer,epic_kitchens
50,16,0.11960784313725491,1020,timesformer,epic_kitchens
75,1,0.1411764705882353,1020,timesformer,epic_kitchens
75,2,0.14215686274509803,1020,timesformer,epic_kitchens
75,4,0.1480392156862745,1020,timesformer,epic_kitchens
75,8,0.13823529411764707,1020,timesformer,epic_kitchens
75,16,0.14411764705882352,1020,timesformer,epic_kitchens
100,1,0.14411764705882352,1020,timesformer,epic_kitchens
100,2,0.14411764705882352,1020,timesformer,epic_kitchens
100,4,0.14607843137254903,1020,timesformer,epic_kitchens
100,8,0.14215686274509803,1020,timesformer,epic_kitchens
100,16,0.13137254901960785,1020,timesformer,epic_kitchens
