coverage,stride,top1,n
10,1,0.4689265536723164,885
10,2,0.4508474576271186,885
10,4,0.4350282485875706,885
10,8,0.4011299435028249,885
10,16,0.3966101694915254,885
25,1,0.5728813559322034,885
25,2,0.559322033898305,885
25,4,0.5412429378531074,885
25,8,0.5073446327683616,885
25,16,0.4621468926553672,885
50,1,0.6361581920903955,885
50,2,0.6271186440677966,885
50,4,0.6135593220338983,885
50,8,0.6022598870056497,885
50,16,0.5559322033898305,885
75,1,0.6926553672316385,885
75,2,0.6858757062146893,885
75,4,0.6926553672316385,885
75,8,0.6621468926553672,885
75,16,0.6259887005649718,885
100,1,0.688135593220339,885
100,2,0.6949152542372882,885
100,4,0.6949152542372882,885
100,8,0.6858757062146893,885
100,16,0.6451977401129944,885
