coverage,stride,top1,n
10,1,0.0153915799004074,4418
10,2,0.0129017655047532,4418
10,4,0.0097329108193752,4418
10,8,0.0058850158442734,4418
10,16,0.0058850158442734,4418
25,1,0.0452693526482571,4418
25,2,0.0473064735174287,4418
25,4,0.0377999094612947,4418
25,8,0.0165233137166138,4418
25,16,0.0086011770031688,4418
50,1,0.416025350837483,4418
50,2,0.4289271163422363,4418
50,4,0.3761883205070167,4418
50,8,0.1645540968764146,4418
50,16,0.0443639655952919,4418
75,1,0.7374377546401086,4418
75,2,0.7224988682661838,4418
75,4,0.7073336351290177,4418
75,8,0.3997283838841104,4418
75,16,0.1278859212313264,4418
100,1,0.805115436849253,4418
100,2,0.8021729289271163,4418
100,4,0.7602987777274784,4418
100,8,0.4438660027161611,4418
100,16,0.1523313716613852,4418
