coverage,stride,top1,n
10,1,0.0565275908479138,743
10,2,0.0699865410497981,743
10,4,0.0686406460296096,743
10,8,0.0592193808882907,743
10,16,0.0497981157469717,743
25,1,0.0861372812920592,743
25,2,0.0942126514131897,743
25,4,0.1049798115746971,743
25,8,0.0928667563930013,743
25,16,0.0726783310901749,743
50,1,0.2866756393001345,743
50,2,0.2799461641991924,743
50,4,0.2637954239569313,743
50,8,0.2032301480484522,743
50,16,0.1184387617765814,743
75,1,0.4670255720053836,743
75,2,0.4360699865410498,743
75,4,0.4427994616419919,743
75,8,0.3432032301480484,743
75,16,0.215343203230148,743
100,1,0.4387617765814266,743
100,2,0.4374158815612382,743
100,4,0.4670255720053836,743
100,8,0.3566621803499327,743
100,16,0.2180349932705249,743
