dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
driveact,val,vp15_run1_2018-05-30-13-05-35_10394_10415,data/DriveAct_data/clips/closing_bottle/vp15_run1_2018-05-30-13-05-35_10394_10415.mp4,0,16,100,4,32,False,True,0.5228762626647949,0.009631169028580189,0.023501441439293558,1.1008992650313303,21,6,16,16,False,
driveact,val,vp14_run1_2018-05-30-10-11-09_6012_6033,data/DriveAct_data/clips/closing_bottle/vp14_run1_2018-05-30-10-11-09_6012_6033.mp4,0,16,100,4,5,False,True,0.6053647398948669,0.006623756024055183,0.023501441439293558,1.0900358230574057,21,6,16,16,False,
driveact,val,vp14_run1_2018-05-30-10-11-09_5966_6012,data/DriveAct_data/clips/closing_bottle/vp14_run1_2018-05-30-10-11-09_5966_6012.mp4,0,16,100,4,5,False,True,0.7352581024169922,0.008097704965621233,0.023501441439293558,1.082648238982074,47,12,16,16,False,
driveact,val,vp14_run2_2018-05-30-10-42-33_3887_3915,data/DriveAct_data/clips/closing_bottle/vp14_run2_2018-05-30-10-42-33_3887_3915.mp4,0,16,100,4,5,False,False,0.3852989673614502,0.006975715979933739,0.023501441439293558,1.0737593070371076,29,8,16,16,False,
driveact,val,vp14_run2_2018-05-30-10-42-33_3842_3887,data/DriveAct_data/clips/closing_bottle/vp14_run2_2018-05-30-10-42-33_3842_3887.mp4,0,16,100,4,0,True,True,0.5819736123085022,0.007882394012995064,0.023501441439293558,1.0659941710764542,45,12,16,16,False,
driveact,val,vp15_run1_2018-05-30-13-05-35_10300_10347,data/DriveAct_data/clips/closing_bottle/vp15_run1_2018-05-30-13-05-35_10300_10347.mp4,0,16,100,4,0,True,True,0.35298624634742737,0.008216037997044623,0.023501441439293558,1.057257971027866,46,12,16,16,False,
driveact,val,vp15_run2_2018-05-30-13-34-33_5786_5802,data/DriveAct_data/clips/closing_bottle/vp15_run2_2018-05-30-13-34-33_5786_5802.mp4,0,16,100,4,5,False,False,0.9585480690002441,0.00586008804384619,0.023501441439293558,1.048274589003995,17,5,16,16,False,
driveact,val,vp14_run2_2018-05-30-10-42-33_16271_16309,data/DriveAct_data/clips/closing_bottle/vp14_run2_2018-05-30-10-42-33_16271_16309.mp4,0,16,100,4,5,False,True,0.40796345472335815,0.007367555983364582,0.023501441439293558,1.0416662340285257,38,10,16,16,False,
driveact,val,vp15_run2_2018-05-30-13-34-33_6488_6516,data/DriveAct_data/clips/closing_bottle/vp15_run2_2018-05-30-13-34-33_6488_6516.mp4,0,16,100,4,32,False,False,0.2527284622192383,0.006522263051010668,0.023501441439293558,1.0334828200284392,29,8,16,16,False,
driveact,val,vp15_run1_2018-05-30-13-05-35_10347_10394,data/DriveAct_data/clips/closing_bottle/vp15_run1_2018-05-30-13-05-35_10347_10394.mp4,0,16,100,4,0,True,True,0.6352677941322327,0.00808750104624778,0.023501441439293558,1.0261554779717699,47,12,16,16,False,
driveact,val,vp14_run1_2018-05-30-10-11-09_12052_12093,data/DriveAct_data/clips/closing_bottle/vp14_run1_2018-05-30-10-11-09_12052_12093.mp4,0,16,100,4,5,False,True,0.4837004542350769,0.007440955028869212,0.023501441439293558,1.017265168018639,40,10,16,16,False,
driveact,val,vp14_run2_2018-05-30-10-42-33_20272_20317,data/DriveAct_data/clips/closing_bottle/vp14_run2_2018-05-30-10-42-33_20272_20317.mp4,0,16,100,4,5,False,True,0.807214617729187,0.007836122065782547,0.023501441439293558,1.0090335960267112,44,11,16,16,False,
