coverage,stride,top1,n,model,dataset
10,1,0.08587570621468926,885,videomae,hmdb51
10,2,0.08700564971751412,885,videomae,hmdb51
10,4,0.07457627118644068,885,videomae,hmdb51
10,8,0.08022598870056497,885,videomae,hmdb51
10,16,0.08248587570621468,885,videomae,hmdb51
25,1,0.096045197740113,885,videomae,hmdb51
25,2,0.0903954802259887,885,videomae,hmdb51
25,4,0.08135593220338982,885,videomae,hmdb51
25,8,0.08248587570621468,885,videomae,hmdb51
25,16,0.08587570621468926,885,videomae,hmdb51
50,1,0.10508474576271186,885,videomae,hmdb51
50,2,0.09265536723163842,885,videomae,hmdb51
50,4,0.09943502824858758,885,videomae,hmdb51
50,8,0.10282485875706214,885,videomae,hmdb51
50,16,0.0711864406779661,885,videomae,hmdb51
75,1,0.11638418079096045,885,videomae,hmdb51
75,2,0.10847457627118644,885,videomae,hmdb51
75,4,0.10734463276836158,885,videomae,hmdb51
75,8,0.09717514124293786,885,videomae,hmdb51
75,16,0.08361581920903954,885,videomae,hmdb51
100,1,0.09491525423728814,885,videomae,hmdb51
100,2,0.0903954802259887,885,videomae,hmdb51
100,4,0.11073446327683616,885,videomae,hmdb51
100,8,0.09378531073446328,885,videomae,hmdb51
100,16,0.08926553672316384,885,videomae,hmdb51
