coverage,stride,top1,n,model,dataset
10,1,0.05084745762711865,177,videomae,ssv2
10,2,0.005649717514124294,177,videomae,ssv2
10,4,0.011299435028248588,177,videomae,ssv2
10,8,0.011299435028248588,177,videomae,ssv2
10,16,0.011299435028248588,177,videomae,ssv2
25,1,0.10734463276836158,177,videomae,ssv2
25,2,0.1016949152542373,177,videomae,ssv2
25,4,0.06779661016949153,177,videomae,ssv2
25,8,0.05084745762711865,177,videomae,ssv2
25,16,0.01694915254237288,177,videomae,ssv2
50,1,0.327683615819209,177,videomae,ssv2
50,2,0.2824858757062147,177,videomae,ssv2
50,4,0.21468926553672316,177,videomae,ssv2
50,8,0.096045197740113,177,videomae,ssv2
50,16,0.04519774011299435,177,videomae,ssv2
75,1,0.5028248587570622,177,videomae,ssv2
75,2,0.4632768361581921,177,videomae,ssv2
75,4,0.3785310734463277,177,videomae,ssv2
75,8,0.2598870056497175,177,videomae,ssv2
75,16,0.0903954802259887,177,videomae,ssv2
100,1,0.5141242937853108,177,videomae,ssv2
100,2,0.4971751412429379,177,videomae,ssv2
100,4,0.480225988700565,177,videomae,ssv2
100,8,0.3333333333333333,177,videomae,ssv2
100,16,0.14124293785310735,177,videomae,ssv2
