dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
ucf101,val,v_ApplyEyeMakeup_g07_c04,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c04.avi,0,16,75,16,0,True,True,0.990231454372406,0.03131782403215766,0.024137152653565863,1.9466688390821218,142,7,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g02_c02,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g02_c02.avi,0,16,75,16,0,True,True,0.9826340079307556,0.028934061992913485,0.024137152653565863,1.913565693073906,146,7,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g01_c02,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c02.avi,0,16,75,16,0,True,True,0.9882810711860657,0.02525551908183843,0.024137152653565863,1.8828939030645415,123,6,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g04_c02,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c02.avi,0,16,75,16,0,True,True,0.9897749423980713,0.028923460049554706,0.024137152653565863,1.856232987018302,132,7,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g03_c06,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g03_c06.avi,0,16,75,16,0,True,True,0.9035437703132629,0.03342069999780506,0.024137152653565863,1.8254777980037034,152,8,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g03_c05,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g03_c05.avi,0,16,75,16,0,True,True,0.9879698753356934,0.030357597046531737,0.024137152653565863,1.7905330120120198,146,7,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g02_c03,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g02_c03.avi,0,16,75,16,0,True,True,0.9873496890068054,0.043065179022960365,0.024137152653565863,1.758558049914427,216,11,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g02_c01,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g02_c01.avi,0,16,75,16,0,True,True,0.9839594960212708,0.031107750022783875,0.024137152653565863,1.713688038988039,170,8,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g06_c05,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c05.avi,0,16,75,16,0,True,True,0.9922479391098022,0.051472752005793154,0.024137152653565863,1.6807036639656872,281,14,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g01_c06,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c06.avi,0,16,75,16,0,True,True,0.9852824211120605,0.02527981996536255,0.024137152653565863,1.6274917469127104,122,6,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g05_c05,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g05_c05.avi,0,16,75,16,0,True,True,0.9836501479148865,0.040025938069447875,0.024137152653565863,1.6007483770372346,227,11,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g01_c03,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c03.avi,0,16,75,16,0,True,True,0.9795031547546387,0.04887832002714276,0.024137152653565863,1.5588344070129097,259,13,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g07_c05,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c05.avi,0,16,75,16,0,True,True,0.9913817048072815,0.021288822987116873,0.024137152653565863,1.5079167789081112,98,5,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g06_c03,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c03.avi,0,16,75,16,0,True,True,0.9867022633552551,0.047128319973126054,0.024137152653565863,1.484827045002021,245,12,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g06_c07,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c07.avi,0,16,75,16,0,True,True,0.9737009406089783,0.03201438905671239,0.024137152653565863,1.435657973983325,167,8,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g07_c06,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c06.avi,0,16,75,16,0,True,True,0.95730060338974,0.03188254393171519,0.024137152653565863,1.40188976097852,162,8,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g04_c01,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c01.avi,0,16,75,16,0,True,True,0.9879952073097229,0.025539004942402244,0.024137152653565863,1.3682809829479083,126,6,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g04_c04,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c04.avi,0,16,75,16,0,True,True,0.9904555678367615,0.03570552391465753,0.024137152653565863,1.341182192089036,181,9,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g01_c01,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c01.avi,0,16,75,16,0,True,True,0.986983060836792,0.03226147801615298,0.024137152653565863,1.3039169739931822,164,8,16,16,False,
ucf101,val,v_ApplyEyeMakeup_g07_c07,data/UCF101_data/UCF-101/ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c07.avi,0,16,75,16,0,True,True,0.9879531264305115,0.02540612395387143,0.024137152653565863,1.2700662650167942,114,6,16,16,False,
ucf101,val,v_ApplyLipstick_g03_c04,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g03_c04.avi,1,16,75,16,1,True,True,0.47402071952819824,0.02888952405191958,0.024137152653565863,1.2431206579785794,142,7,16,16,False,
ucf101,val,v_ApplyLipstick_g05_c05,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g05_c05.avi,1,16,75,16,19,False,True,0.9487399458885193,0.031233557034283876,0.024137152653565863,1.2128147529438138,156,8,16,16,False,
ucf101,val,v_ApplyLipstick_g05_c03,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g05_c03.avi,1,16,75,16,1,True,True,0.7904183268547058,0.02486704895272851,0.024137152653565863,1.1799298269907013,113,6,16,16,False,
ucf101,val,v_ApplyLipstick_g07_c03,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g07_c03.avi,1,16,75,16,1,True,True,0.9899762272834778,0.04033960402011871,0.024137152653565863,1.1532397950068116,226,11,16,16,False,
ucf101,val,v_ApplyLipstick_g04_c05,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g04_c05.avi,1,16,75,16,1,True,True,0.9642863869667053,0.031697088037617505,0.024137152653565863,1.1113858189200982,169,8,16,16,False,
ucf101,val,v_ApplyLipstick_g04_c01,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g04_c01.avi,1,16,75,16,1,True,True,0.9881046414375305,0.021340142004191875,0.024137152653565863,1.0781352129997686,98,5,16,16,False,
ucf101,val,v_ApplyLipstick_g02_c03,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g02_c03.avi,1,16,75,16,1,True,True,0.9795455932617188,0.021184289013035595,0.024137152653565863,1.0555762610165402,98,5,16,16,False,
ucf101,val,v_ApplyLipstick_g04_c02,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g04_c02.avi,1,16,75,16,1,True,True,0.9882234930992126,0.028466415009461343,0.024137152653565863,1.0326565450523049,144,7,16,16,False,
ucf101,val,v_ApplyLipstick_g05_c01,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g05_c01.avi,1,16,75,16,1,True,True,0.9142987728118896,0.0356373880058527,0.024137152653565863,1.002431632950902,177,9,16,16,False,
ucf101,val,v_ApplyLipstick_g02_c04,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g02_c04.avi,1,16,75,16,1,True,True,0.9336344003677368,0.034535995102487504,0.024137152653565863,0.9648914079880342,185,9,16,16,False,
ucf101,val,v_ApplyLipstick_g01_c01,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g01_c01.avi,1,16,75,16,1,True,True,0.9571280479431152,0.012355205952189863,0.024137152653565863,0.9286402830621228,149,7,16,16,False,
ucf101,val,v_ApplyLipstick_g02_c01,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g02_c01.avi,1,16,75,16,1,True,True,0.983193039894104,0.023126966087147593,0.024137152653565863,0.9148915110854432,127,6,16,16,False,
ucf101,val,v_ApplyLipstick_g06_c04,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g06_c04.avi,1,16,75,16,1,True,True,0.9890075922012329,0.09523888502735645,0.023359912280284334,1.7823107200674713,523,16,16,16,False,
ucf101,val,v_ApplyLipstick_g03_c02,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g03_c02.avi,1,16,75,16,1,True,True,0.8173403143882751,0.027635081904008985,0.023359912280284334,1.6847597539890558,108,6,16,16,False,
ucf101,val,v_ApplyLipstick_g07_c01,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g07_c01.avi,1,16,75,16,1,True,True,0.9882107973098755,0.05058262299280614,0.023359912280284334,1.654563381918706,270,13,16,16,False,
ucf101,val,v_ApplyLipstick_g01_c05,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g01_c05.avi,1,16,75,16,1,True,True,0.9887883067131042,0.039949525031261146,0.023359912280284334,1.6019471519393846,213,10,16,16,False,
ucf101,val,v_ApplyLipstick_g02_c02,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g02_c02.avi,1,16,75,16,1,True,True,0.9771625399589539,0.02579264296218753,0.023359912280284334,1.5597655540332198,118,6,16,16,False,
ucf101,val,v_ApplyLipstick_g07_c04,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g07_c04.avi,1,16,75,16,1,True,True,0.9899103045463562,0.032958562951534986,0.023359912280284334,1.5319152810843661,163,8,16,16,False,
ucf101,val,v_ApplyLipstick_g07_c02,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g07_c02.avi,1,16,75,16,1,True,True,0.9795341491699219,0.027636977029033005,0.023359912280284334,1.496865123976022,125,6,16,16,False,
ucf101,val,v_ApplyLipstick_g01_c02,data/UCF101_data/UCF-101/ApplyLipstick/v_ApplyLipstick_g01_c02.avi,1,16,75,16,1,True,True,0.986804723739624,0.03484452294651419,0.023359912280284334,1.4670444899238646,160,8,16,16,False,
ucf101,val,v_Archery_g01_c06,data/UCF101_data/UCF-101/Archery/v_Archery_g01_c06.avi,2,16,75,16,2,True,True,0.2814965844154358,0.012172081042081118,0.023359912280284334,1.4298646219540387,108,6,16,16,False,
ucf101,val,v_Archery_g05_c01,data/UCF101_data/UCF-101/Archery/v_Archery_g05_c01.avi,2,16,75,16,2,True,True,0.9751216769218445,0.09738863201346248,0.023359912280284334,1.416481541004032,455,16,16,16,False,
ucf101,val,v_Archery_g01_c07,data/UCF101_data/UCF-101/Archery/v_Archery_g01_c07.avi,2,16,75,16,2,True,True,0.921643078327179,0.013476431951858103,0.023359912280284334,1.3165198389906436,143,7,16,16,False,
ucf101,val,v_Archery_g04_c04,data/UCF101_data/UCF-101/Archery/v_Archery_g04_c04.avi,2,16,75,16,2,True,True,0.9705506563186646,0.01237693801522255,0.023359912280284334,1.301740142982453,135,7,16,16,False,
ucf101,val,v_Archery_g07_c03,data/UCF101_data/UCF-101/Archery/v_Archery_g07_c03.avi,2,16,75,16,2,True,True,0.849940299987793,0.014951089047826827,0.023359912280284334,1.2880783749278635,51,3,16,16,False,
ucf101,val,v_Archery_g03_c03,data/UCF101_data/UCF-101/Archery/v_Archery_g03_c03.avi,2,16,75,16,2,True,True,0.5047805309295654,0.03240008105058223,0.023359912280284334,1.2716690790839493,125,6,16,16,False,
ucf101,val,v_Archery_g01_c03,data/UCF101_data/UCF-101/Archery/v_Archery_g01_c03.avi,2,16,75,16,2,True,True,0.9795902967453003,0.012837411952205002,0.023359912280284334,1.236903954995796,158,8,16,16,False,
ucf101,val,v_Archery_g06_c01,data/UCF101_data/UCF-101/Archery/v_Archery_g06_c01.avi,2,16,75,16,2,True,True,0.6877784132957458,0.00915397796779871,0.023359912280284334,1.22270133998245,81,4,16,16,False,
ucf101,val,v_Archery_g02_c01,data/UCF101_data/UCF-101/Archery/v_Archery_g02_c01.avi,2,16,75,16,2,True,True,0.9900963306427002,0.012954278965480626,0.023359912280284334,1.2124265199527144,158,8,16,16,False,
ucf101,val,v_Archery_g07_c05,data/UCF101_data/UCF-101/Archery/v_Archery_g07_c05.avi,2,16,75,16,2,True,True,0.3058767020702362,0.014767025015316904,0.023359912280284334,1.1975908880122006,64,3,16,16,False,
ucf101,val,v_Archery_g06_c06,data/UCF101_data/UCF-101/Archery/v_Archery_g06_c06.avi,2,16,75,16,2,True,True,0.4788365960121155,0.012387126917019486,0.023359912280284334,1.180541685083881,132,7,16,16,False,
ucf101,val,v_Archery_g03_c04,data/UCF101_data/UCF-101/Archery/v_Archery_g03_c04.avi,2,16,75,16,2,True,True,0.9898409247398376,0.03269132901914418,0.023359912280284334,1.1667438219301403,138,7,16,16,False,
ucf101,val,v_Archery_g02_c03,data/UCF101_data/UCF-101/Archery/v_Archery_g02_c03.avi,2,16,75,16,2,True,True,0.9840312004089355,0.013510932098142803,0.023359912280284334,1.1322976119117811,138,7,16,16,False,
ucf101,val,v_Archery_g05_c03,data/UCF101_data/UCF-101/Archery/v_Archery_g05_c03.avi,2,16,75,16,2,True,True,0.9650760293006897,0.09803159208968282,0.023359912280284334,1.11662726290524,488,16,16,16,False,
ucf101,val,v_Archery_g04_c02,data/UCF101_data/UCF-101/Archery/v_Archery_g04_c02.avi,2,16,75,16,2,True,True,0.9685424566268921,0.01381862408015877,0.023359912280284334,1.0163322100415826,173,9,16,16,False,
ucf101,val,v_Archery_g04_c01,data/UCF101_data/UCF-101/Archery/v_Archery_g04_c01.avi,2,16,75,16,2,True,True,0.9594802260398865,0.012285595061257482,0.023359912280284334,1.0008886740542948,165,8,16,16,False,
ucf101,val,v_Archery_g02_c05,data/UCF101_data/UCF-101/Archery/v_Archery_g02_c05.avi,2,16,75,16,2,True,True,0.9914265871047974,0.010346892988309264,0.023359912280284334,0.9871792029589415,127,6,16,16,False,
ucf101,val,v_Archery_g03_c05,data/UCF101_data/UCF-101/Archery/v_Archery_g03_c05.avi,2,16,75,16,2,True,True,0.9779671430587769,0.02769494301173836,0.023359912280284334,0.9756920710206032,124,6,16,16,False,
ucf101,val,v_Archery_g07_c04,data/UCF101_data/UCF-101/Archery/v_Archery_g07_c04.avi,2,16,75,16,2,True,True,0.6348886489868164,0.014029685989953578,0.023359912280284334,0.9463691749842837,51,3,16,16,False,
ucf101,val,v_Archery_g06_c02,data/UCF101_data/UCF-101/Archery/v_Archery_g06_c02.avi,2,16,75,16,2,True,True,0.6919857859611511,0.010571945924311876,0.023359912280284334,0.9306979030370712,116,6,16,16,False,
ucf101,val,v_BabyCrawling_g01_c03,data/UCF101_data/UCF-101/BabyCrawling/v_BabyCrawling_g01_c03.avi,3,16,75,16,3,True,True,0.9718145728111267,0.011957035982050002,0.023359912280284334,0.9189550650771707,156,8,16,16,False,
ucf101,val,v_BabyCrawling_g04_c01,data/UCF101_data/UCF-101/BabyCrawling/v_BabyCrawling_g04_c01.avi,3,16,75,16,3,True,True,0.9844851493835449,0.02497256302740425,0.023359912280284334,0.9054158289218321,127,6,16,16,False,
ucf101,val,v_BabyCrawling_g05_c01,data/UCF101_data/UCF-101/BabyCrawling/v_BabyCrawling_g05_c01.avi,3,16,75,16,3,True,True,0.9872286319732666,0.015114263980649412,0.023359912280284334,0.8787051379913464,221,11,16,16,False,
ucf101,val,v_BabyCrawling_g02_c02,data/UCF101_data/UCF-101/BabyCrawling/v_BabyCrawling_g02_c02.avi,3,16,75,16,3,True,True,0.9468052983283997,0.02463319804519415,0.023359912280284334,0.8623285730136558,112,6,16,16,False,
ucf101,val,v_BabyCrawling_g06_c05,data/UCF101_data/UCF-101/BabyCrawling/v_BabyCrawling_g06_c05.avi,3,16,75,16,3,True,True,0.8475817441940308,0.05519332201220095,0.023592918969370658,1.7904581000329927,258,13,16,16,False,
ucf101,val,v_BabyCrawling_g02_c04,data/UCF101_data/UCF-101/BabyCrawling/v_BabyCrawling_g02_c04.avi,3,16,75,16,3,True,True,0.990939736366272,0.023265913012437522,0.023592918969370658,1.7315001640236005,105,5,16,16,False,
ucf101,val,v_BabyCrawling_g07_c02,data/UCF101_data/UCF-101/BabyCrawling/v_BabyCrawling_g07_c02.avi,3,16,75,16,3,True,True,0.9871506690979004,0.02921884402167052,0.023592918969370658,1.7064713980071247,145,7,16,16,False,
ucf101,val,v_BabyCrawling_g01_c04,data/UCF101_data/UCF-101/BabyCrawling/v_BabyCrawling_g01_c04.avi,3,16,75,16,3,True,True,0.9296878576278687,0.015297226025722921,0.023592918969370658,1.6755240040365607,219,11,16,16,False,
ucf101,val,v_BabyCrawling_g03_c03,data/UCF101_data/UCF-101/BabyCrawling/v_BabyCrawling_g03_c03.avi,3,16,75,16,3,True,True,0.9551428556442261,0.013905407045967877,0.023592918969370658,1.6586168860085309,198,10,16,16,False,
ucf101,val,v_BabyCrawling_g02_c05,data/UCF101_data/UCF-101/BabyCrawling/v_BabyCrawling_g02_c05.avi,3,16,75,16,3,True,True,0.9869548678398132,0.016643620911054313,0.023592918969370658,1.6434075329452753,84,4,16,16,False,
